dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
28/07/15 03:53;359.1 kbit/s;24.09 Mbit/s;3.75 ms;23.74 ms;387.49 kbit/s;22.57 Mbit/s;0.0 %;195.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 02:53;16.74 Mbit/s;24.35 Mbit/s;1.51 ms;8.26 ms;-;1.81 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/07/15 01:53;15.92 Mbit/s;24.66 Mbit/s;< 1 ms;1.98 ms;17.34 Mbit/s;23.7 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 00:53;16.47 Mbit/s;21.6 Mbit/s;< 1 ms;7.33 ms;16.96 Mbit/s;20.52 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/07/15 23:53;15.41 Mbit/s;23.11 Mbit/s;1.15 ms;4.11 ms;16.84 Mbit/s;22.59 Mbit/s;0.0 %;45.19 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/07/15 22:53;15.13 Mbit/s;16.33 Mbit/s;< 1 ms;12.27 ms;15.22 Mbit/s;16.62 Mbit/s;0.68 %;5.44 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/07/15 21:53;795.08 kbit/s;13.39 Mbit/s;< 1 ms;< 1 ms;866.62 kbit/s;13.68 Mbit/s;0.0 %;10.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/07/15 20:53;8.78 Mbit/s;5.35 Mbit/s;< 1 ms;10.1 ms;9.42 Mbit/s;4.44 Mbit/s;0.0 %;5.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/07/15 17:53;4.93 Mbit/s;3.83 Mbit/s;9.35 ms;4.03 ms;-;1.44 Mbit/s;0.0 %;56.74 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
27/07/15 16:53;12.77 Mbit/s;19.2 Mbit/s;9.73 ms;1.07 ms;14.27 Mbit/s;17.99 Mbit/s;0.0 %;49.14 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/07/15 15:53;3.81 Mbit/s;9.22 Mbit/s;18.47 ms;15.34 ms;4.22 Mbit/s;7.98 Mbit/s;0.0 %;41.6 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/07/15 14:54;-;-;-;-;-;-;0.0 %;6.0 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/07/15 11:53;7.45 Mbit/s;8.25 Mbit/s;< 1 ms;1.83 ms;8.79 Mbit/s;1.04 Mbit/s;0.0 %;7.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/07/15 10:53;13.4 Mbit/s;24.87 Mbit/s;1.87 ms;< 1 ms;-;21.74 Mbit/s;0.0 %;20.04 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/07/15 09:53;16.65 Mbit/s;21.13 Mbit/s;1.49 ms;3.91 ms;15.31 Mbit/s;8.48 Mbit/s;0.0 %;81.64 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/07/15 08:55;2.71 Mbit/s;14.25 Mbit/s;40.27 ms;16.02 ms;2.99 Mbit/s;2.14 Mbit/s;0.0 %;542.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/07/15 07:53;15.02 Mbit/s;1.87 Mbit/s;< 1 ms;5.44 ms;15.82 Mbit/s;2.01 Mbit/s;0.68 %;7.6 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/07/15 06:54;15.58 Mbit/s;16.97 Mbit/s;< 1 ms;32.48 ms;16.44 Mbit/s;17.5 Mbit/s;0.0 %;7.85 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/07/15 06:19;12.97 Mbit/s;985.22 kbit/s;< 1 ms;< 1 ms;12.62 Mbit/s;975.58 kbit/s;0.0 %;8.05 ms;PTT Metro de Florianopolis;;;;;
27/07/15 05:53;14.79 Mbit/s;25.06 Mbit/s;< 1 ms;6.24 ms;15.86 Mbit/s;21.53 Mbit/s;0.0 %;7.37 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/07/15 04:53;16.33 Mbit/s;25.42 Mbit/s;< 1 ms;< 1 ms;17.58 Mbit/s;23.15 Mbit/s;0.0 %;7.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
