dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
19/07/15 20:14;6.93 Mbit/s;5.53 Mbit/s;1.1 ms;2.72 ms;7.11 Mbit/s;2.68 Mbit/s;0.0 %;6.46 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
19/07/15 17:14;8.67 Mbit/s;7.44 Mbit/s;13.5 ms;11.54 ms;9.42 Mbit/s;6.68 Mbit/s;0.0 %;55.9 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/07/15 14:14;4.83 Mbit/s;8.33 Mbit/s;7.32 ms;2.29 ms;5.28 Mbit/s;8.6 Mbit/s;0.0 %;43.84 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/07/15 11:14;3.89 Mbit/s;2.6 Mbit/s;5.54 ms;2.97 ms;3.21 Mbit/s;1.9 Mbit/s;0.0 %;58.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/07/15 08:14;11.46 Mbit/s;14.63 Mbit/s;< 1 ms;1.22 ms;12.43 Mbit/s;15.53 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/07/15 06:39;1.6 Mbit/s;1.0 Mbit/s;6.15 ms;2.42 ms;1.47 Mbit/s;318.79 kbit/s;8.21 %;80.21 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/07/15 05:14;11.51 Mbit/s;17.05 Mbit/s;< 1 ms;2.1 ms;12.57 Mbit/s;17.35 Mbit/s;0.0 %;5.95 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
11/07/15 02:14;12.18 Mbit/s;14.9 Mbit/s;< 1 ms;1.89 ms;13.1 Mbit/s;12.77 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
10/07/15 23:14;6.27 Mbit/s;10.72 Mbit/s;5.09 ms;2.34 ms;6.9 Mbit/s;4.89 Mbit/s;0.0 %;7.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/06/15 03:13;15.92 Mbit/s;24.07 Mbit/s;< 1 ms;1.62 ms;17.4 Mbit/s;25.82 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
