dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
20/06/15 09:19;-;9.51 Mbit/s;12.27 ms;4.99 ms;-;-;3.1 %;71.95 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
20/06/15 08:19;2.77 Mbit/s;12.25 Mbit/s;45.74 ms;8.99 ms;3.67 Mbit/s;10.57 Mbit/s;4.35 %;179.79 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
20/06/15 07:19;10.74 Mbit/s;7.72 Mbit/s;4.34 ms;11.15 ms;15.87 Mbit/s;8.04 Mbit/s;0.68 %;17.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
20/06/15 06:18;23.38 Mbit/s;26.58 Mbit/s;< 1 ms;3.22 ms;28.77 Mbit/s;27.51 Mbit/s;0.68 %;6.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
20/06/15 06:18;940.41 kbit/s;868.2 kbit/s;< 1 ms;1.05 ms;973.09 kbit/s;926.91 kbit/s;0.0 %;5.71 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
20/06/15 05:18;-;19.03 Mbit/s;14.67 ms;3.69 ms;-;-;0.0 %;111.58 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/06/15 04:18;21.6 Mbit/s;32.93 Mbit/s;5.53 ms;< 1 ms;27.42 Mbit/s;32.68 Mbit/s;0.0 %;266.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
20/06/15 03:19;640.28 kbit/s;291.74 kbit/s;< 1 ms;< 1 ms;610.04 kbit/s;275.76 kbit/s;0.0 %;12.46 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
20/06/15 03:18;23.75 Mbit/s;30.51 Mbit/s;194.95 ms;< 1 ms;30.28 Mbit/s;32.57 Mbit/s;0.0 %;1156.79 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
20/06/15 02:18;14.35 Mbit/s;15.6 Mbit/s;2.04 ms;< 1 ms;13.35 Mbit/s;16.77 Mbit/s;0.68 %;6.28 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/06/15 01:18;21.79 Mbit/s;23.54 Mbit/s;9.87 ms;2.71 ms;21.83 Mbit/s;24.5 Mbit/s;0.0 %;52.36 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
20/06/15 00:18;9.99 Mbit/s;9.19 Mbit/s;< 1 ms;5.12 ms;12.22 Mbit/s;9.87 Mbit/s;0.68 %;5.34 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/06/15 23:19;20.14 Mbit/s;28.96 Mbit/s;23.28 ms;5.28 ms;27.37 Mbit/s;29.63 Mbit/s;2.06 %;916.03 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/06/15 22:19;9.01 Mbit/s;32.69 Mbit/s;6.28 ms;1.04 ms;11.38 Mbit/s;11.01 Mbit/s;0.0 %;6.2 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
19/06/15 21:18;15.95 Mbit/s;24.11 Mbit/s;3.86 ms;1.76 ms;21.1 Mbit/s;25.73 Mbit/s;2.82 %;7.29 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
19/06/15 20:18;11.92 Mbit/s;24.24 Mbit/s;4.49 ms;1.64 ms;12.81 Mbit/s;24.92 Mbit/s;0.0 %;7.78 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/06/15 19:18;16.97 Mbit/s;14.69 Mbit/s;3.98 ms;2.9 ms;22.22 Mbit/s;15.31 Mbit/s;0.0 %;28.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
19/06/15 17:20;15.03 Mbit/s;9.61 Mbit/s;9.0 ms;7.44 ms;20.44 Mbit/s;10.25 Mbit/s;0.68 %;12.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/06/15 16:18;18.08 Mbit/s;17.36 Mbit/s;4.82 ms;1.77 ms;17.96 Mbit/s;18.59 Mbit/s;1.37 %;11.94 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
19/06/15 15:20;10.48 Mbit/s;13.12 Mbit/s;4.77 ms;14.66 ms;13.81 Mbit/s;13.51 Mbit/s;0.83 %;134.4 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
19/06/15 14:18;13.53 Mbit/s;15.83 Mbit/s;3.44 ms;1.97 ms;18.3 Mbit/s;16.27 Mbit/s;10.4 %;18.86 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
19/06/15 13:18;13.65 Mbit/s;7.48 Mbit/s;62.74 ms;7.82 ms;17.76 Mbit/s;8.14 Mbit/s;17.05 %;316.63 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
