dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:01;5.68 Mbit/s;14.38 Mbit/s;12.71 ms;11.27 ms;2.46 Mbit/s;14.18 Mbit/s;0.0 %;26.71 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:01;1.93 Mbit/s;3.84 Mbit/s;14.82 ms;14.42 ms;344.73 kbit/s;2.91 Mbit/s;0.0 %;59.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:01;2.33 Mbit/s;4.57 Mbit/s;38.64 ms;15.92 ms;2.53 Mbit/s;4.81 Mbit/s;0.0 %;80.0 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 10:01;10.0 Mbit/s;15.96 Mbit/s;2.48 ms;2.79 ms;7.8 Mbit/s;14.12 Mbit/s;0.0 %;218.8 ms;PTT Metro de Curitiba;;;;;
01/08/15 07:01;17.39 Mbit/s;14.88 Mbit/s;< 1 ms;< 1 ms;17.01 Mbit/s;15.85 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 04:01;18.62 Mbit/s;14.9 Mbit/s;10.0 ms;< 1 ms;17.74 Mbit/s;15.9 Mbit/s;0.0 %;70.72 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:01;18.37 Mbit/s;13.88 Mbit/s;< 1 ms;< 1 ms;17.76 Mbit/s;14.78 Mbit/s;0.0 %;9.84 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 22:01;13.25 Mbit/s;18.29 Mbit/s;< 1 ms;8.38 ms;14.46 Mbit/s;19.47 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 19:01;144.27 kbit/s;12.06 Mbit/s;9.31 ms;29.41 ms;152.73 kbit/s;5.48 Mbit/s;0.0 %;96.25 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 16:03;8.31 Mbit/s;19.26 Mbit/s;11.08 ms;20.77 ms;6.12 Mbit/s;17.39 Mbit/s;9.45 %;11.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 13:01;4.28 Mbit/s;9.59 Mbit/s;7.73 ms;13.85 ms;2.72 Mbit/s;10.18 Mbit/s;5.15 %;36.88 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 10:01;14.37 Mbit/s;16.61 Mbit/s;11.1 ms;1.45 ms;11.72 Mbit/s;16.24 Mbit/s;1.37 %;19.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 07:01;6.25 Mbit/s;9.75 Mbit/s;4.05 ms;11.46 ms;6.85 Mbit/s;10.37 Mbit/s;0.0 %;8.22 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 01:01;16.62 Mbit/s;20.88 Mbit/s;< 1 ms;< 1 ms;17.88 Mbit/s;22.24 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 19:01;1.22 Mbit/s;6.39 Mbit/s;133.63 ms;17.03 ms;253.96 kbit/s;6.66 Mbit/s;0.0 %;1346.25 ms;PTT Metro de Curitiba;;;;;
30/07/15 16:01;3.79 Mbit/s;6.63 Mbit/s;1.35 ms;28.99 ms;4.33 Mbit/s;6.82 Mbit/s;1.37 %;16.64 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 13:01;9.96 Mbit/s;11.64 Mbit/s;2.88 ms;15.81 ms;8.73 Mbit/s;10.96 Mbit/s;0.68 %;25.67 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 10:01;16.1 Mbit/s;18.91 Mbit/s;1.74 ms;10.99 ms;12.45 Mbit/s;20.04 Mbit/s;0.68 %;203.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 07:01;7.73 Mbit/s;11.57 Mbit/s;6.15 ms;7.51 ms;7.1 Mbit/s;12.35 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 04:01;18.57 Mbit/s;23.44 Mbit/s;< 1 ms;< 1 ms;19.06 Mbit/s;24.95 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 01:01;18.09 Mbit/s;17.65 Mbit/s;< 1 ms;< 1 ms;17.9 Mbit/s;18.68 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 22:01;16.32 Mbit/s;11.88 Mbit/s;1.08 ms;< 1 ms;15.44 Mbit/s;12.66 Mbit/s;0.68 %;6.2 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 19:01;8.14 Mbit/s;8.07 Mbit/s;43.19 ms;6.94 ms;7.67 Mbit/s;8.7 Mbit/s;0.0 %;2333.39 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 16:01;15.19 Mbit/s;20.18 Mbit/s;4.53 ms;1.16 ms;7.71 Mbit/s;20.43 Mbit/s;0.0 %;199.77 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 13:02;4.87 Mbit/s;5.26 Mbit/s;31.62 ms;7.34 ms;4.29 Mbit/s;5.59 Mbit/s;0.0 %;298.79 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 07:01;15.24 Mbit/s;17.84 Mbit/s;17.56 ms;3.31 ms;11.21 Mbit/s;19.06 Mbit/s;0.0 %;54.49 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 04:01;9.98 Mbit/s;19.0 Mbit/s;< 1 ms;< 1 ms;11.0 Mbit/s;20.29 Mbit/s;0.0 %;7.15 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 01:01;18.62 Mbit/s;22.26 Mbit/s;< 1 ms;3.19 ms;19.08 Mbit/s;23.75 Mbit/s;0.0 %;18.43 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 22:01;15.17 Mbit/s;9.12 Mbit/s;9.53 ms;1.47 ms;14.13 Mbit/s;9.75 Mbit/s;0.0 %;17.16 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 19:01;6.81 Mbit/s;14.08 Mbit/s;13.21 ms;3.36 ms;4.3 Mbit/s;10.92 Mbit/s;0.0 %;36.83 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 16:01;12.04 Mbit/s;14.39 Mbit/s;3.53 ms;1.16 ms;5.81 Mbit/s;15.33 Mbit/s;0.68 %;70.58 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 13:01;242.21 kbit/s;311.52 kbit/s;2.02 ms;10.81 ms;129.16 kbit/s;339.68 kbit/s;1.39 %;260.94 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 10:01;12.48 Mbit/s;20.52 Mbit/s;30.93 ms;1.15 ms;12.31 Mbit/s;21.99 Mbit/s;1.37 %;105.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 07:01;12.91 Mbit/s;21.57 Mbit/s;2.03 ms;11.71 ms;8.1 Mbit/s;22.32 Mbit/s;0.0 %;23.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 04:01;13.89 Mbit/s;22.66 Mbit/s;13.8 ms;< 1 ms;15.3 Mbit/s;24.09 Mbit/s;0.0 %;3.98 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 01:01;18.87 Mbit/s;21.52 Mbit/s;< 1 ms;< 1 ms;18.23 Mbit/s;22.96 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/07/15 22:01;13.43 Mbit/s;17.44 Mbit/s;< 1 ms;< 1 ms;14.63 Mbit/s;18.57 Mbit/s;0.0 %;4.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/07/15 19:26;-;41.61 kbit/s;4.95 ms;6.5 ms;-;-;0.68 %;91.83 ms;PTT Metro de Fortaleza;;;;;
27/07/15 19:01;9.06 Mbit/s;13.19 Mbit/s;5.83 ms;29.58 ms;9.8 Mbit/s;12.94 Mbit/s;0.68 %;10.15 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/07/15 16:01;7.84 Mbit/s;10.98 Mbit/s;2.52 ms;9.89 ms;5.3 Mbit/s;11.7 Mbit/s;2.08 %;44.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
