dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:20;2.09 Mbit/s;2.29 Mbit/s;16.1 ms;35.59 ms;1.12 Mbit/s;2.45 Mbit/s;3.45 %;218.24 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 18:20;5.26 Mbit/s;3.85 Mbit/s;6.14 ms;19.2 ms;1.41 Mbit/s;3.81 Mbit/s;0.0 %;71.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:20;-;574.91 kbit/s;14.03 ms;7.18 ms;-;-;5.93 %;42.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:20;5.3 Mbit/s;4.79 Mbit/s;33.08 ms;8.57 ms;4.09 Mbit/s;5.02 Mbit/s;0.0 %;102.03 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 15:20;1.77 Mbit/s;2.65 Mbit/s;11.1 ms;2.49 ms;1.65 Mbit/s;1.39 Mbit/s;0.0 %;25.9 ms;PTT Metro de Curitiba;;;;;
01/08/15 14:20;4.94 Mbit/s;3.41 Mbit/s;1.37 ms;10.3 ms;4.79 Mbit/s;3.65 Mbit/s;0.0 %;12.14 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 12:20;3.39 Mbit/s;11.71 Mbit/s;3.55 ms;4.77 ms;1.66 Mbit/s;10.6 Mbit/s;0.0 %;7.2 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 11:20;-;-;-;-;-;-;0.0 %;11.97 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 10:21;1.23 Mbit/s;3.31 Mbit/s;1.33 ms;29.64 ms;1.34 Mbit/s;3.23 Mbit/s;0.0 %;6.4 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 09:20;12.42 Mbit/s;11.14 Mbit/s;9.15 ms;58.58 ms;10.75 Mbit/s;9.06 Mbit/s;0.0 %;18.37 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 07:20;9.31 Mbit/s;700.68 kbit/s;3.21 ms;6.83 ms;8.88 Mbit/s;719.02 kbit/s;0.0 %;9.84 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 06:20;16.97 Mbit/s;17.65 Mbit/s;1.81 ms;2.67 ms;18.67 Mbit/s;18.3 Mbit/s;0.0 %;6.18 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 05:20;14.44 Mbit/s;19.98 Mbit/s;< 1 ms;3.33 ms;15.39 Mbit/s;17.14 Mbit/s;0.0 %;5.72 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 04:20;17.57 Mbit/s;27.6 Mbit/s;< 1 ms;< 1 ms;19.35 Mbit/s;27.98 Mbit/s;0.0 %;5.27 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 03:20;16.77 Mbit/s;27.62 Mbit/s;< 1 ms;< 1 ms;18.37 Mbit/s;28.88 Mbit/s;0.0 %;5.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 02:20;18.03 Mbit/s;26.95 Mbit/s;22.47 ms;< 1 ms;19.82 Mbit/s;24.09 Mbit/s;0.0 %;143.19 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 01:20;15.74 Mbit/s;13.54 Mbit/s;17.46 ms;13.28 ms;14.17 Mbit/s;14.31 Mbit/s;0.0 %;420.87 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 00:20;14.09 Mbit/s;10.32 Mbit/s;1.74 ms;2.26 ms;15.38 Mbit/s;4.51 Mbit/s;0.0 %;6.85 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 23:25;10.72 Mbit/s;11.07 Mbit/s;12.68 ms;20.58 ms;6.45 Mbit/s;6.62 Mbit/s;0.68 %;108.03 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 23:20;1.55 Mbit/s;326.19 kbit/s;49.56 ms;18.55 ms;123.93 kbit/s;349.08 kbit/s;0.0 %;586.86 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 22:20;2.07 Mbit/s;1.2 Mbit/s;55.47 ms;45.68 ms;1.73 Mbit/s;1.01 Mbit/s;1.37 %;103.02 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 21:20;12.89 Mbit/s;9.49 Mbit/s;< 1 ms;2.91 ms;3.25 Mbit/s;10.21 Mbit/s;0.0 %;6.59 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 20:20;8.27 Mbit/s;10.5 Mbit/s;3.11 ms;3.53 ms;9.01 Mbit/s;3.78 Mbit/s;0.0 %;6.55 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 19:20;9.22 Mbit/s;4.16 Mbit/s;1.44 ms;4.18 ms;9.6 Mbit/s;3.68 Mbit/s;0.0 %;5.97 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 18:20;1.58 Mbit/s;2.0 Mbit/s;21.84 ms;15.4 ms;879.71 kbit/s;2.15 Mbit/s;17.54 %;323.66 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 17:20;7.31 Mbit/s;8.69 Mbit/s;5.72 ms;4.1 ms;6.63 Mbit/s;8.84 Mbit/s;2.08 %;10.64 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 16:21;5.11 Mbit/s;6.93 Mbit/s;21.17 ms;11.76 ms;5.35 Mbit/s;6.93 Mbit/s;5.93 %;39.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 15:21;4.49 Mbit/s;8.82 Mbit/s;7.67 ms;12.88 ms;4.64 Mbit/s;8.04 Mbit/s;10.57 %;77.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 14:20;6.58 Mbit/s;10.29 Mbit/s;11.56 ms;32.35 ms;6.87 Mbit/s;10.98 Mbit/s;10.48 %;54.28 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 13:20;4.15 Mbit/s;10.65 Mbit/s;7.82 ms;36.22 ms;4.32 Mbit/s;5.16 Mbit/s;4.44 %;133.16 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 12:20;3.72 Mbit/s;8.67 Mbit/s;3.98 ms;1.74 ms;3.87 Mbit/s;5.11 Mbit/s;6.02 %;46.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 11:21;3.28 Mbit/s;5.08 Mbit/s;4.9 ms;41.85 ms;3.1 Mbit/s;4.65 Mbit/s;9.45 %;16.09 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 10:20;9.01 Mbit/s;12.04 Mbit/s;2.65 ms;4.67 ms;9.67 Mbit/s;12.73 Mbit/s;2.82 %;19.6 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 09:20;10.04 Mbit/s;13.52 Mbit/s;2.52 ms;< 1 ms;10.99 Mbit/s;14.44 Mbit/s;0.0 %;19.39 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 08:20;10.58 Mbit/s;14.49 Mbit/s;1.13 ms;6.42 ms;11.64 Mbit/s;15.49 Mbit/s;0.0 %;5.78 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 07:22;8.93 Mbit/s;12.91 Mbit/s;< 1 ms;< 1 ms;9.71 Mbit/s;13.78 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
