dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:14;18.36 Mbit/s;23.36 Mbit/s;10.62 ms;12.93 ms;17.49 Mbit/s;23.92 Mbit/s;0.68 %;16.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 18:14;17.84 Mbit/s;20.81 Mbit/s;1.47 ms;1.25 ms;19.03 Mbit/s;21.77 Mbit/s;0.68 %;40.37 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 17:14;12.82 Mbit/s;20.74 Mbit/s;1.65 ms;37.73 ms;12.34 Mbit/s;20.9 Mbit/s;2.07 %;7.04 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:14;5.28 Mbit/s;5.11 Mbit/s;< 1 ms;3.09 ms;5.79 Mbit/s;5.47 Mbit/s;0.68 %;11.0 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 15:20;11.17 Mbit/s;18.22 Mbit/s;2.32 ms;11.81 ms;10.95 Mbit/s;13.71 Mbit/s;0.68 %;5.22 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 15:14;14.2 Mbit/s;20.64 Mbit/s;21.0 ms;10.24 ms;104.73 kbit/s;21.85 Mbit/s;0.0 %;43.65 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 14:14;96.88 kbit/s;25.23 Mbit/s;10.91 ms;2.55 ms;102.98 kbit/s;23.35 Mbit/s;2.08 %;33.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 13:14;11.33 Mbit/s;18.08 Mbit/s;3.86 ms;3.16 ms;1.31 Mbit/s;18.83 Mbit/s;0.0 %;11.33 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 12:14;12.76 Mbit/s;17.85 Mbit/s;14.82 ms;39.72 ms;11.9 Mbit/s;10.49 Mbit/s;0.0 %;49.9 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 11:15;-;-;-;38.17 ms;-;-;0.0 %;368.06 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 10:14;12.42 Mbit/s;25.33 Mbit/s;35.89 ms;12.36 ms;13.52 Mbit/s;21.31 Mbit/s;0.0 %;149.21 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 09:15;974.11 kbit/s;3.92 Mbit/s;7.08 ms;33.36 ms;997.53 kbit/s;4.02 Mbit/s;0.0 %;41.28 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:14;17.17 Mbit/s;16.3 Mbit/s;27.35 ms;34.18 ms;18.91 Mbit/s;16.23 Mbit/s;0.0 %;32.93 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 07:14;-;-;-;-;-;-;1.37 %;94.67 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:14;14.48 Mbit/s;27.42 Mbit/s;< 1 ms;12.05 ms;15.96 Mbit/s;26.9 Mbit/s;5.11 %;4.44 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 05:16;15.55 Mbit/s;25.34 Mbit/s;16.81 ms;< 1 ms;17.1 Mbit/s;25.54 Mbit/s;0.0 %;48.14 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 04:14;15.7 Mbit/s;26.0 Mbit/s;< 1 ms;< 1 ms;14.16 Mbit/s;26.7 Mbit/s;0.0 %;4.43 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 03:14;15.34 Mbit/s;24.1 Mbit/s;2.09 ms;4.28 ms;16.88 Mbit/s;22.24 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 02:14;14.89 Mbit/s;17.77 Mbit/s;11.55 ms;35.99 ms;16.36 Mbit/s;18.7 Mbit/s;0.0 %;45.14 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 01:14;18.37 Mbit/s;25.07 Mbit/s;2.42 ms;1.63 ms;18.9 Mbit/s;21.42 Mbit/s;1.36 %;13.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 00:14;14.68 Mbit/s;18.3 Mbit/s;1.91 ms;5.43 ms;16.0 Mbit/s;19.3 Mbit/s;0.0 %;25.37 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 22:14;9.42 Mbit/s;15.33 Mbit/s;9.91 ms;2.18 ms;382.25 kbit/s;16.15 Mbit/s;0.0 %;106.09 ms;PTT Metro de Curitiba;;;;;
31/07/15 21:14;7.49 Mbit/s;9.86 Mbit/s;3.56 ms;4.36 ms;7.79 Mbit/s;10.06 Mbit/s;0.68 %;14.98 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 20:14;17.9 kbit/s;620.95 kbit/s;13.02 ms;14.37 ms;14.84 kbit/s;659.89 kbit/s;1.36 %;7.29 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 19:14;8.37 Mbit/s;7.98 Mbit/s;< 1 ms;7.72 ms;8.73 Mbit/s;8.35 Mbit/s;0.0 %;7.93 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
