dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:20;44.73 Mbit/s;45.37 Mbit/s;< 1 ms;1.22 ms;49.05 Mbit/s;44.03 Mbit/s;0.0 %;5.58 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 18:20;45.45 Mbit/s;52.84 Mbit/s;< 1 ms;< 1 ms;50.04 Mbit/s;54.84 Mbit/s;0.0 %;5.32 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 17:20;48.46 Mbit/s;55.34 Mbit/s;< 1 ms;1.04 ms;53.17 Mbit/s;57.49 Mbit/s;0.0 %;6.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:20;36.96 Mbit/s;42.03 Mbit/s;< 1 ms;< 1 ms;40.68 Mbit/s;21.46 Mbit/s;0.0 %;6.41 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:20;30.84 Mbit/s;51.62 Mbit/s;< 1 ms;< 1 ms;33.66 Mbit/s;40.42 Mbit/s;0.0 %;5.27 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 13:20;36.3 Mbit/s;16.73 Mbit/s;1.7 ms;2.22 ms;39.74 Mbit/s;17.97 Mbit/s;0.0 %;7.95 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 12:20;25.69 Mbit/s;37.9 Mbit/s;< 1 ms;4.62 ms;28.05 Mbit/s;38.33 Mbit/s;0.0 %;6.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 11:20;38.5 Mbit/s;40.82 Mbit/s;< 1 ms;3.64 ms;42.05 Mbit/s;20.92 Mbit/s;0.0 %;7.19 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 10:20;33.61 Mbit/s;55.84 Mbit/s;< 1 ms;1.33 ms;36.71 Mbit/s;48.13 Mbit/s;0.0 %;5.84 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 09:20;33.34 Mbit/s;33.79 Mbit/s;2.41 ms;5.49 ms;36.74 Mbit/s;35.52 Mbit/s;0.0 %;7.18 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 08:20;38.63 Mbit/s;29.4 Mbit/s;< 1 ms;2.63 ms;42.57 Mbit/s;31.04 Mbit/s;0.0 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
