dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:59;568.67 kbit/s;1.88 Mbit/s;16.05 ms;9.58 ms;602.18 kbit/s;1.7 Mbit/s;0.68 %;82.38 ms;PTT Metro de Curitiba;;;;;
01/08/15 16:59;9.96 Mbit/s;9.69 Mbit/s;2.46 ms;3.71 ms;7.94 Mbit/s;10.26 Mbit/s;0.0 %;22.71 ms;PTT Metro de Curitiba;;;;;
01/08/15 15:59;506.54 kbit/s;11.25 Mbit/s;2.84 ms;3.22 ms;551.56 kbit/s;11.79 Mbit/s;0.0 %;18.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:59;9.03 Mbit/s;14.97 Mbit/s;6.91 ms;3.93 ms;9.57 Mbit/s;15.43 Mbit/s;0.0 %;38.61 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:59;10.47 Mbit/s;8.3 Mbit/s;36.66 ms;4.75 ms;6.4 Mbit/s;8.85 Mbit/s;0.0 %;217.91 ms;PTT Metro de Curitiba;;;;;
01/08/15 12:59;5.25 Mbit/s;4.85 Mbit/s;15.19 ms;4.67 ms;5.82 Mbit/s;5.16 Mbit/s;0.0 %;81.98 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:59;24.04 Mbit/s;17.17 Mbit/s;3.62 ms;5.66 ms;24.42 Mbit/s;8.87 Mbit/s;0.0 %;13.02 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 10:59;13.44 Mbit/s;12.71 Mbit/s;2.37 ms;2.82 ms;12.38 Mbit/s;13.51 Mbit/s;2.07 %;48.1 ms;PTT Metro de Curitiba;;;;;
01/08/15 09:59;29.62 Mbit/s;15.78 Mbit/s;23.43 ms;4.27 ms;23.33 Mbit/s;15.89 Mbit/s;0.0 %;96.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 08:59;22.52 Mbit/s;15.6 Mbit/s;1.75 ms;3.06 ms;23.8 Mbit/s;14.6 Mbit/s;0.0 %;25.51 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
