dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
09/06/15 13:53;18.53 Mbit/s;19.5 Mbit/s;< 1 ms;4.8 ms;-;16.73 Mbit/s;0.0 %;7.99 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
09/06/15 12:54;-;11.74 Mbit/s;60.15 ms;9.1 ms;-;-;0.0 %;435.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
09/06/15 11:54;-;-;-;13.19 ms;-;-;0.0 %;5.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/06/15 10:53;9.58 Mbit/s;11.05 Mbit/s;4.64 ms;6.93 ms;8.51 Mbit/s;11.77 Mbit/s;0.68 %;28.14 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
09/06/15 09:53;23.71 Mbit/s;22.76 Mbit/s;< 1 ms;< 1 ms;24.09 Mbit/s;19.25 Mbit/s;0.0 %;5.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/06/15 08:53;23.6 Mbit/s;22.12 Mbit/s;< 1 ms;1.05 ms;24.5 Mbit/s;22.45 Mbit/s;0.0 %;7.77 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
09/06/15 07:53;-;-;-;1.42 ms;-;-;0.0 %;72.54 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
09/06/15 06:53;-;-;-;1.67 ms;-;-;0.68 %;36.99 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
09/06/15 05:53;23.03 Mbit/s;22.96 Mbit/s;1.5 ms;1.45 ms;25.11 Mbit/s;22.65 Mbit/s;0.0 %;5.35 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
09/06/15 04:53;24.56 Mbit/s;24.14 Mbit/s;< 1 ms;1.1 ms;25.09 Mbit/s;22.42 Mbit/s;0.68 %;5.65 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
09/06/15 03:53;23.67 Mbit/s;22.46 Mbit/s;< 1 ms;8.82 ms;24.86 Mbit/s;22.71 Mbit/s;0.0 %;6.14 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
09/06/15 02:53;24.4 Mbit/s;23.4 Mbit/s;1.03 ms;< 1 ms;25.17 Mbit/s;22.98 Mbit/s;1.37 %;5.53 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
09/06/15 01:53;24.2 Mbit/s;24.08 Mbit/s;< 1 ms;1.17 ms;25.04 Mbit/s;22.24 Mbit/s;0.0 %;5.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
