dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:06;1.38 Mbit/s;12.01 Mbit/s;6.25 ms;3.36 ms;1.5 Mbit/s;8.21 Mbit/s;2.08 %;104.7 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 18:06;16.05 Mbit/s;11.94 Mbit/s;12.37 ms;3.39 ms;12.13 Mbit/s;10.36 Mbit/s;9.16 %;269.27 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 17:06;18.68 Mbit/s;18.45 Mbit/s;20.96 ms;13.26 ms;11.1 Mbit/s;12.02 Mbit/s;1.37 %;64.42 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 16:06;7.02 Mbit/s;20.58 Mbit/s;< 1 ms;9.71 ms;6.79 Mbit/s;3.66 Mbit/s;6.57 %;44.51 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:06;5.35 Mbit/s;6.94 Mbit/s;24.92 ms;21.12 ms;3.02 Mbit/s;4.61 Mbit/s;9.09 %;319.68 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 14:06;11.72 Mbit/s;21.16 Mbit/s;39.99 ms;< 1 ms;10.38 Mbit/s;16.1 Mbit/s;0.0 %;259.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 13:06;4.36 Mbit/s;13.26 Mbit/s;174.4 ms;26.34 ms;2.01 Mbit/s;4.49 Mbit/s;0.0 %;4857.97 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:06;7.58 Mbit/s;10.42 Mbit/s;272.45 ms;28.47 ms;2.95 Mbit/s;7.8 Mbit/s;0.68 %;4010.47 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 10:06;10.18 Mbit/s;14.03 Mbit/s;< 1 ms;< 1 ms;6.71 Mbit/s;14.46 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 09:06;409.65 kbit/s;1.3 Mbit/s;24.53 ms;3.41 ms;439.85 kbit/s;1.38 Mbit/s;0.0 %;255.09 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
