dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 17:07;9.77 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.42 Mbit/s;9.46 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 14:07;9.73 Mbit/s;9.71 Mbit/s;< 1 ms;< 1 ms;9.44 Mbit/s;9.45 Mbit/s;0.0 %;4.23 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 11:07;9.69 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.42 Mbit/s;9.46 Mbit/s;0.0 %;4.05 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:07;9.75 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.41 Mbit/s;9.46 Mbit/s;0.0 %;4.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 05:07;9.73 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.43 Mbit/s;9.46 Mbit/s;0.0 %;4.03 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 02:07;9.73 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.42 Mbit/s;9.46 Mbit/s;0.0 %;4.14 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 23:07;9.72 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.41 Mbit/s;9.45 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 17:07;9.75 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.32 Mbit/s;9.42 Mbit/s;0.0 %;4.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 14:07;9.69 Mbit/s;9.7 Mbit/s;7.92 ms;< 1 ms;9.44 Mbit/s;9.41 Mbit/s;0.0 %;41.62 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 11:07;9.71 Mbit/s;9.72 Mbit/s;< 1 ms;< 1 ms;9.43 Mbit/s;9.46 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
