dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:07;4.81 Mbit/s;14.72 Mbit/s;2.98 ms;< 1 ms;5.73 Mbit/s;14.35 Mbit/s;0.0 %;7.63 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 18:07;11.09 Mbit/s;21.4 Mbit/s;< 1 ms;21.47 ms;12.22 Mbit/s;22.42 Mbit/s;0.0 %;4.1 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:07;18.06 Mbit/s;16.21 Mbit/s;1.13 ms;19.22 ms;17.57 Mbit/s;17.37 Mbit/s;0.0 %;83.46 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:07;21.38 Mbit/s;20.77 Mbit/s;34.68 ms;6.87 ms;11.34 Mbit/s;22.04 Mbit/s;0.0 %;85.93 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:07;12.94 Mbit/s;3.78 Mbit/s;21.84 ms;22.78 ms;7.35 Mbit/s;3.43 Mbit/s;0.0 %;125.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 14:07;36.34 Mbit/s;22.77 Mbit/s;10.78 ms;12.56 ms;8.59 Mbit/s;24.28 Mbit/s;0.0 %;37.72 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:07;45.74 Mbit/s;27.3 Mbit/s;2.05 ms;1.15 ms;50.13 Mbit/s;28.65 Mbit/s;0.0 %;3.35 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 12:07;17.9 Mbit/s;10.68 Mbit/s;21.01 ms;1.31 ms;19.45 Mbit/s;3.38 Mbit/s;0.0 %;24.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 11:07;38.1 Mbit/s;24.49 Mbit/s;1.62 ms;1.74 ms;41.21 Mbit/s;26.21 Mbit/s;0.68 %;3.19 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:07;18.27 Mbit/s;28.62 Mbit/s;< 1 ms;1.91 ms;11.55 Mbit/s;27.44 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:07;24.93 Mbit/s;28.74 Mbit/s;< 1 ms;24.54 ms;22.81 Mbit/s;29.63 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 08:07;47.79 Mbit/s;5.94 Mbit/s;< 1 ms;21.24 ms;45.01 Mbit/s;6.35 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 07:07;52.61 Mbit/s;35.34 Mbit/s;4.06 ms;4.28 ms;58.06 Mbit/s;37.67 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 06:07;51.34 Mbit/s;45.23 Mbit/s;< 1 ms;< 1 ms;56.59 Mbit/s;47.38 Mbit/s;0.0 %;2.98 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 05:07;51.91 Mbit/s;46.35 Mbit/s;< 1 ms;2.73 ms;57.05 Mbit/s;48.46 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 04:07;51.99 Mbit/s;46.77 Mbit/s;< 1 ms;< 1 ms;48.29 Mbit/s;48.57 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 03:07;38.9 Mbit/s;42.3 Mbit/s;1.13 ms;1.04 ms;42.88 Mbit/s;41.81 Mbit/s;0.0 %;3.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 02:07;50.3 Mbit/s;43.03 Mbit/s;4.25 ms;7.89 ms;54.68 Mbit/s;45.6 Mbit/s;0.0 %;3.14 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 01:07;52.11 Mbit/s;46.91 Mbit/s;< 1 ms;< 1 ms;57.38 Mbit/s;47.99 Mbit/s;0.0 %;3.2 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 00:07;51.43 Mbit/s;44.07 Mbit/s;< 1 ms;< 1 ms;55.76 Mbit/s;42.11 Mbit/s;0.0 %;4.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 23:07;45.81 Mbit/s;39.79 Mbit/s;< 1 ms;< 1 ms;46.37 Mbit/s;41.98 Mbit/s;0.0 %;3.25 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 22:07;47.34 Mbit/s;34.68 Mbit/s;< 1 ms;< 1 ms;45.31 Mbit/s;31.72 Mbit/s;0.0 %;3.64 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 21:07;33.66 Mbit/s;42.87 Mbit/s;1.25 ms;2.06 ms;29.91 Mbit/s;15.75 Mbit/s;0.0 %;3.09 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 20:07;21.67 Mbit/s;20.84 Mbit/s;1.07 ms;3.02 ms;19.53 Mbit/s;21.31 Mbit/s;0.0 %;3.54 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 19:07;1.24 Mbit/s;13.58 Mbit/s;8.43 ms;3.8 ms;1.41 Mbit/s;851.63 kbit/s;0.0 %;45.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 18:07;21.11 Mbit/s;21.18 Mbit/s;< 1 ms;5.79 ms;19.33 Mbit/s;16.91 Mbit/s;0.0 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 17:08;17.64 Mbit/s;24.45 Mbit/s;6.32 ms;3.71 ms;19.01 Mbit/s;25.93 Mbit/s;1.4 %;31.79 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 16:07;5.54 Mbit/s;3.64 Mbit/s;4.94 ms;39.47 ms;5.01 Mbit/s;3.46 Mbit/s;0.75 %;12.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 15:07;5.36 Mbit/s;21.01 Mbit/s;5.41 ms;37.47 ms;5.81 Mbit/s;1.13 Mbit/s;0.69 %;218.22 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 14:07;42.48 Mbit/s;24.03 Mbit/s;8.99 ms;46.59 ms;35.99 Mbit/s;20.1 Mbit/s;0.76 %;372.02 ms;PTT Metro de Curitiba;;;;;
31/07/15 13:07;10.52 Mbit/s;5.92 Mbit/s;13.96 ms;79.32 ms;6.07 Mbit/s;2.64 Mbit/s;2.07 %;56.92 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 12:07;54.65 Mbit/s;19.92 Mbit/s;< 1 ms;15.83 ms;59.36 Mbit/s;18.99 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 11:07;43.8 Mbit/s;27.2 Mbit/s;< 1 ms;2.33 ms;47.97 Mbit/s;29.15 Mbit/s;2.05 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 10:07;52.16 Mbit/s;24.6 Mbit/s;< 1 ms;4.5 ms;56.93 Mbit/s;23.78 Mbit/s;0.0 %;4.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 09:07;9.33 Mbit/s;14.89 Mbit/s;1.02 ms;18.7 ms;8.93 Mbit/s;4.77 Mbit/s;0.0 %;3.9 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
