dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:50;11.8 Mbit/s;8.73 Mbit/s;5.28 ms;1.28 ms;8.9 Mbit/s;9.32 Mbit/s;0.0 %;23.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 17:50;4.61 Mbit/s;15.27 Mbit/s;< 1 ms;13.8 ms;5.06 Mbit/s;16.44 Mbit/s;2.08 %;44.14 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:50;300.13 kbit/s;14.24 Mbit/s;18.1 ms;4.25 ms;111.71 kbit/s;14.49 Mbit/s;0.0 %;97.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:50;16.63 Mbit/s;30.01 Mbit/s;332.15 ms;1.84 ms;14.32 Mbit/s;31.95 Mbit/s;0.0 %;4620.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 14:50;18.2 Mbit/s;21.44 Mbit/s;2.35 ms;4.38 ms;12.41 Mbit/s;12.71 Mbit/s;0.0 %;110.54 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:50;18.08 Mbit/s;25.13 Mbit/s;1.84 ms;< 1 ms;13.34 Mbit/s;26.6 Mbit/s;0.0 %;53.72 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 12:50;10.51 Mbit/s;21.16 Mbit/s;1.48 ms;10.81 ms;5.05 Mbit/s;22.36 Mbit/s;6.77 %;15.96 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:50;16.14 Mbit/s;25.06 Mbit/s;< 1 ms;< 1 ms;13.81 Mbit/s;26.39 Mbit/s;0.0 %;6.12 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 10:50;18.96 Mbit/s;28.04 Mbit/s;11.36 ms;1.99 ms;18.16 Mbit/s;29.8 Mbit/s;0.0 %;7.86 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 09:50;19.96 Mbit/s;21.89 Mbit/s;< 1 ms;2.89 ms;15.02 Mbit/s;23.35 Mbit/s;0.0 %;3.8 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 08:50;18.99 Mbit/s;29.11 Mbit/s;< 1 ms;< 1 ms;17.83 Mbit/s;29.35 Mbit/s;0.0 %;3.76 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:50;17.5 Mbit/s;30.57 Mbit/s;< 1 ms;< 1 ms;14.19 Mbit/s;31.91 Mbit/s;0.0 %;4.08 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 06:50;8.68 Mbit/s;8.65 Mbit/s;5.1 ms;< 1 ms;8.5 Mbit/s;9.18 Mbit/s;0.0 %;14.57 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 04:50;17.69 Mbit/s;25.67 Mbit/s;1.08 ms;< 1 ms;15.88 Mbit/s;26.82 Mbit/s;0.0 %;3.98 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 03:50;18.17 Mbit/s;24.82 Mbit/s;1.01 ms;< 1 ms;16.65 Mbit/s;26.01 Mbit/s;0.68 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 02:50;19.07 Mbit/s;29.53 Mbit/s;2.91 ms;< 1 ms;16.73 Mbit/s;31.32 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 00:50;15.35 Mbit/s;27.41 Mbit/s;10.16 ms;< 1 ms;8.71 Mbit/s;29.27 Mbit/s;0.0 %;53.71 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 23:50;3.93 Mbit/s;11.85 Mbit/s;7.88 ms;2.99 ms;4.3 Mbit/s;12.58 Mbit/s;0.0 %;55.94 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 22:50;-;428.72 kbit/s;6.38 ms;16.18 ms;-;-;0.0 %;318.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 21:50;703.46 kbit/s;628.1 kbit/s;13.5 ms;22.33 ms;677.24 kbit/s;664.44 kbit/s;0.0 %;35.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 20:50;11.66 Mbit/s;21.9 Mbit/s;7.28 ms;2.83 ms;8.45 Mbit/s;23.21 Mbit/s;0.0 %;14.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 19:50;19.27 Mbit/s;27.31 Mbit/s;60.62 ms;8.74 ms;13.55 Mbit/s;26.38 Mbit/s;0.0 %;1356.69 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 18:50;14.93 Mbit/s;22.44 Mbit/s;2.69 ms;4.3 ms;10.32 Mbit/s;23.83 Mbit/s;0.0 %;19.89 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 17:50;15.48 Mbit/s;19.75 Mbit/s;4.74 ms;3.74 ms;10.51 Mbit/s;20.8 Mbit/s;0.0 %;14.63 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 16:50;19.3 Mbit/s;16.98 Mbit/s;5.99 ms;1.52 ms;13.5 Mbit/s;17.45 Mbit/s;0.68 %;12.29 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 15:50;20.02 Mbit/s;26.4 Mbit/s;12.22 ms;14.86 ms;11.27 Mbit/s;28.24 Mbit/s;1.39 %;129.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 14:50;11.37 Mbit/s;12.5 Mbit/s;25.67 ms;2.52 ms;7.72 Mbit/s;12.77 Mbit/s;0.0 %;28.46 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 13:50;15.78 Mbit/s;21.35 Mbit/s;< 1 ms;5.48 ms;13.3 Mbit/s;22.55 Mbit/s;0.68 %;19.63 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 12:50;10.27 Mbit/s;10.32 Mbit/s;3.16 ms;4.13 ms;7.16 Mbit/s;10.93 Mbit/s;0.0 %;12.63 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 11:50;16.9 Mbit/s;22.87 Mbit/s;1.12 ms;15.59 ms;11.45 Mbit/s;24.04 Mbit/s;0.0 %;8.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 10:50;15.57 Mbit/s;16.86 Mbit/s;< 1 ms;1.83 ms;15.76 Mbit/s;18.03 Mbit/s;2.82 %;5.18 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 09:50;19.28 Mbit/s;29.35 Mbit/s;< 1 ms;< 1 ms;15.99 Mbit/s;31.47 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 08:50;20.27 Mbit/s;20.38 Mbit/s;< 1 ms;14.47 ms;19.68 Mbit/s;21.65 Mbit/s;0.0 %;4.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 07:50;19.56 Mbit/s;25.9 Mbit/s;< 1 ms;< 1 ms;17.68 Mbit/s;27.6 Mbit/s;0.0 %;3.66 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 06:50;14.53 Mbit/s;25.09 Mbit/s;5.87 ms;1.94 ms;15.0 Mbit/s;27.04 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 05:50;18.99 Mbit/s;30.58 Mbit/s;< 1 ms;< 1 ms;15.85 Mbit/s;32.62 Mbit/s;0.0 %;22.32 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 04:50;20.16 Mbit/s;31.09 Mbit/s;< 1 ms;1.17 ms;18.85 Mbit/s;33.13 Mbit/s;0.0 %;3.34 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 03:50;18.33 Mbit/s;28.41 Mbit/s;< 1 ms;1.03 ms;17.42 Mbit/s;29.98 Mbit/s;0.0 %;3.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 02:50;19.63 Mbit/s;26.81 Mbit/s;< 1 ms;1.11 ms;19.82 Mbit/s;28.57 Mbit/s;0.0 %;4.47 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 01:50;20.37 Mbit/s;27.72 Mbit/s;< 1 ms;< 1 ms;19.8 Mbit/s;29.62 Mbit/s;0.0 %;3.76 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 00:50;16.14 Mbit/s;21.3 Mbit/s;1.99 ms;< 1 ms;14.95 Mbit/s;22.76 Mbit/s;0.0 %;8.34 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 23:50;17.43 Mbit/s;26.0 Mbit/s;1.32 ms;1.36 ms;16.99 Mbit/s;27.79 Mbit/s;0.0 %;5.94 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 22:50;8.61 Mbit/s;8.74 Mbit/s;6.78 ms;6.19 ms;9.46 Mbit/s;9.31 Mbit/s;0.0 %;18.67 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 21:50;19.81 Mbit/s;23.83 Mbit/s;< 1 ms;< 1 ms;16.11 Mbit/s;25.0 Mbit/s;0.0 %;6.84 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 19:51;12.46 Mbit/s;19.18 Mbit/s;3.64 ms;3.59 ms;10.63 Mbit/s;20.39 Mbit/s;0.0 %;43.11 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 18:50;720.31 kbit/s;20.96 Mbit/s;1.59 ms;1.6 ms;662.4 kbit/s;9.62 Mbit/s;0.0 %;27.1 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 17:50;16.48 Mbit/s;25.9 Mbit/s;15.42 ms;8.42 ms;1.81 Mbit/s;26.85 Mbit/s;2.82 %;74.23 ms;PTT Metro de Curitiba;;;;;
