dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 16:41;-;23.67 Mbit/s;5.94 ms;4.31 ms;-;-;0.0 %;9.19 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 13:41;-;22.11 Mbit/s;4.42 ms;4.95 ms;-;-;0.0 %;5.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:42;2.9 Mbit/s;25.09 Mbit/s;< 1 ms;4.33 ms;3.26 Mbit/s;22.14 Mbit/s;0.68 %;10.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 07:41;-;-;-;-;-;-;0.68 %;23.88 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 04:41;675.03 kbit/s;26.2 Mbit/s;1.26 ms;3.21 ms;735.71 kbit/s;27.84 Mbit/s;0.0 %;6.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 01:41;19.42 Mbit/s;27.99 Mbit/s;1.59 ms;< 1 ms;132.65 kbit/s;26.19 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 22:42;-;-;-;2.76 ms;-;-;0.0 %;208.43 ms;PTT Metro de Belo Horizonte;;;;;
31/07/15 16:41;-;-;-;-;-;-;1.37 %;183.71 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 04:41;43.18 kbit/s;27.9 Mbit/s;< 1 ms;4.05 ms;56.73 kbit/s;29.4 Mbit/s;0.0 %;5.71 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 01:41;17.98 Mbit/s;29.19 Mbit/s;1.14 ms;< 1 ms;18.89 Mbit/s;29.97 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 16:42;50.55 kbit/s;1.34 Mbit/s;228.89 ms;34.03 ms;0.87 kbit/s;1.37 Mbit/s;0.0 %;6671.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 10:41;-;-;-;-;-;-;0.68 %;12.95 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
21/07/15 07:41;107.42 kbit/s;10.69 Mbit/s;11.68 ms;8.47 ms;-;785.15 kbit/s;0.0 %;36.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
20/07/15 19:41;-;-;-;-;-;-;0.88 %;139.75 ms;PTT Metro de Belo Horizonte;;;;;
20/07/15 16:43;-;-;-;-;-;-;9.09 %;1138.43 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/07/15 10:42;22.11 kbit/s;7.26 Mbit/s;8.32 ms;2.95 ms;-;-;1.36 %;15.37 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
20/07/15 07:43;-;-;261.77 ms;1.22 ms;-;-;11.32 %;3615.54 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
20/07/15 04:41;35.29 Mbit/s;26.62 Mbit/s;< 1 ms;1.5 ms;112.58 kbit/s;28.3 Mbit/s;0.68 %;5.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
20/07/15 01:41;48.44 kbit/s;22.96 Mbit/s;2.65 ms;11.46 ms;48.0 kbit/s;24.38 Mbit/s;1.37 %;7.85 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
19/07/15 22:41;66.34 kbit/s;1.47 Mbit/s;< 1 ms;< 1 ms;67.2 kbit/s;1.59 Mbit/s;0.0 %;13.32 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
19/07/15 19:41;58.97 kbit/s;2.86 Mbit/s;27.25 ms;1.21 ms;59.35 kbit/s;3.08 Mbit/s;0.0 %;282.76 ms;PTT Metro de Florianopolis;;;;;
19/07/15 16:42;-;29.42 Mbit/s;< 1 ms;< 1 ms;-;-;0.0 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/07/15 13:42;-;1.59 Mbit/s;< 1 ms;2.27 ms;-;-;0.0 %;5.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
19/07/15 10:41;657.13 kbit/s;615.47 kbit/s;33.42 ms;10.08 ms;717.38 kbit/s;656.27 kbit/s;0.0 %;49.37 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
19/07/15 07:41;-;-;-;3.61 ms;-;-;30.77 %;2707.9 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/07/15 22:42;2.86 Mbit/s;24.62 Mbit/s;< 1 ms;< 1 ms;3.38 Mbit/s;25.65 Mbit/s;0.0 %;5.14 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
18/07/15 22:08;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 1;;;;;
18/07/15 19:41;764.54 kbit/s;23.17 Mbit/s;< 1 ms;1.05 ms;827.35 kbit/s;24.53 Mbit/s;0.0 %;18.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
18/07/15 13:42;-;826.87 kbit/s;6.7 ms;11.14 ms;-;-;0.0 %;51.81 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
18/07/15 10:41;-;21.86 Mbit/s;< 1 ms;3.51 ms;-;-;0.0 %;19.68 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
18/07/15 04:41;8.44 Mbit/s;27.66 Mbit/s;< 1 ms;< 1 ms;9.28 Mbit/s;27.25 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
18/07/15 01:41;30.87 Mbit/s;26.95 Mbit/s;5.08 ms;7.76 ms;34.58 Mbit/s;28.27 Mbit/s;0.68 %;6.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
17/07/15 22:42;-;-;-;13.83 ms;-;-;11.54 %;4624.22 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
17/07/15 19:41;86.35 kbit/s;533.44 kbit/s;9.73 ms;< 1 ms;-;35.71 kbit/s;0.0 %;69.17 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
17/07/15 16:41;206.41 kbit/s;1.16 Mbit/s;2.69 ms;6.51 ms;286.25 kbit/s;1.19 Mbit/s;8.33 %;48.35 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/07/15 13:41;-;-;-;-;-;-;0.0 %;75.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
17/07/15 07:41;4.94 Mbit/s;30.73 Mbit/s;21.39 ms;5.25 ms;71.56 kbit/s;26.48 Mbit/s;0.0 %;129.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
17/07/15 04:41;770.86 kbit/s;26.44 Mbit/s;< 1 ms;< 1 ms;842.18 kbit/s;27.87 Mbit/s;0.0 %;7.29 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/07/15 01:41;26.33 kbit/s;28.47 Mbit/s;< 1 ms;1.06 ms;22.69 kbit/s;29.15 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/07/15 22:42;1.84 Mbit/s;1.65 Mbit/s;30.18 ms;17.32 ms;-;1.77 Mbit/s;0.0 %;190.4 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
16/07/15 16:42;-;366.17 kbit/s;21.92 ms;3.62 ms;-;-;0.0 %;63.34 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
16/07/15 13:41;-;-;-;-;-;-;0.0 %;560.21 ms;PTT Metro de Campinas;;;;;
16/07/15 10:41;2.37 Mbit/s;151.17 kbit/s;236.41 ms;-;2.61 Mbit/s;148.89 kbit/s;4.35 %;4402.97 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
16/07/15 07:41;-;-;-;-;-;-;4.2 %;5286.34 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
