dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:42;27.49 Mbit/s;28.65 Mbit/s;< 1 ms;2.78 ms;29.97 Mbit/s;29.72 Mbit/s;0.0 %;4.94 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 18:42;55.84 Mbit/s;50.15 Mbit/s;< 1 ms;< 1 ms;59.01 Mbit/s;52.32 Mbit/s;0.0 %;4.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:42;27.84 Mbit/s;38.73 Mbit/s;< 1 ms;2.17 ms;26.54 Mbit/s;41.24 Mbit/s;0.0 %;5.61 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:42;42.58 Mbit/s;51.38 Mbit/s;< 1 ms;4.72 ms;42.31 Mbit/s;51.36 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:42;31.71 Mbit/s;50.66 Mbit/s;< 1 ms;< 1 ms;30.82 Mbit/s;51.89 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 14:42;11.28 Mbit/s;20.99 Mbit/s;< 1 ms;< 1 ms;12.32 Mbit/s;21.81 Mbit/s;0.0 %;5.2 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 13:42;26.72 Mbit/s;26.7 Mbit/s;14.74 ms;3.64 ms;18.19 Mbit/s;26.58 Mbit/s;0.0 %;10.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:42;51.8 Mbit/s;48.89 Mbit/s;< 1 ms;1.24 ms;35.98 Mbit/s;51.15 Mbit/s;0.0 %;4.85 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:42;24.03 Mbit/s;45.32 Mbit/s;< 1 ms;< 1 ms;26.06 Mbit/s;36.72 Mbit/s;0.0 %;4.98 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:42;26.75 Mbit/s;48.41 Mbit/s;< 1 ms;< 1 ms;28.34 Mbit/s;45.65 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
