dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 16:35;9.44 Mbit/s;5.01 Mbit/s;21.36 ms;22.78 ms;10.26 Mbit/s;5.44 Mbit/s;0.0 %;96.04 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 13:35;9.82 Mbit/s;513.08 kbit/s;9.81 ms;54.35 ms;7.32 Mbit/s;542.26 kbit/s;0.0 %;36.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:35;22.02 Mbit/s;12.36 Mbit/s;12.83 ms;13.08 ms;18.86 Mbit/s;10.06 Mbit/s;0.0 %;50.77 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:35;20.98 Mbit/s;23.58 Mbit/s;< 1 ms;< 1 ms;19.78 Mbit/s;18.89 Mbit/s;0.0 %;3.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 04:35;16.15 Mbit/s;17.47 Mbit/s;2.27 ms;43.84 ms;14.78 Mbit/s;16.6 Mbit/s;0.0 %;28.99 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 01:35;26.36 Mbit/s;27.61 Mbit/s;< 1 ms;42.67 ms;22.3 Mbit/s;26.3 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 22:35;18.84 Mbit/s;12.68 Mbit/s;25.38 ms;1.99 ms;20.15 Mbit/s;13.47 Mbit/s;0.0 %;62.27 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 19:35;466.52 kbit/s;605.21 kbit/s;13.14 ms;23.65 ms;-;50.48 kbit/s;0.0 %;110.16 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 16:35;9.27 Mbit/s;3.02 Mbit/s;19.67 ms;46.67 ms;6.26 Mbit/s;2.56 Mbit/s;1.63 %;379.41 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 13:35;14.13 Mbit/s;5.89 Mbit/s;8.19 ms;29.77 ms;9.81 Mbit/s;6.13 Mbit/s;2.82 %;51.78 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
