dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:10;34.52 Mbit/s;38.33 Mbit/s;< 1 ms;1.08 ms;37.18 Mbit/s;40.54 Mbit/s;0.0 %;8.93 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 18:10;31.53 Mbit/s;40.11 Mbit/s;< 1 ms;1.08 ms;34.26 Mbit/s;41.34 Mbit/s;0.0 %;7.36 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:10;36.0 Mbit/s;38.74 Mbit/s;1.2 ms;< 1 ms;38.55 Mbit/s;38.74 Mbit/s;0.0 %;7.92 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 17:10;5.48 Mbit/s;596.42 kbit/s;2.84 ms;7.5 ms;5.36 Mbit/s;580.13 kbit/s;0.0 %;33.45 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:10;38.51 Mbit/s;39.67 Mbit/s;7.53 ms;1.14 ms;40.74 Mbit/s;41.25 Mbit/s;0.68 %;7.76 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:10;35.36 Mbit/s;39.84 Mbit/s;1.06 ms;< 1 ms;38.17 Mbit/s;42.07 Mbit/s;0.68 %;8.04 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 14:10;32.23 Mbit/s;40.52 Mbit/s;< 1 ms;1.26 ms;35.12 Mbit/s;43.04 Mbit/s;0.0 %;7.5 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 13:10;38.87 Mbit/s;39.7 Mbit/s;1.09 ms;1.21 ms;42.44 Mbit/s;41.03 Mbit/s;0.68 %;8.06 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:10;35.18 Mbit/s;38.16 Mbit/s;1.06 ms;1.46 ms;38.22 Mbit/s;40.85 Mbit/s;0.0 %;7.31 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 11:10;31.79 Mbit/s;34.09 Mbit/s;< 1 ms;< 1 ms;34.21 Mbit/s;36.34 Mbit/s;0.0 %;8.48 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 10:10;36.46 Mbit/s;38.76 Mbit/s;1.06 ms;< 1 ms;40.03 Mbit/s;40.89 Mbit/s;0.0 %;7.72 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 09:10;38.4 Mbit/s;38.62 Mbit/s;1.01 ms;1.08 ms;41.92 Mbit/s;41.07 Mbit/s;0.0 %;8.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:10;38.55 Mbit/s;39.53 Mbit/s;< 1 ms;< 1 ms;41.83 Mbit/s;41.3 Mbit/s;0.0 %;6.57 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 06:10;39.0 Mbit/s;34.34 Mbit/s;2.41 ms;1.15 ms;42.65 Mbit/s;36.48 Mbit/s;0.0 %;7.6 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 05:10;34.3 Mbit/s;38.23 Mbit/s;< 1 ms;< 1 ms;37.43 Mbit/s;38.8 Mbit/s;0.0 %;6.64 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:10;31.18 Mbit/s;32.27 Mbit/s;1.2 ms;< 1 ms;34.36 Mbit/s;34.3 Mbit/s;0.0 %;7.21 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 03:10;43.95 Mbit/s;37.42 Mbit/s;< 1 ms;< 1 ms;48.1 Mbit/s;40.04 Mbit/s;0.0 %;7.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 02:10;42.79 Mbit/s;38.93 Mbit/s;< 1 ms;< 1 ms;45.61 Mbit/s;40.66 Mbit/s;0.0 %;6.48 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 01:10;37.28 Mbit/s;39.28 Mbit/s;1.16 ms;< 1 ms;40.43 Mbit/s;39.35 Mbit/s;0.0 %;7.52 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 00:10;38.42 Mbit/s;38.2 Mbit/s;< 1 ms;< 1 ms;41.43 Mbit/s;40.85 Mbit/s;0.0 %;7.77 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 23:10;36.65 Mbit/s;37.08 Mbit/s;1.08 ms;1.13 ms;39.68 Mbit/s;39.87 Mbit/s;0.0 %;7.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 22:10;33.35 Mbit/s;38.68 Mbit/s;< 1 ms;1.04 ms;36.12 Mbit/s;41.0 Mbit/s;0.0 %;8.22 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 21:37;12.15 Mbit/s;928.95 kbit/s;< 1 ms;6.61 ms;13.09 Mbit/s;938.84 kbit/s;0.0 %;11.34 ms;PTT Metro de Vitoria;;;;;
31/07/15 21:12;36.05 Mbit/s;37.49 Mbit/s;< 1 ms;1.79 ms;37.76 Mbit/s;40.24 Mbit/s;0.0 %;7.71 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 20:10;38.37 Mbit/s;37.05 Mbit/s;1.64 ms;2.62 ms;40.0 Mbit/s;39.28 Mbit/s;0.0 %;8.75 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 19:10;31.55 Mbit/s;38.66 Mbit/s;< 1 ms;< 1 ms;34.63 Mbit/s;40.63 Mbit/s;0.0 %;7.88 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 18:10;33.5 Mbit/s;37.55 Mbit/s;< 1 ms;< 1 ms;36.49 Mbit/s;39.26 Mbit/s;0.0 %;8.17 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 17:10;25.25 Mbit/s;38.56 Mbit/s;1.08 ms;1.01 ms;27.03 Mbit/s;37.74 Mbit/s;2.08 %;8.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 16:10;14.61 Mbit/s;36.99 Mbit/s;< 1 ms;< 1 ms;15.09 Mbit/s;39.2 Mbit/s;2.82 %;9.05 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 14:10;10.57 Mbit/s;38.45 Mbit/s;1.68 ms;< 1 ms;10.77 Mbit/s;40.25 Mbit/s;10.24 %;8.78 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 13:10;18.94 Mbit/s;38.34 Mbit/s;< 1 ms;< 1 ms;19.83 Mbit/s;39.98 Mbit/s;5.93 %;9.32 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 12:10;14.41 Mbit/s;37.11 Mbit/s;< 1 ms;< 1 ms;14.64 Mbit/s;39.22 Mbit/s;2.82 %;8.91 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 11:11;11.72 Mbit/s;37.84 Mbit/s;< 1 ms;< 1 ms;12.17 Mbit/s;40.49 Mbit/s;6.77 %;8.99 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 10:10;8.8 Mbit/s;19.19 Mbit/s;3.63 ms;2.23 ms;9.65 Mbit/s;20.54 Mbit/s;0.0 %;58.3 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 09:10;28.76 Mbit/s;29.49 Mbit/s;2.19 ms;< 1 ms;31.08 Mbit/s;31.88 Mbit/s;0.0 %;11.46 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 08:12;36.74 Mbit/s;34.39 Mbit/s;1.25 ms;< 1 ms;39.17 Mbit/s;36.89 Mbit/s;0.0 %;9.05 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 07:58;10.1 Mbit/s;2.04 Mbit/s;< 1 ms;< 1 ms;9.97 Mbit/s;1.99 Mbit/s;0.0 %;3.29 ms;PTT Metro de Florianopolis;;;;;
31/07/15 07:10;39.51 Mbit/s;35.86 Mbit/s;< 1 ms;1.39 ms;43.35 Mbit/s;38.09 Mbit/s;0.0 %;7.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 06:10;42.15 Mbit/s;39.18 Mbit/s;< 1 ms;1.16 ms;46.29 Mbit/s;41.26 Mbit/s;0.0 %;6.98 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 05:10;41.67 Mbit/s;38.3 Mbit/s;< 1 ms;1.15 ms;44.75 Mbit/s;40.94 Mbit/s;0.0 %;7.6 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 04:10;35.95 Mbit/s;36.63 Mbit/s;< 1 ms;1.26 ms;39.12 Mbit/s;38.75 Mbit/s;0.0 %;7.82 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 03:10;40.83 Mbit/s;37.72 Mbit/s;1.1 ms;1.44 ms;44.36 Mbit/s;39.96 Mbit/s;0.0 %;7.97 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 02:11;40.03 Mbit/s;36.71 Mbit/s;< 1 ms;< 1 ms;42.69 Mbit/s;38.99 Mbit/s;0.0 %;7.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 01:10;38.89 Mbit/s;37.91 Mbit/s;< 1 ms;< 1 ms;41.83 Mbit/s;40.26 Mbit/s;0.0 %;7.28 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 00:43;-;366.45 kbit/s;1.61 ms;4.44 ms;-;-;0.0 %;16.07 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 00:10;32.82 Mbit/s;37.07 Mbit/s;1.03 ms;< 1 ms;35.62 Mbit/s;39.33 Mbit/s;0.0 %;7.72 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 23:10;39.87 Mbit/s;35.83 Mbit/s;< 1 ms;1.02 ms;42.94 Mbit/s;36.6 Mbit/s;0.0 %;7.98 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 22:10;33.51 Mbit/s;37.3 Mbit/s;< 1 ms;1.19 ms;35.9 Mbit/s;37.73 Mbit/s;0.0 %;8.57 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 20:10;35.24 Mbit/s;37.5 Mbit/s;1.15 ms;1.66 ms;37.73 Mbit/s;39.79 Mbit/s;0.68 %;8.79 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 19:10;36.93 Mbit/s;37.91 Mbit/s;1.15 ms;< 1 ms;38.45 Mbit/s;40.13 Mbit/s;0.0 %;7.92 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 18:10;36.04 Mbit/s;36.03 Mbit/s;1.1 ms;< 1 ms;38.3 Mbit/s;37.74 Mbit/s;0.68 %;8.2 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 17:10;34.31 Mbit/s;37.47 Mbit/s;1.24 ms;< 1 ms;36.19 Mbit/s;37.17 Mbit/s;0.0 %;8.78 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 16:10;31.87 Mbit/s;35.54 Mbit/s;< 1 ms;1.1 ms;34.54 Mbit/s;35.6 Mbit/s;0.68 %;9.22 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
