dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:09;13.41 Mbit/s;324.42 kbit/s;1.99 ms;10.7 ms;4.86 Mbit/s;344.82 kbit/s;0.0 %;166.31 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 18:09;-;2.39 Mbit/s;< 1 ms;1.61 ms;-;-;0.0 %;3.43 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 17:09;153.75 kbit/s;350.96 kbit/s;155.82 ms;18.0 ms;162.33 kbit/s;374.65 kbit/s;0.68 %;1735.47 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:09;107.42 kbit/s;477.83 kbit/s;13.36 ms;11.77 ms;86.4 kbit/s;506.78 kbit/s;0.0 %;1133.25 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 15:09;2.98 Mbit/s;10.65 Mbit/s;99.24 ms;20.56 ms;1.77 Mbit/s;10.64 Mbit/s;0.68 %;1513.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 14:09;15.34 Mbit/s;19.31 Mbit/s;< 1 ms;5.68 ms;15.24 Mbit/s;20.25 Mbit/s;0.0 %;72.17 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 13:09;641.33 kbit/s;8.11 Mbit/s;13.86 ms;11.48 ms;627.49 kbit/s;7.98 Mbit/s;2.08 %;82.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:09;8.83 Mbit/s;14.57 Mbit/s;< 1 ms;21.27 ms;8.55 Mbit/s;14.38 Mbit/s;0.0 %;26.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:09;816.15 kbit/s;3.89 Mbit/s;20.27 ms;19.46 ms;891.05 kbit/s;4.14 Mbit/s;0.68 %;39.4 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:09;4.87 Mbit/s;14.76 Mbit/s;12.35 ms;12.35 ms;3.47 Mbit/s;4.02 Mbit/s;1.37 %;90.79 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 09:09;13.96 Mbit/s;15.17 Mbit/s;29.32 ms;2.58 ms;13.97 Mbit/s;15.17 Mbit/s;0.68 %;159.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:09;9.79 Mbit/s;8.77 Mbit/s;< 1 ms;4.14 ms;6.82 Mbit/s;7.87 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:09;17.79 Mbit/s;20.5 Mbit/s;< 1 ms;< 1 ms;18.74 Mbit/s;21.79 Mbit/s;0.0 %;3.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 06:09;17.07 Mbit/s;22.04 Mbit/s;< 1 ms;< 1 ms;17.76 Mbit/s;23.39 Mbit/s;0.0 %;10.82 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 05:09;13.45 Mbit/s;20.44 Mbit/s;< 1 ms;< 1 ms;10.64 Mbit/s;21.18 Mbit/s;0.0 %;128.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
