dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:36;-;-;-;15.44 ms;-;-;10.24 %;583.68 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:36;-;-;-;-;-;-;3.57 %;218.47 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 15:36;1.64 Mbit/s;7.4 Mbit/s;8.76 ms;11.69 ms;1.87 Mbit/s;6.7 Mbit/s;0.68 %;94.87 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:36;7.16 Mbit/s;10.76 Mbit/s;106.09 ms;5.6 ms;7.83 Mbit/s;9.56 Mbit/s;7.21 %;443.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 13:36;3.74 Mbit/s;2.87 Mbit/s;3.86 ms;12.13 ms;3.23 Mbit/s;2.77 Mbit/s;2.19 %;39.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 12:36;7.55 Mbit/s;7.03 Mbit/s;3.0 ms;24.66 ms;8.18 Mbit/s;5.41 Mbit/s;0.0 %;104.29 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 11:36;3.55 Mbit/s;5.7 Mbit/s;3.72 ms;39.19 ms;3.93 Mbit/s;5.11 Mbit/s;9.16 %;67.27 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:36;5.04 Mbit/s;12.2 Mbit/s;2.58 ms;8.51 ms;3.66 Mbit/s;11.81 Mbit/s;0.0 %;8.83 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 09:36;-;-;-;13.35 ms;-;-;5.19 %;41.14 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:36;23.39 Mbit/s;16.93 Mbit/s;64.85 ms;3.86 ms;20.66 Mbit/s;14.94 Mbit/s;9.26 %;167.9 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 07:36;18.39 Mbit/s;25.09 Mbit/s;< 1 ms;< 1 ms;14.66 Mbit/s;21.61 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 07:01;10.84 Mbit/s;1.07 Mbit/s;< 1 ms;1.84 ms;10.55 Mbit/s;1.05 Mbit/s;0.0 %;10.32 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 06:36;23.08 Mbit/s;23.26 Mbit/s;< 1 ms;2.46 ms;24.62 Mbit/s;24.4 Mbit/s;0.0 %;4.9 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 04:36;26.85 Mbit/s;24.28 Mbit/s;< 1 ms;1.48 ms;26.31 Mbit/s;22.03 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 03:36;26.93 Mbit/s;26.1 Mbit/s;< 1 ms;< 1 ms;26.49 Mbit/s;24.36 Mbit/s;0.0 %;5.5 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 02:36;26.85 Mbit/s;26.31 Mbit/s;< 1 ms;< 1 ms;26.45 Mbit/s;24.17 Mbit/s;0.0 %;5.17 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:36;14.05 Mbit/s;25.73 Mbit/s;2.37 ms;2.58 ms;15.46 Mbit/s;14.98 Mbit/s;0.0 %;6.28 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 23:39;20.03 Mbit/s;12.31 Mbit/s;< 1 ms;10.39 ms;20.78 Mbit/s;11.53 Mbit/s;1.37 %;7.27 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 23:36;-;23.7 Mbit/s;< 1 ms;3.58 ms;-;-;0.0 %;5.74 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 22:36;19.09 Mbit/s;21.58 Mbit/s;51.39 ms;10.6 ms;20.8 Mbit/s;21.59 Mbit/s;0.74 %;183.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 21:36;10.71 Mbit/s;5.54 Mbit/s;10.0 ms;22.8 ms;11.46 Mbit/s;5.26 Mbit/s;0.0 %;84.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 20:36;-;-;-;18.03 ms;-;-;3.6 %;133.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 19:36;-;-;-;-;-;-;3.94 %;984.36 ms;PTT Metro de Goiania;;;;;
31/07/15 18:36;7.79 Mbit/s;7.27 Mbit/s;6.05 ms;3.69 ms;6.89 Mbit/s;7.03 Mbit/s;0.0 %;21.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 17:36;4.0 Mbit/s;8.02 Mbit/s;52.4 ms;8.06 ms;4.76 Mbit/s;8.37 Mbit/s;12.93 %;214.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 16:36;246.42 kbit/s;6.09 Mbit/s;97.84 ms;-;479.13 kbit/s;5.91 Mbit/s;4.59 %;343.72 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 15:36;-;-;-;18.19 ms;-;-;4.96 %;700.32 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 14:37;-;3.66 Mbit/s;17.36 ms;15.69 ms;-;-;2.1 %;93.9 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 13:36;3.96 Mbit/s;3.81 Mbit/s;70.32 ms;22.25 ms;4.73 Mbit/s;3.16 Mbit/s;3.79 %;533.61 ms;PTT Metro de Campinas;;;;;
31/07/15 12:36;-;-;-;11.88 ms;-;-;2.29 %;31.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 11:37;-;815.72 kbit/s;3.37 ms;22.87 ms;-;-;70.83 %;46.97 ms;PTT Metro de Belo Horizonte;;;;;
31/07/15 09:36;16.06 Mbit/s;16.32 Mbit/s;1.56 ms;23.58 ms;8.42 Mbit/s;14.9 Mbit/s;1.96 %;97.16 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 08:36;9.85 Mbit/s;21.28 Mbit/s;< 1 ms;18.66 ms;10.93 Mbit/s;20.87 Mbit/s;4.35 %;21.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 07:36;8.56 Mbit/s;21.09 Mbit/s;14.43 ms;2.17 ms;9.32 Mbit/s;14.17 Mbit/s;1.37 %;34.0 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 06:37;12.96 Mbit/s;22.43 Mbit/s;< 1 ms;10.82 ms;13.82 Mbit/s;19.4 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 05:36;26.15 Mbit/s;23.16 Mbit/s;< 1 ms;< 1 ms;26.19 Mbit/s;19.53 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 04:36;19.39 Mbit/s;24.0 Mbit/s;< 1 ms;3.28 ms;20.3 Mbit/s;24.06 Mbit/s;0.0 %;390.99 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 03:36;25.78 Mbit/s;23.61 Mbit/s;< 1 ms;< 1 ms;25.92 Mbit/s;23.72 Mbit/s;0.68 %;5.54 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 02:36;25.35 Mbit/s;19.47 Mbit/s;< 1 ms;< 1 ms;25.74 Mbit/s;19.38 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 01:36;23.5 Mbit/s;25.99 Mbit/s;< 1 ms;1.04 ms;24.98 Mbit/s;22.95 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 00:36;20.48 Mbit/s;25.37 Mbit/s;< 1 ms;< 1 ms;22.55 Mbit/s;22.58 Mbit/s;0.0 %;9.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 23:38;6.74 Mbit/s;3.22 Mbit/s;38.42 ms;14.42 ms;7.82 Mbit/s;2.97 Mbit/s;0.0 %;329.27 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 22:36;22.53 Mbit/s;22.84 Mbit/s;< 1 ms;< 1 ms;23.71 Mbit/s;19.97 Mbit/s;0.0 %;14.01 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 20:36;4.33 Mbit/s;4.05 Mbit/s;4.81 ms;5.93 ms;-;4.05 Mbit/s;2.82 %;49.63 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 19:36;-;6.31 Mbit/s;9.48 ms;45.84 ms;-;-;2.82 %;196.74 ms;PTT Metro de Florianopolis;;;;;
30/07/15 18:36;3.77 Mbit/s;6.91 Mbit/s;52.55 ms;12.88 ms;4.44 Mbit/s;6.9 Mbit/s;0.0 %;191.96 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 17:37;3.54 Mbit/s;6.77 Mbit/s;30.13 ms;33.01 ms;4.18 Mbit/s;6.27 Mbit/s;0.0 %;243.25 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 16:38;-;-;-;-;-;-;5.97 %;491.71 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/07/15 15:36;-;2.93 Mbit/s;10.9 ms;9.95 ms;-;-;3.51 %;65.77 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 13:36;3.87 Mbit/s;6.49 Mbit/s;17.62 ms;5.41 ms;2.6 Mbit/s;2.04 Mbit/s;0.79 %;165.37 ms;PTT Metro de Belo Horizonte;;;;;
30/07/15 12:37;15.94 Mbit/s;8.77 Mbit/s;< 1 ms;14.32 ms;17.71 Mbit/s;8.22 Mbit/s;4.32 %;11.78 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 11:36;8.08 Mbit/s;10.53 Mbit/s;7.05 ms;2.24 ms;7.64 Mbit/s;4.24 Mbit/s;1.4 %;54.88 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 10:37;11.84 Mbit/s;15.82 Mbit/s;< 1 ms;4.28 ms;13.15 Mbit/s;11.77 Mbit/s;2.82 %;33.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 09:36;11.43 Mbit/s;18.44 Mbit/s;4.4 ms;1.42 ms;12.61 Mbit/s;18.49 Mbit/s;2.08 %;6.57 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 08:37;-;-;-;-;-;-;1.38 %;72.32 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 07:36;9.27 Mbit/s;14.16 Mbit/s;35.51 ms;2.59 ms;-;10.06 Mbit/s;0.0 %;56.79 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 05:36;26.88 Mbit/s;26.14 Mbit/s;< 1 ms;1.43 ms;26.16 Mbit/s;23.69 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 04:36;19.66 Mbit/s;23.47 Mbit/s;< 1 ms;1.85 ms;8.4 Mbit/s;16.17 Mbit/s;0.0 %;6.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 03:36;25.51 Mbit/s;25.09 Mbit/s;< 1 ms;< 1 ms;25.93 Mbit/s;24.55 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 02:36;20.48 Mbit/s;26.45 Mbit/s;< 1 ms;< 1 ms;22.6 Mbit/s;23.41 Mbit/s;0.0 %;4.94 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 01:36;25.76 Mbit/s;24.15 Mbit/s;< 1 ms;< 1 ms;26.02 Mbit/s;24.86 Mbit/s;0.0 %;5.13 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 00:36;7.22 Mbit/s;6.25 Mbit/s;22.89 ms;12.62 ms;7.46 Mbit/s;5.68 Mbit/s;1.6 %;587.55 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 23:36;18.07 Mbit/s;20.11 Mbit/s;3.33 ms;6.64 ms;13.1 Mbit/s;16.14 Mbit/s;0.0 %;5.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 22:36;26.76 Mbit/s;21.08 Mbit/s;< 1 ms;< 1 ms;26.38 Mbit/s;22.2 Mbit/s;0.0 %;5.45 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 21:36;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 14:36;3.62 Mbit/s;1.05 Mbit/s;75.46 ms;16.36 ms;4.31 Mbit/s;1.05 Mbit/s;8.89 %;422.23 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
29/07/15 13:36;1.55 Mbit/s;2.11 Mbit/s;46.17 ms;9.11 ms;1.36 Mbit/s;1.36 Mbit/s;2.05 %;236.08 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 12:38;3.49 Mbit/s;1.76 Mbit/s;6.73 ms;13.28 ms;3.79 Mbit/s;1.82 Mbit/s;2.84 %;69.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 11:36;11.42 Mbit/s;12.05 Mbit/s;1.63 ms;9.26 ms;9.97 Mbit/s;12.38 Mbit/s;0.68 %;15.39 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 10:37;8.19 Mbit/s;4.45 Mbit/s;2.19 ms;7.43 ms;9.23 Mbit/s;4.75 Mbit/s;0.68 %;51.56 ms;PTT Metro de Belo Horizonte;;;;;
29/07/15 09:36;16.74 Mbit/s;11.62 Mbit/s;< 1 ms;2.63 ms;19.17 Mbit/s;11.64 Mbit/s;0.68 %;8.03 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 08:36;25.73 Mbit/s;23.74 Mbit/s;< 1 ms;< 1 ms;26.52 Mbit/s;22.84 Mbit/s;0.68 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 07:37;18.93 Mbit/s;25.19 Mbit/s;< 1 ms;6.9 ms;19.7 Mbit/s;22.68 Mbit/s;0.0 %;44.4 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
29/07/15 06:36;22.15 Mbit/s;22.62 Mbit/s;< 1 ms;< 1 ms;23.29 Mbit/s;21.12 Mbit/s;0.0 %;4.9 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 05:36;23.28 Mbit/s;25.95 Mbit/s;5.62 ms;< 1 ms;24.84 Mbit/s;24.6 Mbit/s;0.0 %;7.79 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 04:36;14.01 Mbit/s;13.61 Mbit/s;< 1 ms;13.71 ms;15.37 Mbit/s;11.92 Mbit/s;0.0 %;6.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 03:36;26.47 Mbit/s;26.25 Mbit/s;< 1 ms;< 1 ms;26.33 Mbit/s;24.44 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 02:36;23.91 Mbit/s;22.86 Mbit/s;61.78 ms;< 1 ms;25.26 Mbit/s;21.51 Mbit/s;14.41 %;147.46 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 01:36;23.8 Mbit/s;25.98 Mbit/s;< 1 ms;< 1 ms;25.08 Mbit/s;24.28 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 00:36;21.37 Mbit/s;25.61 Mbit/s;3.98 ms;36.13 ms;22.96 Mbit/s;24.33 Mbit/s;0.74 %;91.59 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/07/15 23:36;22.13 Mbit/s;21.36 Mbit/s;4.49 ms;1.02 ms;23.84 Mbit/s;18.95 Mbit/s;0.68 %;12.83 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 22:36;15.43 Mbit/s;24.68 Mbit/s;< 1 ms;< 1 ms;4.92 Mbit/s;19.26 Mbit/s;0.0 %;6.72 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/07/15 21:36;5.3 Mbit/s;10.12 Mbit/s;15.63 ms;14.07 ms;5.8 Mbit/s;7.89 Mbit/s;0.75 %;168.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 19:37;4.32 Mbit/s;3.41 Mbit/s;42.54 ms;14.56 ms;5.14 Mbit/s;3.53 Mbit/s;0.0 %;414.3 ms;PTT Metro de Florianopolis;;;;;
28/07/15 17:38;-;869.11 kbit/s;40.57 ms;21.54 ms;-;-;2.1 %;599.58 ms;PTT Metro de Belo Horizonte;;;;;
28/07/15 16:38;7.34 Mbit/s;2.91 Mbit/s;7.57 ms;21.28 ms;7.41 Mbit/s;2.88 Mbit/s;5.56 %;75.06 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 14:37;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/07/15 13:36;4.46 Mbit/s;2.79 Mbit/s;30.47 ms;32.56 ms;5.14 Mbit/s;2.81 Mbit/s;0.71 %;240.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 11:37;5.74 Mbit/s;4.5 Mbit/s;50.78 ms;7.89 ms;6.47 Mbit/s;4.44 Mbit/s;4.3 %;138.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 09:36;12.79 Mbit/s;18.28 Mbit/s;< 1 ms;1.4 ms;14.14 Mbit/s;10.9 Mbit/s;0.0 %;9.16 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 08:36;15.61 Mbit/s;18.21 Mbit/s;47.65 ms;21.29 ms;16.26 Mbit/s;8.73 Mbit/s;6.67 %;171.58 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 07:36;-;-;-;2.3 ms;-;-;0.68 %;142.41 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 06:36;14.7 Mbit/s;21.83 Mbit/s;5.11 ms;1.47 ms;15.35 Mbit/s;17.32 Mbit/s;0.0 %;12.72 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 05:36;26.75 Mbit/s;25.3 Mbit/s;< 1 ms;< 1 ms;26.38 Mbit/s;23.92 Mbit/s;0.0 %;5.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 04:36;26.95 Mbit/s;24.84 Mbit/s;< 1 ms;< 1 ms;26.52 Mbit/s;24.85 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 03:36;26.98 Mbit/s;26.52 Mbit/s;< 1 ms;< 1 ms;26.49 Mbit/s;24.16 Mbit/s;0.0 %;5.41 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 02:36;26.79 Mbit/s;25.02 Mbit/s;< 1 ms;< 1 ms;26.32 Mbit/s;24.99 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 01:36;25.61 Mbit/s;26.49 Mbit/s;< 1 ms;< 1 ms;26.1 Mbit/s;24.1 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
28/07/15 00:36;19.46 Mbit/s;26.23 Mbit/s;< 1 ms;< 1 ms;21.39 Mbit/s;24.0 Mbit/s;0.0 %;5.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/07/15 23:36;24.04 Mbit/s;26.39 Mbit/s;< 1 ms;< 1 ms;22.61 Mbit/s;22.23 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/07/15 22:38;7.55 Mbit/s;12.77 Mbit/s;43.72 ms;4.12 ms;7.62 Mbit/s;11.53 Mbit/s;3.94 %;367.42 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
27/07/15 21:37;5.87 Mbit/s;8.39 Mbit/s;7.42 ms;13.08 ms;6.72 Mbit/s;8.13 Mbit/s;6.06 %;85.05 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
27/07/15 20:36;6.11 Mbit/s;4.79 Mbit/s;26.81 ms;8.95 ms;3.78 Mbit/s;4.5 Mbit/s;0.0 %;132.11 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/07/15 19:36;5.18 Mbit/s;3.66 Mbit/s;16.0 ms;7.02 ms;4.99 Mbit/s;3.85 Mbit/s;1.37 %;61.87 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/07/15 18:37;-;-;-;-;-;-;0.74 %;1139.42 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/07/15 17:37;-;-;-;11.41 ms;-;-;4.38 %;517.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/07/15 15:36;1.27 Mbit/s;4.11 Mbit/s;10.59 ms;8.69 ms;-;1.08 Mbit/s;0.0 %;68.54 ms;PTT Metro de Goiania;;;;;
27/07/15 14:37;-;304.29 kbit/s;4.12 ms;10.21 ms;-;-;1.52 %;62.19 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
27/07/15 13:43;12.97 Mbit/s;985.31 kbit/s;< 1 ms;< 1 ms;12.64 Mbit/s;729.61 kbit/s;0.0 %;7.9 ms;PTT Metro de Florianopolis;;;;;
27/07/15 12:37;7.67 Mbit/s;8.63 Mbit/s;4.05 ms;8.48 ms;-;7.81 Mbit/s;4.03 %;118.2 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/07/15 12:01;850.9 kbit/s;246.47 kbit/s;18.13 ms;1.55 ms;863.13 kbit/s;242.05 kbit/s;0.0 %;262.11 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/07/15 11:36;4.83 Mbit/s;8.43 Mbit/s;8.72 ms;43.82 ms;5.34 Mbit/s;7.26 Mbit/s;2.08 %;63.52 ms;PTT Metro de Goiania;;;;;
27/07/15 10:36;14.13 Mbit/s;9.71 Mbit/s;1.09 ms;3.34 ms;2.42 Mbit/s;8.92 Mbit/s;1.42 %;131.95 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
27/07/15 08:36;16.43 Mbit/s;19.25 Mbit/s;34.4 ms;2.46 ms;16.56 Mbit/s;15.59 Mbit/s;0.68 %;115.13 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/07/15 07:36;25.55 Mbit/s;25.2 Mbit/s;3.81 ms;2.75 ms;25.07 Mbit/s;18.22 Mbit/s;0.0 %;13.98 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/07/15 06:36;8.46 Mbit/s;23.47 Mbit/s;< 1 ms;2.32 ms;8.49 Mbit/s;16.55 Mbit/s;1.37 %;5.47 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
27/07/15 05:36;23.81 Mbit/s;26.13 Mbit/s;< 1 ms;< 1 ms;25.19 Mbit/s;23.37 Mbit/s;0.0 %;7.83 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/07/15 04:36;22.58 Mbit/s;19.72 Mbit/s;< 1 ms;9.5 ms;19.4 Mbit/s;18.9 Mbit/s;0.0 %;7.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
27/07/15 03:37;26.86 Mbit/s;26.37 Mbit/s;< 1 ms;< 1 ms;26.4 Mbit/s;24.18 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
27/07/15 02:36;26.94 Mbit/s;26.03 Mbit/s;< 1 ms;< 1 ms;26.41 Mbit/s;23.69 Mbit/s;0.0 %;5.42 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
27/07/15 01:36;25.05 Mbit/s;25.43 Mbit/s;< 1 ms;< 1 ms;25.5 Mbit/s;23.62 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
27/07/15 00:36;14.47 Mbit/s;25.14 Mbit/s;< 1 ms;16.28 ms;16.38 Mbit/s;20.51 Mbit/s;0.0 %;69.63 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/07/15 23:36;24.12 Mbit/s;23.81 Mbit/s;5.84 ms;2.94 ms;25.28 Mbit/s;22.58 Mbit/s;0.0 %;25.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/07/15 21:36;5.94 Mbit/s;8.28 Mbit/s;34.61 ms;10.12 ms;5.25 Mbit/s;8.24 Mbit/s;3.1 %;520.78 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
26/07/15 20:36;14.12 Mbit/s;20.59 Mbit/s;1.1 ms;2.7 ms;13.74 Mbit/s;16.18 Mbit/s;0.0 %;12.17 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
26/07/15 17:36;6.34 Mbit/s;9.18 Mbit/s;14.53 ms;9.53 ms;7.15 Mbit/s;9.46 Mbit/s;1.71 %;96.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/07/15 15:37;-;6.2 Mbit/s;37.7 ms;25.32 ms;-;-;48.28 %;190.68 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
26/07/15 14:36;19.71 Mbit/s;19.62 Mbit/s;5.21 ms;1.32 ms;21.31 Mbit/s;10.05 Mbit/s;5.07 %;15.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
26/07/15 13:36;17.04 Mbit/s;12.93 Mbit/s;< 1 ms;8.6 ms;18.54 Mbit/s;13.17 Mbit/s;0.0 %;5.83 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
26/07/15 12:37;4.35 Mbit/s;2.99 Mbit/s;131.85 ms;10.74 ms;3.61 Mbit/s;3.25 Mbit/s;0.68 %;630.55 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
26/07/15 11:37;-;-;-;-;-;-;1.37 %;17.01 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
