dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:00;24.68 Mbit/s;31.5 Mbit/s;2.87 ms;< 1 ms;26.74 Mbit/s;32.64 Mbit/s;0.0 %;4.02 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 18:00;17.46 Mbit/s;19.57 Mbit/s;1.28 ms;15.8 ms;19.16 Mbit/s;20.78 Mbit/s;0.0 %;29.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:00;2.72 Mbit/s;1.39 Mbit/s;19.27 ms;10.71 ms;2.13 Mbit/s;308.33 kbit/s;0.0 %;60.72 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:00;3.96 Mbit/s;1.71 Mbit/s;3.67 ms;30.61 ms;3.11 Mbit/s;1.09 Mbit/s;0.0 %;159.52 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 15:00;8.38 Mbit/s;3.32 Mbit/s;5.42 ms;6.49 ms;8.85 Mbit/s;3.57 Mbit/s;0.0 %;22.83 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:00;21.83 Mbit/s;17.3 Mbit/s;< 1 ms;2.61 ms;21.85 Mbit/s;17.62 Mbit/s;0.0 %;91.71 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 12:00;18.47 Mbit/s;29.49 Mbit/s;8.21 ms;1.57 ms;19.06 Mbit/s;28.22 Mbit/s;0.0 %;29.94 ms;PTT Metro de Curitiba;;;;;
01/08/15 11:00;15.32 Mbit/s;9.37 Mbit/s;3.37 ms;2.23 ms;10.0 Mbit/s;5.56 Mbit/s;0.0 %;24.62 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:00;5.51 Mbit/s;7.59 Mbit/s;18.8 ms;14.99 ms;3.3 Mbit/s;5.77 Mbit/s;0.0 %;69.29 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:00;24.63 Mbit/s;33.18 Mbit/s;< 1 ms;17.18 ms;26.87 Mbit/s;33.1 Mbit/s;0.0 %;4.77 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 08:00;23.81 Mbit/s;33.43 Mbit/s;< 1 ms;< 1 ms;25.57 Mbit/s;34.19 Mbit/s;0.68 %;4.25 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:00;24.86 Mbit/s;33.59 Mbit/s;< 1 ms;< 1 ms;26.1 Mbit/s;34.91 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 06:00;23.88 Mbit/s;27.03 Mbit/s;< 1 ms;< 1 ms;26.07 Mbit/s;27.95 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 05:00;24.63 Mbit/s;33.58 Mbit/s;< 1 ms;< 1 ms;26.94 Mbit/s;34.96 Mbit/s;0.0 %;4.29 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 04:00;22.67 Mbit/s;32.9 Mbit/s;< 1 ms;< 1 ms;24.95 Mbit/s;34.08 Mbit/s;0.0 %;4.63 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 03:00;21.68 Mbit/s;32.79 Mbit/s;< 1 ms;< 1 ms;23.57 Mbit/s;34.34 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 02:00;24.62 Mbit/s;33.27 Mbit/s;< 1 ms;< 1 ms;23.11 Mbit/s;35.03 Mbit/s;0.0 %;4.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 01:00;24.43 Mbit/s;28.36 Mbit/s;< 1 ms;< 1 ms;26.53 Mbit/s;29.71 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 00:00;24.95 Mbit/s;30.81 Mbit/s;17.73 ms;< 1 ms;23.9 Mbit/s;31.9 Mbit/s;0.0 %;11.25 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 23:00;17.83 Mbit/s;31.25 Mbit/s;1.99 ms;< 1 ms;19.22 Mbit/s;26.45 Mbit/s;0.68 %;4.82 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 22:00;23.36 Mbit/s;31.72 Mbit/s;< 1 ms;< 1 ms;20.82 Mbit/s;28.61 Mbit/s;0.0 %;43.8 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 21:00;20.2 Mbit/s;25.76 Mbit/s;< 1 ms;12.42 ms;22.02 Mbit/s;27.43 Mbit/s;0.0 %;15.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 20:00;24.12 Mbit/s;30.72 Mbit/s;< 1 ms;1.47 ms;26.2 Mbit/s;29.61 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 19:00;23.69 Mbit/s;29.78 Mbit/s;< 1 ms;1.83 ms;25.37 Mbit/s;31.43 Mbit/s;0.0 %;4.41 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 18:00;23.87 Mbit/s;29.66 Mbit/s;1.4 ms;< 1 ms;25.91 Mbit/s;30.57 Mbit/s;0.0 %;6.41 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 17:00;9.19 Mbit/s;5.23 Mbit/s;14.71 ms;6.32 ms;8.87 Mbit/s;2.99 Mbit/s;4.32 %;206.05 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 16:01;1.63 Mbit/s;1.52 Mbit/s;10.34 ms;24.88 ms;1.36 Mbit/s;1.21 Mbit/s;2.84 %;88.61 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 15:00;1.41 Mbit/s;4.77 Mbit/s;16.72 ms;45.99 ms;1.43 Mbit/s;2.13 Mbit/s;9.38 %;157.4 ms;PTT Metro de Curitiba;;;;;
31/07/15 14:00;3.47 Mbit/s;1.51 Mbit/s;9.14 ms;25.28 ms;448.58 kbit/s;151.31 kbit/s;6.82 %;53.42 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 13:00;8.7 Mbit/s;21.13 Mbit/s;9.74 ms;33.99 ms;8.87 Mbit/s;7.71 Mbit/s;5.97 %;35.2 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 12:00;7.3 Mbit/s;16.49 Mbit/s;2.7 ms;8.84 ms;4.56 Mbit/s;10.39 Mbit/s;2.08 %;16.05 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 11:01;10.63 Mbit/s;22.62 Mbit/s;24.55 ms;33.57 ms;11.12 Mbit/s;24.28 Mbit/s;5.15 %;174.29 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 10:00;11.79 Mbit/s;31.7 Mbit/s;< 1 ms;< 1 ms;12.95 Mbit/s;21.84 Mbit/s;0.0 %;5.78 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 09:00;22.35 Mbit/s;32.28 Mbit/s;< 1 ms;< 1 ms;24.02 Mbit/s;32.44 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 08:00;19.23 Mbit/s;31.5 Mbit/s;< 1 ms;< 1 ms;21.18 Mbit/s;32.86 Mbit/s;0.0 %;4.35 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
