dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:19;18.0 Mbit/s;23.92 Mbit/s;1.61 ms;2.76 ms;7.75 Mbit/s;25.39 Mbit/s;0.0 %;8.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 18:19;15.1 Mbit/s;5.14 Mbit/s;1.84 ms;1.41 ms;7.88 Mbit/s;4.88 Mbit/s;0.0 %;8.7 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 17:25;3.85 Mbit/s;7.97 Mbit/s;2.47 ms;9.33 ms;4.22 Mbit/s;8.08 Mbit/s;0.0 %;21.27 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:19;21.27 Mbit/s;19.47 Mbit/s;2.75 ms;10.66 ms;16.31 Mbit/s;14.9 Mbit/s;0.0 %;8.16 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 15:19;17.99 Mbit/s;22.99 Mbit/s;1.02 ms;4.27 ms;15.76 Mbit/s;21.04 Mbit/s;0.0 %;9.09 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 14:19;20.69 Mbit/s;13.25 Mbit/s;26.82 ms;4.76 ms;14.84 Mbit/s;11.87 Mbit/s;0.0 %;123.24 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 13:19;16.34 Mbit/s;24.73 Mbit/s;11.16 ms;16.94 ms;7.1 Mbit/s;8.23 Mbit/s;0.0 %;19.72 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:19;15.01 Mbit/s;16.27 Mbit/s;35.33 ms;14.07 ms;6.58 Mbit/s;15.09 Mbit/s;4.96 %;91.19 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:19;22.07 Mbit/s;21.18 Mbit/s;32.85 ms;1.69 ms;22.66 Mbit/s;22.31 Mbit/s;0.0 %;134.95 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 10:19;24.68 Mbit/s;25.8 Mbit/s;40.18 ms;44.51 ms;25.64 Mbit/s;22.15 Mbit/s;0.0 %;158.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 09:19;21.29 Mbit/s;25.68 Mbit/s;5.97 ms;< 1 ms;20.68 Mbit/s;26.38 Mbit/s;0.0 %;38.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 08:19;20.62 Mbit/s;23.39 Mbit/s;< 1 ms;2.82 ms;21.74 Mbit/s;25.1 Mbit/s;0.0 %;5.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 07:19;20.84 Mbit/s;28.82 Mbit/s;33.53 ms;1.05 ms;21.41 Mbit/s;29.11 Mbit/s;0.0 %;215.98 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 06:19;23.11 Mbit/s;30.65 Mbit/s;7.55 ms;< 1 ms;24.9 Mbit/s;28.56 Mbit/s;0.0 %;6.48 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 05:19;23.15 Mbit/s;28.89 Mbit/s;< 1 ms;1.07 ms;25.0 Mbit/s;30.15 Mbit/s;0.0 %;4.3 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 04:19;22.99 Mbit/s;21.76 Mbit/s;< 1 ms;< 1 ms;24.66 Mbit/s;23.13 Mbit/s;0.0 %;4.34 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 03:19;16.26 Mbit/s;26.68 Mbit/s;1.52 ms;< 1 ms;17.78 Mbit/s;27.74 Mbit/s;0.0 %;5.51 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 02:19;16.07 Mbit/s;26.94 Mbit/s;< 1 ms;4.27 ms;17.51 Mbit/s;28.79 Mbit/s;0.0 %;6.16 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 01:19;23.18 Mbit/s;30.52 Mbit/s;16.46 ms;< 1 ms;24.54 Mbit/s;30.81 Mbit/s;0.0 %;18.0 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 00:19;21.21 Mbit/s;25.76 Mbit/s;< 1 ms;< 1 ms;22.36 Mbit/s;27.38 Mbit/s;0.0 %;5.43 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 23:19;22.52 Mbit/s;26.55 Mbit/s;< 1 ms;3.45 ms;21.97 Mbit/s;22.61 Mbit/s;0.0 %;5.56 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 22:19;18.42 Mbit/s;20.14 Mbit/s;6.89 ms;2.39 ms;19.51 Mbit/s;18.22 Mbit/s;0.0 %;15.3 ms;PTT Metro de Curitiba;;;;;
31/07/15 21:19;22.43 Mbit/s;20.24 Mbit/s;3.36 ms;9.48 ms;21.07 Mbit/s;21.54 Mbit/s;0.0 %;10.78 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 20:19;10.13 Mbit/s;19.92 Mbit/s;1.93 ms;8.04 ms;9.76 Mbit/s;19.63 Mbit/s;0.0 %;22.19 ms;PTT Metro de Curitiba;;;;;
31/07/15 19:19;17.15 Mbit/s;19.46 Mbit/s;5.2 ms;16.71 ms;18.35 Mbit/s;18.06 Mbit/s;0.0 %;63.49 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 18:19;12.59 Mbit/s;4.57 Mbit/s;5.39 ms;24.18 ms;12.18 Mbit/s;3.07 Mbit/s;0.0 %;41.75 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 17:19;14.23 Mbit/s;9.63 Mbit/s;3.04 ms;9.18 ms;14.82 Mbit/s;9.98 Mbit/s;0.0 %;25.73 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
