dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
17/07/15 12:52;46.06 Mbit/s;47.26 Mbit/s;< 1 ms;< 1 ms;50.37 Mbit/s;49.88 Mbit/s;0.0 %;3.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
17/07/15 11:52;41.83 Mbit/s;51.34 Mbit/s;< 1 ms;2.16 ms;45.93 Mbit/s;54.09 Mbit/s;0.0 %;4.11 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
17/07/15 10:52;43.76 Mbit/s;47.76 Mbit/s;< 1 ms;< 1 ms;47.85 Mbit/s;50.88 Mbit/s;0.0 %;3.65 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
17/07/15 09:52;44.77 Mbit/s;46.69 Mbit/s;< 1 ms;< 1 ms;49.19 Mbit/s;49.53 Mbit/s;0.0 %;3.76 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
17/07/15 08:52;42.06 Mbit/s;47.57 Mbit/s;1.12 ms;< 1 ms;46.2 Mbit/s;49.55 Mbit/s;0.0 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
17/07/15 07:52;47.39 Mbit/s;46.47 Mbit/s;< 1 ms;< 1 ms;51.89 Mbit/s;48.77 Mbit/s;0.0 %;3.35 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/07/15 06:52;46.07 Mbit/s;48.25 Mbit/s;< 1 ms;< 1 ms;50.52 Mbit/s;51.17 Mbit/s;0.0 %;3.42 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
17/07/15 05:52;47.12 Mbit/s;46.6 Mbit/s;< 1 ms;< 1 ms;51.68 Mbit/s;48.86 Mbit/s;0.0 %;3.37 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
17/07/15 04:52;47.93 Mbit/s;44.6 Mbit/s;< 1 ms;< 1 ms;52.73 Mbit/s;47.44 Mbit/s;0.0 %;3.5 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
17/07/15 03:52;47.06 Mbit/s;46.66 Mbit/s;< 1 ms;< 1 ms;51.48 Mbit/s;49.63 Mbit/s;0.0 %;3.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
17/07/15 02:52;47.96 Mbit/s;46.09 Mbit/s;< 1 ms;< 1 ms;52.57 Mbit/s;49.02 Mbit/s;0.0 %;3.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
17/07/15 01:52;39.05 Mbit/s;47.66 Mbit/s;< 1 ms;< 1 ms;42.71 Mbit/s;49.88 Mbit/s;0.0 %;4.31 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
17/07/15 00:52;48.21 Mbit/s;47.82 Mbit/s;< 1 ms;< 1 ms;53.06 Mbit/s;50.69 Mbit/s;0.0 %;3.87 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
16/07/15 23:52;47.42 Mbit/s;49.14 Mbit/s;< 1 ms;1.05 ms;52.24 Mbit/s;52.0 Mbit/s;0.0 %;3.3 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/07/15 22:52;47.23 Mbit/s;44.9 Mbit/s;< 1 ms;< 1 ms;51.74 Mbit/s;47.67 Mbit/s;0.0 %;4.0 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
16/07/15 21:52;46.58 Mbit/s;45.61 Mbit/s;< 1 ms;1.25 ms;50.85 Mbit/s;48.19 Mbit/s;0.0 %;3.45 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/07/15 20:52;46.56 Mbit/s;50.7 Mbit/s;< 1 ms;< 1 ms;51.24 Mbit/s;54.14 Mbit/s;0.0 %;3.35 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/07/15 18:52;38.92 Mbit/s;46.07 Mbit/s;< 1 ms;1.03 ms;42.87 Mbit/s;48.95 Mbit/s;0.0 %;4.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
16/07/15 17:52;43.3 Mbit/s;49.17 Mbit/s;< 1 ms;< 1 ms;47.46 Mbit/s;48.31 Mbit/s;0.0 %;3.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
16/07/15 16:52;45.45 Mbit/s;47.45 Mbit/s;< 1 ms;< 1 ms;49.84 Mbit/s;50.62 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/07/15 15:52;45.33 Mbit/s;48.27 Mbit/s;< 1 ms;1.11 ms;48.8 Mbit/s;51.19 Mbit/s;0.0 %;4.16 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
16/07/15 14:52;45.54 Mbit/s;47.72 Mbit/s;< 1 ms;< 1 ms;49.97 Mbit/s;50.86 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/07/15 13:52;44.36 Mbit/s;46.58 Mbit/s;< 1 ms;< 1 ms;48.79 Mbit/s;49.38 Mbit/s;0.0 %;3.54 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/07/15 12:52;46.15 Mbit/s;47.53 Mbit/s;< 1 ms;< 1 ms;50.35 Mbit/s;50.61 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/07/15 11:52;44.99 Mbit/s;47.76 Mbit/s;< 1 ms;< 1 ms;48.38 Mbit/s;50.59 Mbit/s;0.0 %;3.59 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/07/15 10:52;41.65 Mbit/s;47.96 Mbit/s;< 1 ms;< 1 ms;45.37 Mbit/s;51.02 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/07/15 09:52;39.7 Mbit/s;47.64 Mbit/s;< 1 ms;2.47 ms;43.43 Mbit/s;49.15 Mbit/s;0.0 %;3.48 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/07/15 08:52;42.72 Mbit/s;44.54 Mbit/s;< 1 ms;< 1 ms;47.08 Mbit/s;47.41 Mbit/s;0.0 %;3.5 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/07/15 07:52;47.01 Mbit/s;46.58 Mbit/s;< 1 ms;< 1 ms;51.48 Mbit/s;49.84 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/07/15 06:52;45.3 Mbit/s;45.73 Mbit/s;< 1 ms;< 1 ms;49.35 Mbit/s;43.8 Mbit/s;0.0 %;3.4 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
16/07/15 04:52;48.7 Mbit/s;46.36 Mbit/s;< 1 ms;< 1 ms;52.88 Mbit/s;48.97 Mbit/s;0.0 %;3.37 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/07/15 03:52;46.43 Mbit/s;47.65 Mbit/s;< 1 ms;< 1 ms;50.35 Mbit/s;50.89 Mbit/s;0.0 %;3.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
16/07/15 02:52;46.78 Mbit/s;46.77 Mbit/s;< 1 ms;< 1 ms;51.36 Mbit/s;49.9 Mbit/s;0.0 %;3.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
16/07/15 01:52;48.02 Mbit/s;46.62 Mbit/s;1.01 ms;< 1 ms;52.4 Mbit/s;49.72 Mbit/s;0.0 %;3.5 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
16/07/15 00:52;47.07 Mbit/s;46.98 Mbit/s;< 1 ms;< 1 ms;51.7 Mbit/s;50.0 Mbit/s;0.0 %;3.38 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
15/07/15 23:52;46.77 Mbit/s;47.86 Mbit/s;< 1 ms;< 1 ms;51.18 Mbit/s;45.62 Mbit/s;0.0 %;3.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
15/07/15 22:52;47.02 Mbit/s;46.68 Mbit/s;< 1 ms;< 1 ms;51.74 Mbit/s;49.74 Mbit/s;0.0 %;3.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
15/07/15 21:52;47.35 Mbit/s;46.2 Mbit/s;< 1 ms;< 1 ms;51.94 Mbit/s;48.83 Mbit/s;0.0 %;3.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
15/07/15 20:52;47.65 Mbit/s;49.52 Mbit/s;< 1 ms;1.01 ms;52.28 Mbit/s;51.84 Mbit/s;0.0 %;3.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
15/07/15 19:52;47.34 Mbit/s;46.91 Mbit/s;1.03 ms;1.01 ms;51.71 Mbit/s;49.79 Mbit/s;0.0 %;4.03 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
15/07/15 18:52;47.4 Mbit/s;48.53 Mbit/s;< 1 ms;< 1 ms;49.99 Mbit/s;51.9 Mbit/s;0.0 %;3.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
