dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:11;24.98 Mbit/s;24.93 Mbit/s;< 1 ms;1.0 ms;24.44 Mbit/s;21.96 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:11;25.0 Mbit/s;25.09 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.29 Mbit/s;0.0 %;5.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:11;25.09 Mbit/s;24.87 Mbit/s;< 1 ms;1.17 ms;24.45 Mbit/s;22.2 Mbit/s;0.0 %;5.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 16:11;24.96 Mbit/s;24.83 Mbit/s;1.25 ms;< 1 ms;24.37 Mbit/s;22.15 Mbit/s;0.0 %;5.52 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 15:11;25.04 Mbit/s;24.6 Mbit/s;1.16 ms;1.09 ms;24.42 Mbit/s;22.32 Mbit/s;0.0 %;5.43 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:11;25.0 Mbit/s;24.87 Mbit/s;< 1 ms;1.03 ms;24.44 Mbit/s;21.96 Mbit/s;0.0 %;5.67 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 13:11;24.98 Mbit/s;24.95 Mbit/s;2.16 ms;< 1 ms;24.43 Mbit/s;22.2 Mbit/s;0.0 %;8.61 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 12:11;24.99 Mbit/s;25.01 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;21.86 Mbit/s;0.0 %;5.83 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:11;24.97 Mbit/s;24.95 Mbit/s;< 1 ms;1.33 ms;24.33 Mbit/s;22.3 Mbit/s;0.0 %;6.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:11;25.08 Mbit/s;24.91 Mbit/s;< 1 ms;1.43 ms;24.44 Mbit/s;22.12 Mbit/s;0.0 %;6.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 09:11;24.98 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.43 Mbit/s;22.38 Mbit/s;0.0 %;5.22 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:11;25.21 Mbit/s;24.98 Mbit/s;1.38 ms;< 1 ms;24.47 Mbit/s;22.1 Mbit/s;0.0 %;5.4 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 07:11;24.96 Mbit/s;24.88 Mbit/s;< 1 ms;3.23 ms;24.44 Mbit/s;21.77 Mbit/s;0.0 %;5.97 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:11;25.0 Mbit/s;24.82 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.42 Mbit/s;0.0 %;4.84 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 05:11;24.98 Mbit/s;25.01 Mbit/s;< 1 ms;< 1 ms;24.32 Mbit/s;21.91 Mbit/s;0.0 %;5.32 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:11;24.96 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.12 Mbit/s;0.0 %;4.97 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 03:11;25.07 Mbit/s;24.89 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.14 Mbit/s;0.0 %;5.14 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 02:11;24.94 Mbit/s;24.91 Mbit/s;< 1 ms;1.51 ms;24.41 Mbit/s;22.15 Mbit/s;0.0 %;4.75 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 01:11;24.31 Mbit/s;24.9 Mbit/s;1.68 ms;1.74 ms;24.25 Mbit/s;22.25 Mbit/s;0.0 %;6.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 00:11;24.97 Mbit/s;24.98 Mbit/s;1.15 ms;< 1 ms;20.09 Mbit/s;22.22 Mbit/s;0.0 %;5.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 23:11;25.14 Mbit/s;24.85 Mbit/s;< 1 ms;1.92 ms;24.45 Mbit/s;22.05 Mbit/s;0.0 %;5.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:11;24.97 Mbit/s;24.79 Mbit/s;< 1 ms;< 1 ms;24.29 Mbit/s;22.02 Mbit/s;0.0 %;5.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 21:12;24.88 Mbit/s;24.92 Mbit/s;< 1 ms;1.05 ms;24.26 Mbit/s;22.14 Mbit/s;0.0 %;5.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 20:11;24.92 Mbit/s;25.04 Mbit/s;< 1 ms;1.54 ms;24.34 Mbit/s;21.81 Mbit/s;0.0 %;5.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 19:11;24.93 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;22.2 Mbit/s;0.0 %;5.79 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 18:11;25.01 Mbit/s;24.87 Mbit/s;1.07 ms;< 1 ms;24.43 Mbit/s;22.01 Mbit/s;0.0 %;6.01 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 17:11;23.32 Mbit/s;24.94 Mbit/s;4.29 ms;< 1 ms;23.55 Mbit/s;22.15 Mbit/s;3.6 %;8.74 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 16:12;15.25 Mbit/s;24.85 Mbit/s;< 1 ms;< 1 ms;15.46 Mbit/s;21.2 Mbit/s;7.63 %;7.21 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 15:11;12.16 Mbit/s;24.72 Mbit/s;< 1 ms;< 1 ms;12.24 Mbit/s;22.15 Mbit/s;8.4 %;7.47 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 14:12;9.59 Mbit/s;24.57 Mbit/s;< 1 ms;< 1 ms;9.89 Mbit/s;22.27 Mbit/s;2.82 %;7.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 13:11;16.77 Mbit/s;24.83 Mbit/s;< 1 ms;< 1 ms;17.14 Mbit/s;21.93 Mbit/s;6.82 %;7.17 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 12:11;10.38 Mbit/s;23.52 Mbit/s;1.28 ms;1.43 ms;10.6 Mbit/s;22.74 Mbit/s;11.29 %;7.4 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 11:11;12.54 Mbit/s;24.78 Mbit/s;1.23 ms;1.73 ms;12.94 Mbit/s;22.22 Mbit/s;4.32 %;7.46 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 10:11;24.7 Mbit/s;25.02 Mbit/s;1.29 ms;1.09 ms;24.21 Mbit/s;21.26 Mbit/s;0.0 %;6.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 08:11;25.06 Mbit/s;25.0 Mbit/s;1.41 ms;< 1 ms;24.32 Mbit/s;22.14 Mbit/s;0.0 %;6.42 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 07:11;25.01 Mbit/s;24.97 Mbit/s;< 1 ms;2.87 ms;24.12 Mbit/s;22.12 Mbit/s;0.0 %;5.74 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 06:11;24.97 Mbit/s;24.8 Mbit/s;< 1 ms;< 1 ms;24.43 Mbit/s;22.0 Mbit/s;0.0 %;5.55 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 05:11;24.96 Mbit/s;24.92 Mbit/s;< 1 ms;2.15 ms;24.34 Mbit/s;22.15 Mbit/s;0.0 %;5.25 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 04:11;9.42 Mbit/s;25.05 Mbit/s;< 1 ms;< 1 ms;9.42 Mbit/s;21.85 Mbit/s;0.0 %;10.34 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 03:11;24.96 Mbit/s;24.91 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.41 Mbit/s;0.0 %;4.83 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 02:11;24.96 Mbit/s;24.91 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.25 Mbit/s;0.68 %;4.72 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 01:11;25.0 Mbit/s;24.88 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.37 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 00:11;25.02 Mbit/s;24.83 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.22 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 23:11;24.9 Mbit/s;24.65 Mbit/s;< 1 ms;6.99 ms;24.33 Mbit/s;22.31 Mbit/s;0.0 %;6.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 22:11;19.46 Mbit/s;24.92 Mbit/s;1.1 ms;1.33 ms;21.39 Mbit/s;21.73 Mbit/s;0.0 %;5.43 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 20:11;24.97 Mbit/s;24.68 Mbit/s;1.05 ms;2.89 ms;24.4 Mbit/s;22.27 Mbit/s;0.68 %;5.47 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 19:11;25.01 Mbit/s;24.92 Mbit/s;< 1 ms;< 1 ms;24.41 Mbit/s;22.09 Mbit/s;0.0 %;6.33 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 18:11;24.99 Mbit/s;24.77 Mbit/s;< 1 ms;2.33 ms;24.45 Mbit/s;22.12 Mbit/s;0.0 %;6.28 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 17:11;24.82 Mbit/s;24.87 Mbit/s;< 1 ms;1.12 ms;24.41 Mbit/s;21.77 Mbit/s;1.38 %;6.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 16:11;24.16 Mbit/s;24.79 Mbit/s;< 1 ms;6.17 ms;23.65 Mbit/s;21.3 Mbit/s;1.37 %;7.41 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 15:11;25.08 Mbit/s;24.93 Mbit/s;1.34 ms;1.91 ms;24.42 Mbit/s;22.2 Mbit/s;0.68 %;7.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 14:11;25.06 Mbit/s;24.88 Mbit/s;< 1 ms;< 1 ms;24.46 Mbit/s;22.03 Mbit/s;0.0 %;6.96 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 13:12;25.05 Mbit/s;24.85 Mbit/s;1.42 ms;< 1 ms;24.4 Mbit/s;22.05 Mbit/s;0.0 %;7.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 11:11;25.06 Mbit/s;24.84 Mbit/s;< 1 ms;< 1 ms;24.36 Mbit/s;22.02 Mbit/s;0.0 %;6.6 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 10:11;24.98 Mbit/s;24.94 Mbit/s;< 1 ms;1.02 ms;24.42 Mbit/s;22.07 Mbit/s;0.0 %;7.17 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 09:11;25.05 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;21.94 Mbit/s;0.68 %;6.61 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 08:11;25.01 Mbit/s;25.03 Mbit/s;< 1 ms;< 1 ms;24.42 Mbit/s;22.26 Mbit/s;0.0 %;5.29 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 07:11;25.06 Mbit/s;24.86 Mbit/s;< 1 ms;1.1 ms;24.37 Mbit/s;22.19 Mbit/s;0.0 %;4.94 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 06:11;24.99 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;18.66 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 05:11;25.16 Mbit/s;24.89 Mbit/s;< 1 ms;1.67 ms;24.47 Mbit/s;22.14 Mbit/s;0.0 %;4.8 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 04:11;24.92 Mbit/s;24.87 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.23 Mbit/s;0.0 %;5.21 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 03:11;25.02 Mbit/s;24.96 Mbit/s;1.4 ms;< 1 ms;24.45 Mbit/s;22.18 Mbit/s;0.0 %;6.06 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 02:11;24.87 Mbit/s;24.88 Mbit/s;< 1 ms;< 1 ms;24.41 Mbit/s;22.09 Mbit/s;0.0 %;4.88 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 01:11;24.96 Mbit/s;24.92 Mbit/s;< 1 ms;2.84 ms;24.43 Mbit/s;22.3 Mbit/s;0.0 %;5.11 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 00:11;24.95 Mbit/s;24.89 Mbit/s;< 1 ms;< 1 ms;24.25 Mbit/s;22.18 Mbit/s;0.0 %;5.43 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 22:11;24.96 Mbit/s;24.82 Mbit/s;< 1 ms;1.83 ms;24.42 Mbit/s;22.13 Mbit/s;0.0 %;5.71 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 21:11;24.94 Mbit/s;24.94 Mbit/s;1.49 ms;< 1 ms;24.43 Mbit/s;22.2 Mbit/s;0.0 %;5.83 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 20:11;24.98 Mbit/s;24.83 Mbit/s;< 1 ms;< 1 ms;24.43 Mbit/s;22.12 Mbit/s;2.08 %;5.53 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 18:11;24.98 Mbit/s;24.85 Mbit/s;3.82 ms;1.36 ms;24.44 Mbit/s;22.42 Mbit/s;0.0 %;6.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 17:11;25.06 Mbit/s;24.98 Mbit/s;< 1 ms;< 1 ms;24.39 Mbit/s;21.98 Mbit/s;0.0 %;6.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 16:11;25.04 Mbit/s;24.86 Mbit/s;1.24 ms;1.39 ms;24.4 Mbit/s;21.95 Mbit/s;2.08 %;7.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 15:11;25.04 Mbit/s;24.79 Mbit/s;2.1 ms;< 1 ms;24.45 Mbit/s;22.36 Mbit/s;0.0 %;7.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 14:11;24.98 Mbit/s;24.91 Mbit/s;< 1 ms;1.39 ms;24.34 Mbit/s;21.93 Mbit/s;0.0 %;7.04 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 13:11;24.98 Mbit/s;24.95 Mbit/s;1.23 ms;< 1 ms;24.36 Mbit/s;22.18 Mbit/s;0.0 %;6.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 12:11;25.02 Mbit/s;24.99 Mbit/s;< 1 ms;< 1 ms;24.3 Mbit/s;21.96 Mbit/s;0.0 %;6.82 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 11:11;25.05 Mbit/s;24.79 Mbit/s;1.01 ms;< 1 ms;24.44 Mbit/s;22.15 Mbit/s;0.68 %;6.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 09:11;15.7 Mbit/s;24.98 Mbit/s;1.06 ms;1.18 ms;17.23 Mbit/s;21.74 Mbit/s;0.0 %;6.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 08:11;24.97 Mbit/s;24.89 Mbit/s;< 1 ms;< 1 ms;24.43 Mbit/s;22.2 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 07:11;24.89 Mbit/s;24.86 Mbit/s;< 1 ms;< 1 ms;24.42 Mbit/s;22.45 Mbit/s;0.0 %;5.19 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 06:11;25.05 Mbit/s;24.89 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;21.32 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 05:11;25.02 Mbit/s;24.84 Mbit/s;< 1 ms;2.08 ms;24.43 Mbit/s;21.75 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 04:11;25.11 Mbit/s;24.98 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;21.42 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 03:11;24.91 Mbit/s;24.85 Mbit/s;< 1 ms;1.14 ms;24.43 Mbit/s;22.13 Mbit/s;0.0 %;4.89 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 02:11;24.99 Mbit/s;24.88 Mbit/s;< 1 ms;1.25 ms;24.45 Mbit/s;21.44 Mbit/s;0.0 %;4.79 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 01:11;24.94 Mbit/s;24.9 Mbit/s;< 1 ms;< 1 ms;24.44 Mbit/s;22.27 Mbit/s;0.0 %;5.23 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 00:11;24.95 Mbit/s;24.97 Mbit/s;< 1 ms;< 1 ms;24.43 Mbit/s;21.98 Mbit/s;0.0 %;6.0 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 23:11;23.77 Mbit/s;24.85 Mbit/s;< 1 ms;1.38 ms;23.99 Mbit/s;22.27 Mbit/s;0.0 %;5.72 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 22:11;24.99 Mbit/s;24.89 Mbit/s;< 1 ms;< 1 ms;24.42 Mbit/s;22.39 Mbit/s;0.0 %;5.14 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 21:11;24.96 Mbit/s;24.91 Mbit/s;< 1 ms;1.14 ms;24.43 Mbit/s;22.18 Mbit/s;0.0 %;5.42 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 20:11;25.08 Mbit/s;24.97 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.3 Mbit/s;2.08 %;5.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/07/15 19:11;25.09 Mbit/s;24.88 Mbit/s;< 1 ms;< 1 ms;24.45 Mbit/s;22.22 Mbit/s;0.0 %;5.51 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
