dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:35;4.0 Mbit/s;5.21 Mbit/s;1.54 ms;7.92 ms;2.88 Mbit/s;5.57 Mbit/s;0.0 %;18.56 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:35;854.06 kbit/s;1.77 Mbit/s;51.81 ms;9.81 ms;908.51 kbit/s;1.87 Mbit/s;0.68 %;414.84 ms;PTT Metro de Curitiba;;;;;
01/08/15 17:35;2.97 Mbit/s;5.2 Mbit/s;72.66 ms;3.28 ms;2.41 Mbit/s;5.3 Mbit/s;0.0 %;321.1 ms;PTT Metro de Curitiba;;;;;
01/08/15 16:35;1.08 Mbit/s;2.15 Mbit/s;35.97 ms;1.67 ms;1.15 Mbit/s;2.26 Mbit/s;0.0 %;539.21 ms;PTT Metro de Curitiba;;;;;
01/08/15 15:35;1.01 Mbit/s;1.14 Mbit/s;35.19 ms;8.77 ms;495.71 kbit/s;1.13 Mbit/s;0.68 %;312.64 ms;PTT Metro de Curitiba;;;;;
01/08/15 13:35;6.12 Mbit/s;10.02 Mbit/s;11.53 ms;1.17 ms;6.84 Mbit/s;9.32 Mbit/s;0.68 %;124.41 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 12:35;5.14 Mbit/s;13.51 Mbit/s;41.45 ms;1.55 ms;5.65 Mbit/s;14.4 Mbit/s;1.37 %;44.14 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 11:37;2.28 Mbit/s;4.33 Mbit/s;30.29 ms;7.82 ms;1.78 Mbit/s;4.63 Mbit/s;0.0 %;53.94 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:35;7.28 Mbit/s;7.22 Mbit/s;14.38 ms;4.78 ms;4.97 Mbit/s;7.49 Mbit/s;0.68 %;77.4 ms;PTT Metro de Curitiba;;;;;
01/08/15 09:35;8.55 Mbit/s;6.99 Mbit/s;8.61 ms;3.47 ms;7.43 Mbit/s;7.13 Mbit/s;0.0 %;29.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
