dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:26;1.8 Mbit/s;8.54 Mbit/s;23.76 ms;13.95 ms;1.72 Mbit/s;8.92 Mbit/s;5.8 %;145.41 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 17:26;271.7 kbit/s;3.11 Mbit/s;7.71 ms;18.37 ms;261.82 kbit/s;3.11 Mbit/s;3.55 %;70.85 ms;PTT Metro de Curitiba;;;;;
01/08/15 16:27;-;-;-;25.09 ms;-;-;2.78 %;252.37 ms;PTT Metro de Curitiba;;;;;
01/08/15 15:26;-;1.22 Mbit/s;80.16 ms;20.91 ms;-;-;9.09 %;1164.38 ms;PTT Metro de Curitiba;;;;;
01/08/15 14:26;150.59 kbit/s;469.06 kbit/s;13.67 ms;1.69 ms;76.8 kbit/s;245.76 kbit/s;0.0 %;182.02 ms;PTT Metro de Curitiba;;;;;
01/08/15 13:27;210.62 kbit/s;2.47 Mbit/s;98.65 ms;3.34 ms;117.82 kbit/s;2.63 Mbit/s;4.32 %;1500.39 ms;PTT Metro de Curitiba;;;;;
01/08/15 12:26;112.68 kbit/s;1.71 Mbit/s;28.32 ms;6.8 ms;121.31 kbit/s;1.72 Mbit/s;4.29 %;125.6 ms;PTT Metro de Curitiba;;;;;
01/08/15 11:26;2.77 Mbit/s;3.78 Mbit/s;24.35 ms;27.69 ms;3.1 Mbit/s;4.0 Mbit/s;1.36 %;112.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 10:26;10.45 Mbit/s;7.2 Mbit/s;10.34 ms;7.93 ms;7.22 Mbit/s;5.74 Mbit/s;38.89 %;301.43 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 09:28;803.51 kbit/s;12.84 Mbit/s;9.78 ms;1.77 ms;868.36 kbit/s;5.95 Mbit/s;0.0 %;6.83 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 08:26;443.35 kbit/s;5.67 Mbit/s;21.83 ms;1.97 ms;488.73 kbit/s;6.01 Mbit/s;20.54 %;151.58 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 06:26;1.9 Mbit/s;6.35 Mbit/s;4.71 ms;1.0 ms;2.04 Mbit/s;6.77 Mbit/s;2.07 %;39.53 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 05:26;8.58 Mbit/s;14.3 Mbit/s;< 1 ms;2.98 ms;4.2 Mbit/s;13.91 Mbit/s;0.0 %;9.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 04:26;8.3 Mbit/s;8.96 Mbit/s;1.27 ms;2.95 ms;8.1 Mbit/s;9.48 Mbit/s;0.0 %;7.32 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 03:26;9.93 Mbit/s;8.09 Mbit/s;< 1 ms;2.71 ms;10.74 Mbit/s;8.61 Mbit/s;0.0 %;6.2 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 02:26;15.81 Mbit/s;11.14 Mbit/s;3.87 ms;1.03 ms;15.52 Mbit/s;10.38 Mbit/s;0.0 %;8.27 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 01:26;3.47 Mbit/s;6.23 Mbit/s;9.68 ms;30.72 ms;3.81 Mbit/s;6.44 Mbit/s;0.0 %;79.87 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 00:27;3.85 Mbit/s;2.63 Mbit/s;5.4 ms;1.97 ms;3.74 Mbit/s;2.81 Mbit/s;0.0 %;38.46 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
