dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:12;24.0 Mbit/s;18.16 Mbit/s;2.21 ms;2.6 ms;26.04 Mbit/s;16.65 Mbit/s;0.0 %;12.46 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 18:12;22.37 Mbit/s;18.37 Mbit/s;2.33 ms;1.32 ms;24.62 Mbit/s;11.93 Mbit/s;0.0 %;15.08 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:12;14.29 Mbit/s;16.02 Mbit/s;11.36 ms;4.78 ms;15.53 Mbit/s;14.95 Mbit/s;0.0 %;16.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 16:12;4.53 Mbit/s;11.94 Mbit/s;19.0 ms;1.54 ms;4.92 Mbit/s;12.49 Mbit/s;0.0 %;51.37 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 15:12;4.42 Mbit/s;14.82 Mbit/s;7.61 ms;1.52 ms;4.85 Mbit/s;13.07 Mbit/s;0.0 %;13.38 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 14:12;18.3 Mbit/s;12.79 Mbit/s;5.69 ms;7.07 ms;20.05 Mbit/s;3.78 Mbit/s;0.0 %;13.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 13:12;21.31 Mbit/s;13.74 Mbit/s;2.74 ms;1.23 ms;23.38 Mbit/s;11.66 Mbit/s;0.0 %;13.67 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:12;10.06 Mbit/s;19.57 Mbit/s;4.08 ms;1.35 ms;11.05 Mbit/s;12.35 Mbit/s;0.0 %;7.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:12;15.4 Mbit/s;12.16 Mbit/s;3.95 ms;2.97 ms;16.87 Mbit/s;8.41 Mbit/s;0.0 %;9.36 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 10:12;20.87 Mbit/s;17.11 Mbit/s;2.42 ms;1.89 ms;22.88 Mbit/s;18.48 Mbit/s;0.0 %;5.95 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 09:12;28.33 Mbit/s;28.03 Mbit/s;< 1 ms;1.32 ms;30.59 Mbit/s;29.61 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 08:12;27.89 Mbit/s;26.54 Mbit/s;< 1 ms;< 1 ms;30.33 Mbit/s;28.4 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:12;28.13 Mbit/s;24.8 Mbit/s;2.64 ms;< 1 ms;30.85 Mbit/s;25.62 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 06:12;12.7 Mbit/s;18.75 Mbit/s;< 1 ms;< 1 ms;13.87 Mbit/s;20.05 Mbit/s;0.0 %;4.93 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 05:12;26.59 Mbit/s;23.81 Mbit/s;< 1 ms;1.17 ms;29.25 Mbit/s;24.97 Mbit/s;0.0 %;5.68 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 04:12;20.88 Mbit/s;18.11 Mbit/s;1.9 ms;< 1 ms;22.81 Mbit/s;18.08 Mbit/s;0.0 %;5.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 03:12;29.17 Mbit/s;22.45 Mbit/s;1.5 ms;< 1 ms;32.04 Mbit/s;22.4 Mbit/s;0.0 %;6.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 02:12;24.45 Mbit/s;19.95 Mbit/s;2.4 ms;1.75 ms;26.73 Mbit/s;20.43 Mbit/s;0.0 %;5.39 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 01:12;23.88 Mbit/s;10.95 Mbit/s;< 1 ms;1.11 ms;26.25 Mbit/s;11.26 Mbit/s;0.68 %;5.22 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 00:12;27.38 Mbit/s;25.44 Mbit/s;5.61 ms;< 1 ms;30.16 Mbit/s;25.88 Mbit/s;0.0 %;6.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 23:12;14.33 Mbit/s;8.43 Mbit/s;6.45 ms;2.31 ms;15.77 Mbit/s;8.97 Mbit/s;0.0 %;28.62 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:12;8.05 Mbit/s;5.54 Mbit/s;14.19 ms;13.28 ms;8.83 Mbit/s;5.32 Mbit/s;0.0 %;24.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 21:12;15.81 Mbit/s;12.09 Mbit/s;5.87 ms;5.84 ms;17.28 Mbit/s;7.58 Mbit/s;0.0 %;19.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 20:12;13.23 Mbit/s;14.61 Mbit/s;1.98 ms;7.23 ms;14.39 Mbit/s;11.26 Mbit/s;0.0 %;13.64 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 19:12;17.05 Mbit/s;16.02 Mbit/s;1.22 ms;5.62 ms;18.29 Mbit/s;14.5 Mbit/s;0.0 %;6.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 18:12;18.26 Mbit/s;9.13 Mbit/s;2.06 ms;11.24 ms;19.86 Mbit/s;3.25 Mbit/s;0.0 %;6.85 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
