dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:28;38.97 Mbit/s;34.19 Mbit/s;3.44 ms;< 1 ms;42.65 Mbit/s;36.4 Mbit/s;0.0 %;5.68 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 15:53;-;-;-;-;-;-;6.47 %;59.85 ms;PTT Metro de Goiania;;;;;
01/08/15 15:28;42.3 Mbit/s;36.07 Mbit/s;< 1 ms;< 1 ms;44.87 Mbit/s;38.26 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 12:28;41.09 Mbit/s;34.3 Mbit/s;1.13 ms;< 1 ms;43.46 Mbit/s;36.33 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:28;37.66 Mbit/s;36.22 Mbit/s;4.72 ms;< 1 ms;40.32 Mbit/s;37.43 Mbit/s;0.0 %;5.44 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 06:28;33.38 Mbit/s;35.98 Mbit/s;4.63 ms;< 1 ms;18.08 Mbit/s;37.81 Mbit/s;0.0 %;5.47 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 03:28;34.51 Mbit/s;32.32 Mbit/s;5.01 ms;< 1 ms;19.92 Mbit/s;34.46 Mbit/s;0.0 %;5.69 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 21:28;33.85 Mbit/s;34.5 Mbit/s;5.84 ms;< 1 ms;36.49 Mbit/s;33.67 Mbit/s;0.0 %;5.8 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 18:28;38.77 Mbit/s;32.41 Mbit/s;4.22 ms;< 1 ms;41.16 Mbit/s;33.81 Mbit/s;0.0 %;5.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 15:28;34.72 Mbit/s;36.05 Mbit/s;3.75 ms;< 1 ms;33.19 Mbit/s;37.88 Mbit/s;0.0 %;6.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 12:28;37.06 Mbit/s;35.81 Mbit/s;1.24 ms;1.75 ms;39.67 Mbit/s;37.92 Mbit/s;0.0 %;7.06 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
