dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:14;12.11 Mbit/s;15.68 Mbit/s;8.97 ms;25.54 ms;13.17 Mbit/s;16.87 Mbit/s;0.0 %;156.38 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:14;7.0 Mbit/s;11.31 Mbit/s;9.29 ms;7.08 ms;7.56 Mbit/s;11.49 Mbit/s;2.08 %;49.67 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 17:14;9.37 Mbit/s;11.9 Mbit/s;18.5 ms;4.51 ms;6.97 Mbit/s;12.7 Mbit/s;0.0 %;44.55 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 16:14;12.6 Mbit/s;12.09 Mbit/s;9.06 ms;4.79 ms;13.72 Mbit/s;12.95 Mbit/s;0.0 %;7.09 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 15:14;11.71 Mbit/s;15.77 Mbit/s;2.93 ms;4.43 ms;12.9 Mbit/s;13.28 Mbit/s;0.0 %;42.83 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 14:14;11.3 Mbit/s;12.92 Mbit/s;4.82 ms;5.49 ms;10.96 Mbit/s;13.75 Mbit/s;4.35 %;10.44 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 13:14;9.45 Mbit/s;9.61 Mbit/s;10.2 ms;19.5 ms;10.36 Mbit/s;10.33 Mbit/s;0.0 %;230.18 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 12:14;10.67 Mbit/s;14.62 Mbit/s;2.95 ms;8.52 ms;11.82 Mbit/s;15.64 Mbit/s;0.0 %;8.06 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:14;7.1 Mbit/s;8.2 Mbit/s;1.87 ms;1.93 ms;4.16 Mbit/s;8.48 Mbit/s;0.0 %;7.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 10:14;6.63 Mbit/s;21.65 Mbit/s;< 1 ms;4.84 ms;6.62 Mbit/s;22.4 Mbit/s;0.0 %;32.21 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 09:14;20.0 Mbit/s;10.27 Mbit/s;< 1 ms;15.8 ms;14.09 Mbit/s;4.74 Mbit/s;0.0 %;5.38 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:14;6.73 Mbit/s;13.88 Mbit/s;7.36 ms;22.41 ms;7.38 Mbit/s;14.39 Mbit/s;0.0 %;15.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 07:14;11.01 Mbit/s;16.51 Mbit/s;< 1 ms;< 1 ms;11.98 Mbit/s;18.0 Mbit/s;0.0 %;5.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 05:14;12.8 Mbit/s;16.05 Mbit/s;< 1 ms;< 1 ms;13.95 Mbit/s;17.0 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:14;12.34 Mbit/s;16.74 Mbit/s;1.54 ms;2.13 ms;13.55 Mbit/s;17.83 Mbit/s;0.0 %;6.26 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 03:14;12.23 Mbit/s;16.27 Mbit/s;< 1 ms;< 1 ms;13.32 Mbit/s;17.4 Mbit/s;0.0 %;5.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 02:14;12.74 Mbit/s;16.12 Mbit/s;< 1 ms;< 1 ms;14.03 Mbit/s;17.23 Mbit/s;0.0 %;5.02 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:14;12.72 Mbit/s;16.56 Mbit/s;< 1 ms;< 1 ms;13.65 Mbit/s;17.64 Mbit/s;0.0 %;7.22 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 00:14;12.62 Mbit/s;15.05 Mbit/s;< 1 ms;< 1 ms;13.89 Mbit/s;15.77 Mbit/s;0.0 %;8.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 23:14;11.06 Mbit/s;15.39 Mbit/s;27.74 ms;5.0 ms;1.69 Mbit/s;15.36 Mbit/s;0.68 %;42.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:14;26.47 Mbit/s;21.83 Mbit/s;< 1 ms;10.39 ms;15.14 Mbit/s;23.28 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 21:14;21.36 Mbit/s;26.18 Mbit/s;5.39 ms;< 1 ms;23.14 Mbit/s;27.22 Mbit/s;0.0 %;9.07 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 20:14;1.97 Mbit/s;27.91 Mbit/s;11.98 ms;11.98 ms;2.14 Mbit/s;4.26 Mbit/s;0.0 %;14.96 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 19:14;26.87 Mbit/s;6.57 Mbit/s;1.11 ms;3.34 ms;28.06 Mbit/s;6.24 Mbit/s;0.0 %;63.64 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 18:14;10.45 Mbit/s;10.45 Mbit/s;23.84 ms;10.35 ms;11.29 Mbit/s;7.36 Mbit/s;0.0 %;78.51 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 17:14;20.15 Mbit/s;23.3 Mbit/s;25.67 ms;23.05 ms;22.15 Mbit/s;24.44 Mbit/s;0.68 %;84.95 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 16:14;15.36 Mbit/s;18.49 Mbit/s;25.77 ms;15.21 ms;16.78 Mbit/s;19.55 Mbit/s;1.36 %;170.92 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
