dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:54;27.31 Mbit/s;48.62 Mbit/s;3.18 ms;1.04 ms;28.21 Mbit/s;52.08 Mbit/s;0.0 %;14.36 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 18:54;48.79 Mbit/s;47.84 Mbit/s;1.91 ms;< 1 ms;51.44 Mbit/s;50.45 Mbit/s;0.0 %;11.28 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 17:54;54.19 Mbit/s;48.03 Mbit/s;2.89 ms;2.88 ms;59.01 Mbit/s;50.66 Mbit/s;0.0 %;5.13 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 16:54;64.24 Mbit/s;47.97 Mbit/s;6.34 ms;< 1 ms;68.86 Mbit/s;51.02 Mbit/s;0.0 %;7.16 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 15:54;47.5 Mbit/s;48.54 Mbit/s;1.18 ms;5.37 ms;51.88 Mbit/s;50.16 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:54;61.08 Mbit/s;36.48 Mbit/s;10.23 ms;2.06 ms;66.33 Mbit/s;35.74 Mbit/s;0.0 %;14.21 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 12:54;27.55 Mbit/s;36.37 Mbit/s;5.77 ms;4.64 ms;12.01 Mbit/s;37.42 Mbit/s;0.0 %;20.97 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 11:54;41.82 Mbit/s;34.99 Mbit/s;1.44 ms;1.53 ms;43.73 Mbit/s;37.17 Mbit/s;0.0 %;11.01 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:54;51.19 Mbit/s;46.18 Mbit/s;1.74 ms;1.03 ms;56.04 Mbit/s;48.45 Mbit/s;0.0 %;9.11 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 09:54;31.74 Mbit/s;45.15 Mbit/s;4.52 ms;1.52 ms;31.63 Mbit/s;47.8 Mbit/s;0.0 %;8.48 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 08:54;31.65 Mbit/s;47.57 Mbit/s;11.61 ms;< 1 ms;32.26 Mbit/s;48.25 Mbit/s;0.0 %;21.82 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 18:54;56.88 Mbit/s;49.6 Mbit/s;1.48 ms;1.5 ms;61.24 Mbit/s;51.78 Mbit/s;0.0 %;6.24 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 17:54;58.12 Mbit/s;50.27 Mbit/s;< 1 ms;< 1 ms;63.2 Mbit/s;53.81 Mbit/s;0.0 %;7.04 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 16:54;51.17 Mbit/s;48.7 Mbit/s;7.93 ms;< 1 ms;56.11 Mbit/s;50.5 Mbit/s;0.0 %;23.65 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 15:54;35.82 Mbit/s;41.82 Mbit/s;9.22 ms;2.31 ms;39.26 Mbit/s;42.48 Mbit/s;0.0 %;11.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 14:54;59.79 Mbit/s;38.35 Mbit/s;3.2 ms;1.2 ms;63.68 Mbit/s;40.22 Mbit/s;0.68 %;7.09 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 13:54;49.04 Mbit/s;47.86 Mbit/s;4.32 ms;2.51 ms;51.55 Mbit/s;49.49 Mbit/s;2.05 %;12.33 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 12:54;38.53 Mbit/s;38.29 Mbit/s;8.74 ms;< 1 ms;34.83 Mbit/s;40.66 Mbit/s;0.0 %;20.88 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 11:54;30.05 Mbit/s;45.56 Mbit/s;10.3 ms;5.41 ms;30.51 Mbit/s;47.63 Mbit/s;0.0 %;21.97 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 10:54;44.0 Mbit/s;45.68 Mbit/s;4.9 ms;1.06 ms;47.92 Mbit/s;47.02 Mbit/s;1.37 %;18.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 09:54;42.01 Mbit/s;48.58 Mbit/s;4.22 ms;< 1 ms;45.2 Mbit/s;51.56 Mbit/s;0.68 %;15.65 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 08:54;32.8 Mbit/s;45.9 Mbit/s;< 1 ms;< 1 ms;33.94 Mbit/s;49.02 Mbit/s;0.0 %;11.94 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 07:54;28.52 Mbit/s;44.66 Mbit/s;6.02 ms;< 1 ms;28.47 Mbit/s;47.38 Mbit/s;0.0 %;13.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 06:54;12.66 Mbit/s;36.18 Mbit/s;7.54 ms;< 1 ms;12.25 Mbit/s;38.05 Mbit/s;0.0 %;13.22 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 05:54;14.87 Mbit/s;46.13 Mbit/s;3.88 ms;< 1 ms;10.28 Mbit/s;48.71 Mbit/s;0.0 %;14.59 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 04:54;27.53 Mbit/s;43.39 Mbit/s;13.11 ms;< 1 ms;29.58 Mbit/s;45.7 Mbit/s;0.0 %;42.08 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 03:54;18.93 Mbit/s;45.26 Mbit/s;12.53 ms;1.03 ms;21.04 Mbit/s;47.6 Mbit/s;0.0 %;41.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 02:54;30.79 Mbit/s;47.11 Mbit/s;24.29 ms;< 1 ms;31.52 Mbit/s;50.37 Mbit/s;0.0 %;47.19 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 01:54;25.85 Mbit/s;47.11 Mbit/s;11.89 ms;< 1 ms;27.43 Mbit/s;49.99 Mbit/s;0.0 %;44.41 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 00:54;63.16 Mbit/s;44.03 Mbit/s;7.72 ms;< 1 ms;68.97 Mbit/s;45.11 Mbit/s;0.0 %;35.64 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 23:54;12.29 Mbit/s;49.31 Mbit/s;4.81 ms;< 1 ms;13.5 Mbit/s;30.74 Mbit/s;0.68 %;36.63 ms;PTT Metro de Curitiba;;;;;
30/07/15 22:54;62.44 Mbit/s;37.18 Mbit/s;34.42 ms;7.26 ms;67.84 Mbit/s;39.64 Mbit/s;0.0 %;94.1 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 21:54;18.16 Mbit/s;31.89 Mbit/s;21.04 ms;6.29 ms;19.58 Mbit/s;32.93 Mbit/s;0.0 %;54.7 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 19:54;32.22 Mbit/s;43.8 Mbit/s;2.31 ms;7.58 ms;34.54 Mbit/s;46.95 Mbit/s;0.0 %;21.65 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 18:54;50.28 Mbit/s;50.46 Mbit/s;5.31 ms;8.61 ms;54.38 Mbit/s;49.07 Mbit/s;0.0 %;11.42 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 17:54;51.2 Mbit/s;40.37 Mbit/s;5.12 ms;2.77 ms;49.77 Mbit/s;43.01 Mbit/s;0.0 %;8.07 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 10:54;33.97 Mbit/s;23.18 Mbit/s;14.6 ms;3.52 ms;31.67 Mbit/s;24.5 Mbit/s;0.0 %;30.11 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 09:54;44.0 Mbit/s;51.02 Mbit/s;1.12 ms;1.38 ms;46.39 Mbit/s;53.68 Mbit/s;0.0 %;5.38 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 08:54;42.91 Mbit/s;46.66 Mbit/s;9.98 ms;2.92 ms;40.7 Mbit/s;33.18 Mbit/s;0.0 %;35.86 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 07:54;30.84 Mbit/s;30.5 Mbit/s;9.71 ms;8.46 ms;32.27 Mbit/s;32.29 Mbit/s;0.68 %;31.14 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 06:54;8.72 Mbit/s;12.3 Mbit/s;< 1 ms;7.89 ms;8.53 Mbit/s;12.32 Mbit/s;0.0 %;15.16 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 05:54;24.82 Mbit/s;21.64 Mbit/s;11.19 ms;< 1 ms;18.86 Mbit/s;23.11 Mbit/s;0.0 %;42.14 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 04:54;55.41 Mbit/s;46.26 Mbit/s;4.53 ms;< 1 ms;59.67 Mbit/s;49.18 Mbit/s;0.0 %;20.93 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 03:54;56.89 Mbit/s;46.81 Mbit/s;13.79 ms;1.86 ms;55.8 Mbit/s;49.71 Mbit/s;0.0 %;19.95 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 02:54;65.59 Mbit/s;45.3 Mbit/s;7.16 ms;< 1 ms;71.21 Mbit/s;48.01 Mbit/s;0.0 %;12.14 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 00:54;62.7 Mbit/s;47.91 Mbit/s;11.31 ms;< 1 ms;53.85 Mbit/s;50.7 Mbit/s;0.0 %;33.55 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
