dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/05/15 10:19;-;-;-;-;-;-;0.0 %;9.06 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 08:15;-;51.79 kbit/s;19.28 ms;34.51 ms;-;-;0.7 %;35.95 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/05/15 07:22;-;-;-;-;-;-;213.89 %;2595.47 ms;PTT Metro de Florianopolis;;;;;
01/05/15 06:15;-;57.2 kbit/s;17.57 ms;31.55 ms;-;-;14.29 %;109.47 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/05/15 05:15;-;44.42 kbit/s;20.51 ms;41.37 ms;-;-;12.39 %;33.77 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/05/15 02:17;224.31 kbit/s;96.25 kbit/s;353.93 ms;31.78 ms;243.49 kbit/s;100.14 kbit/s;79.25 %;6330.19 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/05/15 01:23;-;-;-;-;-;-;66.2 %;2224.62 ms;PTT Metro de Vitoria;;;;;
01/05/15 00:15;25.27 kbit/s;3.19 kbit/s;47.25 ms;43.11 ms;-;-;15.93 %;652.7 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 23:17;-;-;-;-;-;-;11.57 %;601.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/04/15 22:17;368.58 kbit/s;46.04 kbit/s;44.8 ms;42.2 ms;331.64 kbit/s;46.49 kbit/s;48.19 %;424.31 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 21:17;-;36.81 kbit/s;184.55 ms;35.94 ms;-;-;256.0 %;1868.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/04/15 20:15;71.16 kbit/s;3.15 kbit/s;22.81 ms;57.94 ms;-;-;27.55 %;608.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/04/15 19:18;-;27.52 kbit/s;66.57 ms;32.36 ms;-;-;27.45 %;1227.56 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/04/15 18:15;62.13 kbit/s;20.18 kbit/s;27.64 ms;34.97 ms;58.47 kbit/s;22.65 kbit/s;2.86 %;192.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/04/15 17:14;-;-;-;18.33 ms;-;-;65.28 %;2041.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 16:17;-;27.8 kbit/s;28.85 ms;29.86 ms;-;-;14.41 %;225.37 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 15:14;354.89 kbit/s;13.75 kbit/s;4.09 ms;28.96 ms;76.8 kbit/s;13.05 kbit/s;0.69 %;19.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/04/15 14:15;-;-;-;-;-;-;0.0 %;47.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/04/15 13:14;-;141.76 kbit/s;23.66 ms;41.68 ms;-;-;3.57 %;131.09 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/04/15 12:14;-;8.62 kbit/s;7.7 ms;9.36 ms;-;-;1.4 %;14.55 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/04/15 11:15;60.03 kbit/s;14.8 kbit/s;33.77 ms;38.97 ms;49.75 kbit/s;12.2 kbit/s;0.0 %;46.72 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/04/15 10:14;-;26.52 kbit/s;32.19 ms;38.54 ms;-;-;13.71 %;306.97 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/04/15 09:14;334.88 kbit/s;166.76 kbit/s;1.82 ms;7.3 ms;363.93 kbit/s;175.77 kbit/s;0.0 %;12.87 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/04/15 08:14;-;21.51 kbit/s;13.05 ms;34.07 ms;-;-;0.68 %;15.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/04/15 07:14;292.76 kbit/s;9.5 kbit/s;7.56 ms;28.89 ms;318.55 kbit/s;10.45 kbit/s;0.68 %;60.03 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/04/15 06:15;67.4 kbit/s;-;5.46 ms;47.27 ms;57.6 kbit/s;-;0.0 %;37.79 ms;PTT Metro de Brasilia;;;;;
30/04/15 05:14;97.94 kbit/s;8.41 kbit/s;2.15 ms;38.67 ms;105.6 kbit/s;7.83 kbit/s;7.63 %;139.45 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/04/15 04:16;-;-;25.01 ms;30.01 ms;-;-;0.0 %;204.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/04/15 03:15;108.47 kbit/s;15.76 kbit/s;15.25 ms;29.3 ms;116.07 kbit/s;14.8 kbit/s;2.11 %;26.14 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/04/15 02:14;-;-;-;-;-;-;0.0 %;130.36 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/04/15 01:14;137.95 kbit/s;5.24 kbit/s;21.37 ms;34.71 ms;-;6.09 kbit/s;2.13 %;102.49 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/04/15 00:16;136.9 kbit/s;54.58 kbit/s;5.05 ms;11.24 ms;148.36 kbit/s;58.27 kbit/s;0.0 %;231.5 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/04/15 23:14;222.2 kbit/s;51.94 kbit/s;8.84 ms;19.75 ms;240.0 kbit/s;47.0 kbit/s;0.0 %;58.85 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/04/15 22:15;211.67 kbit/s;58.43 kbit/s;23.35 ms;25.29 ms;220.8 kbit/s;26.82 kbit/s;1.4 %;144.32 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/04/15 20:14;335.94 kbit/s;65.03 kbit/s;9.69 ms;171.08 ms;320.29 kbit/s;46.17 kbit/s;0.7 %;11.57 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/04/15 18:14;202.19 kbit/s;39.93 kbit/s;6.94 ms;43.32 ms;214.69 kbit/s;40.06 kbit/s;0.0 %;17.29 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
29/04/15 17:14;278.02 kbit/s;220.1 kbit/s;56.63 ms;16.31 ms;209.45 kbit/s;177.47 kbit/s;1.39 %;139.45 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/04/15 16:14;-;49.27 kbit/s;3.87 ms;26.34 ms;-;-;0.69 %;22.12 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/04/15 15:14;-;78.92 kbit/s;5.64 ms;32.13 ms;-;-;1.4 %;12.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
