dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
29/07/15 21:34;-;3.53 Mbit/s;7.74 ms;17.7 ms;-;-;9.09 %;358.48 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 20:34;6.46 Mbit/s;7.58 Mbit/s;17.2 ms;1.94 ms;7.96 Mbit/s;3.17 Mbit/s;0.74 %;71.95 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 19:35;-;-;-;-;-;-;0.68 %;80.83 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 18:34;-;-;-;-;-;-;3.42 %;1830.17 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 17:34;5.91 Mbit/s;4.04 Mbit/s;15.19 ms;13.94 ms;6.97 Mbit/s;4.22 Mbit/s;0.68 %;13.88 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 16:34;-;1.65 Mbit/s;16.21 ms;19.15 ms;-;-;1.79 %;320.21 ms;PTT Metro de Belo Horizonte;;;;;
29/07/15 15:35;-;-;-;-;-;-;0.0 %;62.74 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 14:36;-;-;-;-;-;-;8.06 %;114.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 13:35;12.2 Mbit/s;8.35 Mbit/s;2.74 ms;1.65 ms;13.05 Mbit/s;8.78 Mbit/s;0.0 %;21.53 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 11:34;7.1 Mbit/s;7.85 Mbit/s;6.14 ms;5.32 ms;8.0 Mbit/s;8.42 Mbit/s;0.68 %;71.65 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 10:35;6.56 Mbit/s;7.89 Mbit/s;1.14 ms;4.49 ms;2.77 Mbit/s;5.33 Mbit/s;0.0 %;23.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/07/15 21:34;3.7 Mbit/s;4.13 Mbit/s;146.48 ms;8.35 ms;-;-;0.0 %;1454.79 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/07/15 19:34;9.77 Mbit/s;5.93 Mbit/s;1.16 ms;2.57 ms;10.56 Mbit/s;6.33 Mbit/s;2.52 %;122.61 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
04/07/15 18:35;11.22 Mbit/s;8.89 Mbit/s;2.22 ms;2.12 ms;12.96 Mbit/s;5.79 Mbit/s;0.0 %;16.1 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/07/15 17:34;8.96 Mbit/s;6.79 Mbit/s;1.43 ms;2.64 ms;10.06 Mbit/s;2.7 Mbit/s;0.68 %;7.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/07/15 16:35;9.16 Mbit/s;5.6 Mbit/s;< 1 ms;10.1 ms;9.86 Mbit/s;6.14 Mbit/s;2.42 %;219.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/07/15 15:34;8.38 Mbit/s;4.92 Mbit/s;13.51 ms;12.18 ms;8.66 Mbit/s;4.33 Mbit/s;0.7 %;408.79 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/07/15 14:34;-;-;-;3.17 ms;-;-;0.68 %;102.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
04/07/15 12:34;13.48 Mbit/s;7.4 Mbit/s;1.19 ms;1.73 ms;13.67 Mbit/s;7.77 Mbit/s;0.0 %;176.44 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/07/15 11:35;8.53 Mbit/s;5.66 Mbit/s;2.32 ms;3.19 ms;9.67 Mbit/s;6.05 Mbit/s;0.0 %;13.72 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/07/15 10:34;11.22 Mbit/s;10.6 Mbit/s;4.16 ms;8.65 ms;12.67 Mbit/s;7.27 Mbit/s;0.0 %;31.85 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/07/15 08:36;28.77 Mbit/s;5.09 Mbit/s;1.16 ms;3.84 ms;27.49 Mbit/s;5.47 Mbit/s;0.0 %;9.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
04/07/15 07:34;26.2 Mbit/s;4.63 Mbit/s;4.74 ms;5.96 ms;29.96 Mbit/s;5.02 Mbit/s;0.0 %;101.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/07/15 06:34;23.21 Mbit/s;6.6 Mbit/s;1.45 ms;1.92 ms;26.51 Mbit/s;7.1 Mbit/s;0.68 %;11.67 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
04/07/15 05:34;30.54 Mbit/s;4.92 Mbit/s;< 1 ms;< 1 ms;34.08 Mbit/s;5.27 Mbit/s;0.0 %;10.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
