dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
05/07/15 07:24;-;8.02 Mbit/s;< 1 ms;1.47 ms;-;-;0.0 %;9.7 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
05/07/15 06:24;246.42 kbit/s;11.5 Mbit/s;1.61 ms;1.59 ms;-;1.22 Mbit/s;0.0 %;6.98 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
05/07/15 05:24;518.12 kbit/s;16.55 Mbit/s;1.29 ms;1.28 ms;558.55 kbit/s;17.77 Mbit/s;0.68 %;5.09 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/07/15 04:24;-;10.48 Mbit/s;< 1 ms;3.47 ms;-;-;0.0 %;5.72 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
05/07/15 03:25;-;2.38 Mbit/s;< 1 ms;4.02 ms;-;-;0.82 %;53.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
05/07/15 02:24;-;3.02 Mbit/s;< 1 ms;< 1 ms;-;-;1.37 %;5.75 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
05/07/15 01:24;-;-;25.08 ms;10.7 ms;-;-;5.95 %;150.62 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
05/07/15 00:24;-;5.63 Mbit/s;3.66 ms;10.65 ms;-;-;0.0 %;5.75 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/07/15 23:24;-;382.96 kbit/s;< 1 ms;50.74 ms;-;-;0.0 %;15.01 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/07/15 22:24;-;27.51 kbit/s;48.2 ms;32.64 ms;-;-;14.91 %;235.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/07/15 21:24;-;-;-;-;-;-;4.26 %;105.41 ms;PTT Metro de Vitoria;;;;;
04/07/15 20:24;-;153.63 kbit/s;17.76 ms;46.56 ms;-;-;7.27 %;101.64 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/07/15 19:24;-;328.03 kbit/s;2.48 ms;54.32 ms;-;-;0.0 %;17.15 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
04/07/15 17:24;-;130.16 kbit/s;16.36 ms;27.64 ms;-;-;1.5 %;71.33 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/07/15 15:24;-;58.3 kbit/s;11.77 ms;35.23 ms;-;-;3.42 %;103.86 ms;PTT Metro de Caxias do Sul;;;;;
04/07/15 14:25;-;23.21 kbit/s;1.73 ms;2.69 ms;-;-;3.94 %;27.12 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/07/15 13:24;-;43.89 kbit/s;13.93 ms;49.52 ms;-;-;0.68 %;69.53 ms;PTT Metro de Belo Horizonte;;;;;
04/07/15 12:24;-;-;-;31.43 ms;-;-;0.0 %;34.86 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/07/15 11:25;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/07/15 10:25;-;-;-;-;-;-;0.74 %;55.78 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
04/07/15 09:26;-;-;-;-;-;-;0.74 %;32.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/07/15 08:24;893.02 kbit/s;1.68 Mbit/s;3.03 ms;1.14 ms;976.58 kbit/s;1.72 Mbit/s;0.68 %;8.69 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
04/07/15 07:24;70.56 kbit/s;7.9 Mbit/s;< 1 ms;7.97 ms;71.56 kbit/s;8.75 Mbit/s;0.0 %;14.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
04/07/15 06:24;-;-;-;-;-;-;2.26 %;2523.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
04/07/15 05:24;33.7 kbit/s;7.25 Mbit/s;20.8 ms;1.54 ms;32.29 kbit/s;7.68 Mbit/s;7.46 %;160.55 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/07/15 04:24;686.62 kbit/s;11.92 Mbit/s;6.1 ms;1.84 ms;-;12.72 Mbit/s;0.0 %;5.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
04/07/15 03:25;4.53 Mbit/s;3.24 Mbit/s;< 1 ms;1.43 ms;4.92 Mbit/s;3.45 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
04/07/15 02:24;-;3.26 kbit/s;1.04 ms;17.63 ms;-;-;0.68 %;5.19 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
04/07/15 01:24;1.02 Mbit/s;778.01 kbit/s;5.68 ms;2.51 ms;1.11 Mbit/s;840.97 kbit/s;0.0 %;33.05 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
04/07/15 00:24;447.56 kbit/s;2.72 Mbit/s;< 1 ms;8.05 ms;488.73 kbit/s;2.84 Mbit/s;0.68 %;5.54 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/07/15 23:26;-;-;-;-;-;-;2.08 %;99.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/07/15 22:24;-;304.95 kbit/s;4.5 ms;11.24 ms;-;-;0.0 %;10.39 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/07/15 19:25;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/07/15 17:24;-;-;-;34.42 ms;-;-;3.08 %;35.48 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/07/15 16:24;-;153.53 kbit/s;1.27 ms;3.97 ms;-;-;2.82 %;11.28 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/07/15 15:24;-;9.6 kbit/s;20.5 ms;50.55 ms;-;-;23.81 %;431.86 ms;PTT Metro de Goiania;;;;;
03/07/15 14:25;-;-;-;-;-;-;71.43 %;226.94 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/07/15 11:25;-;731.05 kbit/s;11.48 ms;18.38 ms;-;-;13.95 %;387.84 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
03/07/15 10:24;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/07/15 10:14;15.05 Mbit/s;14.92 Mbit/s;1.37 ms;< 1 ms;14.65 Mbit/s;12.74 Mbit/s;0.0 %;32.88 ms;PTT Metro de Curitiba;;;;;
03/07/15 09:24;-;-;-;-;-;-;0.0 %;-;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/07/15 08:24;-;58.22 kbit/s;18.91 ms;49.88 ms;-;-;0.0 %;56.19 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/07/15 07:24;-;2.19 Mbit/s;6.17 ms;2.68 ms;-;-;0.0 %;34.15 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/07/15 06:25;281.18 kbit/s;992.13 kbit/s;< 1 ms;1.37 ms;303.71 kbit/s;1.07 Mbit/s;0.0 %;5.77 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/07/15 05:24;425.45 kbit/s;10.23 Mbit/s;2.54 ms;1.09 ms;462.55 kbit/s;10.27 Mbit/s;0.0 %;6.35 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/07/15 05:24;32.55 Mbit/s;2.13 Mbit/s;1.1 ms;1.63 ms;31.66 Mbit/s;2.02 Mbit/s;0.0 %;12.4 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/07/15 04:24;-;8.83 Mbit/s;2.52 ms;2.15 ms;-;-;0.0 %;5.73 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/07/15 03:24;2.0 Mbit/s;22.38 Mbit/s;1.05 ms;1.21 ms;2.2 Mbit/s;17.76 Mbit/s;1.37 %;5.34 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/07/15 02:24;4.32 Mbit/s;3.27 Mbit/s;< 1 ms;1.85 ms;4.7 Mbit/s;3.49 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
03/07/15 01:24;111.63 kbit/s;19.84 Mbit/s;1.08 ms;1.08 ms;-;5.9 Mbit/s;0.0 %;7.78 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/07/15 00:24;-;2.1 kbit/s;2.85 ms;38.99 ms;-;-;2.08 %;44.05 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
02/07/15 23:24;-;853.01 kbit/s;6.77 ms;5.81 ms;-;-;2.82 %;12.89 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
