dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
13/07/15 21:59;-;11.19 Mbit/s;3.12 ms;13.27 ms;-;-;6.82 %;14.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/07/15 21:46;6.15 Mbit/s;1.47 Mbit/s;< 1 ms;< 1 ms;5.52 Mbit/s;1.32 Mbit/s;0.0 %;12.74 ms;PTT Metro de Florianopolis;;;;;
13/07/15 20:59;-;5.97 Mbit/s;4.78 ms;1.5 ms;-;-;0.0 %;7.14 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/07/15 19:59;8.88 Mbit/s;11.57 Mbit/s;2.55 ms;9.93 ms;10.67 Mbit/s;2.07 Mbit/s;5.93 %;13.39 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
13/07/15 18:59;23.6 Mbit/s;15.24 Mbit/s;< 1 ms;3.35 ms;31.07 Mbit/s;15.12 Mbit/s;2.08 %;10.51 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
13/07/15 17:59;19.0 Mbit/s;19.15 Mbit/s;< 1 ms;11.81 ms;20.94 Mbit/s;13.59 Mbit/s;0.0 %;5.38 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
13/07/15 16:59;20.84 Mbit/s;14.26 Mbit/s;< 1 ms;1.73 ms;26.09 Mbit/s;14.87 Mbit/s;0.68 %;15.44 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
13/07/15 15:59;17.78 Mbit/s;14.51 Mbit/s;11.33 ms;1.8 ms;22.97 Mbit/s;13.92 Mbit/s;0.68 %;16.28 ms;PTT Metro de Campinas;;;;;
13/07/15 14:59;-;-;-;-;-;-;3.57 %;14.56 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
13/07/15 13:59;16.25 Mbit/s;16.81 Mbit/s;< 1 ms;5.54 ms;21.43 Mbit/s;9.97 Mbit/s;0.0 %;11.43 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
13/07/15 12:59;13.43 Mbit/s;13.79 Mbit/s;6.57 ms;2.6 ms;17.56 Mbit/s;14.77 Mbit/s;0.0 %;57.17 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
09/07/15 00:59;-;21.52 Mbit/s;< 1 ms;< 1 ms;-;-;0.0 %;5.92 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
08/07/15 23:59;-;-;-;3.48 ms;-;-;0.0 %;5.42 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
08/07/15 21:59;-;-;-;-;-;-;0.0 %;27.15 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
08/07/15 20:59;188.5 kbit/s;163.59 kbit/s;23.98 ms;5.36 ms;-;52.29 kbit/s;0.0 %;44.84 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
08/07/15 19:59;-;-;-;-;-;-;9.38 %;16.54 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
08/07/15 18:59;-;2.72 Mbit/s;342.98 ms;2.76 ms;-;-;4.05 %;4487.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
08/07/15 18:00;75.82 kbit/s;8.84 Mbit/s;3.93 ms;8.61 ms;171.93 kbit/s;1.1 Mbit/s;0.0 %;17.94 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
08/07/15 16:59;-;9.08 Mbit/s;1.36 ms;2.36 ms;-;-;3.57 %;11.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
