dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 19:27;914.08 kbit/s;4.94 Mbit/s;17.0 ms;3.27 ms;887.56 kbit/s;5.28 Mbit/s;0.0 %;80.55 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 18:27;5.6 Mbit/s;12.34 Mbit/s;13.36 ms;2.57 ms;6.04 Mbit/s;13.06 Mbit/s;0.0 %;67.07 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 17:27;685.56 kbit/s;3.23 Mbit/s;33.24 ms;2.16 ms;747.05 kbit/s;3.46 Mbit/s;0.0 %;84.9 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 16:27;577.09 kbit/s;3.27 Mbit/s;19.81 ms;2.69 ms;565.53 kbit/s;3.51 Mbit/s;2.8 %;114.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 15:27;3.92 Mbit/s;5.08 Mbit/s;14.06 ms;3.6 ms;4.27 Mbit/s;5.4 Mbit/s;0.0 %;20.98 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 14:27;959.37 kbit/s;1.87 Mbit/s;32.53 ms;11.45 ms;1.06 Mbit/s;1.99 Mbit/s;1.37 %;131.87 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 13:27;638.17 kbit/s;4.68 Mbit/s;29.67 ms;5.53 ms;692.95 kbit/s;4.96 Mbit/s;0.68 %;111.88 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 12:27;1.65 Mbit/s;5.4 Mbit/s;22.75 ms;5.15 ms;1.8 Mbit/s;5.76 Mbit/s;0.68 %;63.02 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 11:27;5.99 Mbit/s;6.53 Mbit/s;6.78 ms;4.73 ms;6.56 Mbit/s;6.92 Mbit/s;0.0 %;50.91 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 10:27;9.33 Mbit/s;7.94 Mbit/s;18.92 ms;1.59 ms;10.25 Mbit/s;8.47 Mbit/s;0.68 %;60.56 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 09:27;4.94 Mbit/s;10.39 Mbit/s;5.11 ms;1.96 ms;5.37 Mbit/s;10.76 Mbit/s;0.68 %;45.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 07:27;9.8 Mbit/s;14.52 Mbit/s;7.79 ms;1.79 ms;10.73 Mbit/s;14.77 Mbit/s;2.08 %;45.64 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:27;16.05 Mbit/s;17.29 Mbit/s;7.24 ms;3.2 ms;17.57 Mbit/s;18.33 Mbit/s;0.0 %;33.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 05:27;13.56 Mbit/s;11.7 Mbit/s;11.47 ms;1.32 ms;14.84 Mbit/s;12.47 Mbit/s;0.0 %;48.83 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:27;19.05 Mbit/s;20.05 Mbit/s;< 1 ms;1.22 ms;20.93 Mbit/s;20.26 Mbit/s;0.0 %;12.16 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 03:27;14.61 Mbit/s;22.05 Mbit/s;< 1 ms;1.1 ms;15.95 Mbit/s;22.82 Mbit/s;0.0 %;10.96 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 02:27;18.11 Mbit/s;20.69 Mbit/s;1.21 ms;2.04 ms;19.46 Mbit/s;21.6 Mbit/s;0.0 %;13.58 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 01:27;18.35 Mbit/s;18.38 Mbit/s;1.82 ms;2.42 ms;19.99 Mbit/s;18.03 Mbit/s;0.0 %;11.94 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 00:27;7.97 Mbit/s;11.91 Mbit/s;3.22 ms;2.71 ms;8.71 Mbit/s;12.34 Mbit/s;0.0 %;15.34 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 23:27;4.74 Mbit/s;12.15 Mbit/s;14.5 ms;3.31 ms;5.19 Mbit/s;12.47 Mbit/s;0.0 %;45.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 22:27;5.56 Mbit/s;8.95 Mbit/s;4.11 ms;1.16 ms;6.1 Mbit/s;9.38 Mbit/s;0.0 %;24.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 21:52;10.47 Mbit/s;1.1 Mbit/s;< 1 ms;1.62 ms;10.71 Mbit/s;1.11 Mbit/s;0.0 %;4.06 ms;PTT Metro de Florianopolis;;;;;
31/07/15 21:27;12.14 Mbit/s;15.53 Mbit/s;9.22 ms;3.2 ms;13.3 Mbit/s;15.96 Mbit/s;0.0 %;17.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 20:27;5.24 Mbit/s;8.69 Mbit/s;29.45 ms;4.32 ms;5.74 Mbit/s;9.27 Mbit/s;0.0 %;88.62 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 19:27;12.3 Mbit/s;13.95 Mbit/s;3.93 ms;3.71 ms;13.54 Mbit/s;13.91 Mbit/s;0.0 %;29.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 18:27;2.79 Mbit/s;6.3 Mbit/s;18.64 ms;1.76 ms;3.06 Mbit/s;6.73 Mbit/s;0.0 %;76.83 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
