dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:40;33.76 Mbit/s;49.91 Mbit/s;1.03 ms;1.23 ms;36.79 Mbit/s;41.94 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 17:40;42.29 Mbit/s;45.59 Mbit/s;< 1 ms;< 1 ms;43.44 Mbit/s;43.63 Mbit/s;0.0 %;7.68 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 16:40;21.62 Mbit/s;26.46 Mbit/s;2.9 ms;7.9 ms;23.47 Mbit/s;20.02 Mbit/s;0.0 %;12.58 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:40;40.86 Mbit/s;46.05 Mbit/s;6.69 ms;2.51 ms;41.57 Mbit/s;44.84 Mbit/s;0.0 %;8.94 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 14:40;27.75 Mbit/s;42.5 Mbit/s;3.72 ms;1.49 ms;29.07 Mbit/s;43.53 Mbit/s;0.0 %;7.14 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 13:40;8.61 Mbit/s;24.39 Mbit/s;3.38 ms;3.56 ms;8.28 Mbit/s;25.9 Mbit/s;0.0 %;6.57 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:40;30.0 Mbit/s;45.08 Mbit/s;5.18 ms;< 1 ms;32.9 Mbit/s;40.97 Mbit/s;0.0 %;8.75 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 11:40;26.18 Mbit/s;46.95 Mbit/s;1.29 ms;4.01 ms;28.85 Mbit/s;32.37 Mbit/s;4.26 %;4.74 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 10:40;35.73 Mbit/s;44.29 Mbit/s;1.01 ms;1.0 ms;37.38 Mbit/s;44.94 Mbit/s;0.0 %;5.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 09:40;37.68 Mbit/s;43.81 Mbit/s;1.15 ms;8.48 ms;37.61 Mbit/s;44.49 Mbit/s;0.0 %;6.73 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 08:40;42.13 Mbit/s;47.91 Mbit/s;< 1 ms;< 1 ms;43.05 Mbit/s;43.26 Mbit/s;0.0 %;3.61 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 07:40;47.95 Mbit/s;42.61 Mbit/s;1.6 ms;< 1 ms;49.53 Mbit/s;44.01 Mbit/s;0.0 %;12.73 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 06:40;39.24 Mbit/s;41.74 Mbit/s;< 1 ms;< 1 ms;43.24 Mbit/s;42.4 Mbit/s;0.0 %;3.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 05:40;51.98 Mbit/s;41.37 Mbit/s;2.01 ms;< 1 ms;50.83 Mbit/s;43.53 Mbit/s;0.0 %;3.72 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 04:40;51.8 Mbit/s;41.75 Mbit/s;< 1 ms;< 1 ms;50.79 Mbit/s;39.96 Mbit/s;0.0 %;3.55 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 03:40;43.28 Mbit/s;41.1 Mbit/s;< 1 ms;< 1 ms;40.34 Mbit/s;43.51 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 02:40;50.64 Mbit/s;48.63 Mbit/s;1.01 ms;< 1 ms;50.44 Mbit/s;48.08 Mbit/s;0.0 %;3.7 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 01:40;42.73 Mbit/s;40.86 Mbit/s;< 1 ms;1.34 ms;32.23 Mbit/s;37.48 Mbit/s;0.0 %;3.76 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 00:40;44.51 Mbit/s;41.51 Mbit/s;< 1 ms;< 1 ms;47.54 Mbit/s;32.35 Mbit/s;0.0 %;3.65 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 23:40;49.06 Mbit/s;47.26 Mbit/s;1.99 ms;< 1 ms;47.49 Mbit/s;45.69 Mbit/s;4.26 %;3.92 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:40;41.41 Mbit/s;32.33 Mbit/s;< 1 ms;5.11 ms;44.8 Mbit/s;32.35 Mbit/s;0.0 %;3.89 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 21:40;13.88 Mbit/s;27.72 Mbit/s;4.2 ms;1.44 ms;15.17 Mbit/s;27.8 Mbit/s;0.0 %;11.97 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
