dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:19;23.99 Mbit/s;30.77 Mbit/s;3.96 ms;< 1 ms;26.15 Mbit/s;28.81 Mbit/s;0.0 %;2.91 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 19:19;20.56 Mbit/s;29.48 Mbit/s;13.64 ms;2.17 ms;22.59 Mbit/s;27.91 Mbit/s;0.0 %;6.99 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 18:19;18.72 Mbit/s;4.48 Mbit/s;9.59 ms;22.24 ms;20.31 Mbit/s;4.76 Mbit/s;0.0 %;28.19 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:19;27.51 Mbit/s;26.5 Mbit/s;< 1 ms;5.47 ms;28.14 Mbit/s;25.88 Mbit/s;0.0 %;3.07 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 16:19;6.17 Mbit/s;6.08 Mbit/s;9.97 ms;17.25 ms;6.76 Mbit/s;495.06 kbit/s;0.0 %;28.95 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 15:19;20.6 Mbit/s;27.46 Mbit/s;1.66 ms;10.07 ms;22.64 Mbit/s;27.59 Mbit/s;0.0 %;3.2 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 14:33;-;1.77 Mbit/s;2.87 ms;33.06 ms;-;-;0.0 %;32.3 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 14:19;27.81 Mbit/s;23.79 Mbit/s;8.04 ms;4.19 ms;29.93 Mbit/s;24.11 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 13:19;21.86 Mbit/s;2.89 Mbit/s;< 1 ms;20.92 ms;24.08 Mbit/s;3.13 Mbit/s;0.0 %;7.65 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 12:19;11.93 Mbit/s;3.07 Mbit/s;1.75 ms;9.28 ms;13.26 Mbit/s;2.55 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:19;17.38 Mbit/s;20.46 Mbit/s;< 1 ms;1.39 ms;18.97 Mbit/s;17.38 Mbit/s;0.0 %;2.67 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 10:19;13.79 Mbit/s;22.79 Mbit/s;2.4 ms;1.39 ms;15.03 Mbit/s;11.29 Mbit/s;0.0 %;2.69 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 09:19;26.68 Mbit/s;23.12 Mbit/s;< 1 ms;< 1 ms;29.06 Mbit/s;21.89 Mbit/s;0.0 %;2.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 08:19;16.14 Mbit/s;8.38 Mbit/s;6.31 ms;2.03 ms;17.73 Mbit/s;9.04 Mbit/s;0.0 %;3.24 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 07:19;19.64 Mbit/s;36.48 Mbit/s;< 1 ms;3.75 ms;21.57 Mbit/s;37.38 Mbit/s;0.0 %;2.48 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 06:19;26.78 Mbit/s;38.02 Mbit/s;< 1 ms;< 1 ms;29.35 Mbit/s;40.52 Mbit/s;0.0 %;2.63 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 05:19;26.43 Mbit/s;39.05 Mbit/s;< 1 ms;3.36 ms;29.03 Mbit/s;41.43 Mbit/s;0.0 %;2.58 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 04:19;29.37 Mbit/s;44.1 Mbit/s;< 1 ms;< 1 ms;32.22 Mbit/s;46.93 Mbit/s;0.0 %;2.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 03:19;25.94 Mbit/s;37.61 Mbit/s;< 1 ms;< 1 ms;28.5 Mbit/s;40.26 Mbit/s;0.0 %;2.67 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 02:19;27.51 Mbit/s;35.42 Mbit/s;< 1 ms;< 1 ms;30.3 Mbit/s;37.68 Mbit/s;0.0 %;2.67 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:19;28.19 Mbit/s;37.78 Mbit/s;< 1 ms;5.21 ms;31.05 Mbit/s;33.64 Mbit/s;0.0 %;2.6 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 00:19;28.49 Mbit/s;36.45 Mbit/s;< 1 ms;1.71 ms;30.72 Mbit/s;37.92 Mbit/s;0.0 %;4.26 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 23:19;24.06 Mbit/s;37.33 Mbit/s;< 1 ms;1.76 ms;26.33 Mbit/s;39.8 Mbit/s;0.0 %;2.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 22:19;20.04 Mbit/s;28.56 Mbit/s;< 1 ms;< 1 ms;21.94 Mbit/s;25.0 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
