dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 17:14;1.73 Mbit/s;1.76 Mbit/s;3.57 ms;3.33 ms;1.32 Mbit/s;1.87 Mbit/s;0.0 %;14.7 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 14:14;21.59 Mbit/s;21.46 Mbit/s;5.81 ms;6.15 ms;15.45 Mbit/s;22.21 Mbit/s;0.0 %;14.27 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 11:14;14.71 Mbit/s;19.69 Mbit/s;2.95 ms;2.45 ms;12.14 Mbit/s;8.78 Mbit/s;0.0 %;15.49 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 08:14;14.73 Mbit/s;32.79 Mbit/s;21.24 ms;< 1 ms;16.09 Mbit/s;33.51 Mbit/s;0.0 %;29.26 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 05:14;25.23 Mbit/s;29.79 Mbit/s;< 1 ms;< 1 ms;27.1 Mbit/s;31.56 Mbit/s;0.0 %;4.98 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 02:14;24.99 Mbit/s;32.32 Mbit/s;< 1 ms;6.46 ms;27.23 Mbit/s;34.02 Mbit/s;0.0 %;5.51 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 23:14;15.57 Mbit/s;31.19 Mbit/s;< 1 ms;< 1 ms;16.01 Mbit/s;29.42 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 20:14;15.01 Mbit/s;30.22 Mbit/s;< 1 ms;30.38 ms;16.67 Mbit/s;29.14 Mbit/s;0.0 %;20.54 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 17:15;12.52 Mbit/s;28.19 Mbit/s;25.17 ms;3.79 ms;13.35 Mbit/s;16.83 Mbit/s;1.39 %;141.4 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 14:15;5.37 Mbit/s;29.51 Mbit/s;16.27 ms;4.42 ms;5.42 Mbit/s;29.32 Mbit/s;11.29 %;55.43 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 11:14;3.82 Mbit/s;13.86 Mbit/s;5.55 ms;14.51 ms;3.86 Mbit/s;14.98 Mbit/s;5.15 %;28.03 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 08:20;24.73 Mbit/s;27.95 Mbit/s;5.54 ms;11.81 ms;20.82 Mbit/s;27.76 Mbit/s;0.0 %;23.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 05:14;18.54 Mbit/s;29.75 Mbit/s;< 1 ms;3.3 ms;20.29 Mbit/s;22.48 Mbit/s;0.0 %;6.37 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
