dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
05/06/15 10:42;1.97 Mbit/s;9.61 Mbit/s;< 1 ms;2.58 ms;1.84 Mbit/s;4.6 Mbit/s;10.85 %;6.57 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/06/15 16:42;2.05 Mbit/s;10.22 Mbit/s;1.22 ms;10.71 ms;2.27 Mbit/s;626.88 kbit/s;0.0 %;6.41 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
04/06/15 15:42;96.88 kbit/s;147.4 kbit/s;24.09 ms;38.83 ms;99.49 kbit/s;150.73 kbit/s;0.0 %;72.08 ms;PTT Metro de Curitiba;;;;;
04/06/15 14:43;-;3.83 Mbit/s;80.96 ms;-;-;-;7.35 %;631.85 ms;PTT Metro de Curitiba;;;;;
04/06/15 13:42;119.0 kbit/s;1.38 Mbit/s;21.82 ms;170.3 ms;116.95 kbit/s;1.46 Mbit/s;24.35 %;229.38 ms;PTT Metro de Curitiba;;;;;
04/06/15 12:42;5.04 Mbit/s;1.05 Mbit/s;33.06 ms;58.47 ms;3.55 Mbit/s;1.03 Mbit/s;42.42 %;48.0 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/06/15 11:42;15.1 Mbit/s;4.52 Mbit/s;6.39 ms;1.55 ms;14.05 Mbit/s;4.79 Mbit/s;0.0 %;35.56 ms;PTT Metro de Curitiba;;;;;
04/06/15 10:42;5.41 Mbit/s;8.11 Mbit/s;1.82 ms;15.8 ms;5.72 Mbit/s;8.66 Mbit/s;4.2 %;24.02 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/06/15 09:42;10.44 Mbit/s;5.78 Mbit/s;< 1 ms;10.44 ms;-;5.77 Mbit/s;1.36 %;6.24 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
04/06/15 08:42;2.07 Mbit/s;6.67 Mbit/s;1.64 ms;9.8 ms;1.69 Mbit/s;6.95 Mbit/s;0.0 %;15.63 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/06/15 07:43;-;-;-;-;-;-;147.37 %;499.86 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
04/06/15 06:42;19.98 Mbit/s;20.9 Mbit/s;1.04 ms;< 1 ms;21.23 Mbit/s;19.5 Mbit/s;0.0 %;6.14 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
04/06/15 05:47;7.03 Mbit/s;672.51 kbit/s;< 1 ms;-;-;714.66 kbit/s;14.75 %;12.32 ms;PTT Metro de Curitiba;;;;;
04/06/15 04:42;-;21.27 Mbit/s;< 1 ms;1.02 ms;8.73 kbit/s;20.24 Mbit/s;8.15 %;6.13 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
04/06/15 03:42;15.29 Mbit/s;20.22 Mbit/s;3.47 ms;2.75 ms;14.36 Mbit/s;18.27 Mbit/s;18.33 %;7.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
