dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:04;11.11 Mbit/s;9.82 Mbit/s;3.55 ms;4.93 ms;12.05 Mbit/s;6.97 Mbit/s;0.0 %;35.75 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 19:04;15.85 Mbit/s;19.06 Mbit/s;6.63 ms;30.55 ms;12.56 Mbit/s;18.25 Mbit/s;0.0 %;36.22 ms;PTT Metro de Curitiba;;;;;
01/08/15 18:04;1.01 Mbit/s;2.61 Mbit/s;21.49 ms;18.01 ms;736.58 kbit/s;2.19 Mbit/s;0.0 %;180.32 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 17:04;4.83 Mbit/s;5.91 Mbit/s;23.08 ms;2.61 ms;5.11 Mbit/s;3.5 Mbit/s;0.0 %;138.5 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 16:04;1.53 Mbit/s;3.76 Mbit/s;28.26 ms;9.89 ms;1.67 Mbit/s;3.96 Mbit/s;0.0 %;175.1 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:04;12.95 Mbit/s;7.66 Mbit/s;6.0 ms;2.95 ms;10.34 Mbit/s;8.22 Mbit/s;0.68 %;41.32 ms;PTT Metro de Curitiba;;;;;
01/08/15 14:04;2.97 Mbit/s;9.68 Mbit/s;17.22 ms;12.32 ms;1.6 Mbit/s;7.0 Mbit/s;0.0 %;115.19 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 12:04;13.38 Mbit/s;21.34 Mbit/s;< 1 ms;5.43 ms;14.61 Mbit/s;22.41 Mbit/s;0.0 %;6.55 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:04;4.49 Mbit/s;13.39 Mbit/s;4.98 ms;8.66 ms;1.28 Mbit/s;14.12 Mbit/s;0.0 %;42.68 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 10:04;8.08 Mbit/s;15.14 Mbit/s;2.41 ms;46.12 ms;8.44 Mbit/s;13.53 Mbit/s;0.0 %;47.26 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 09:04;15.15 Mbit/s;22.56 Mbit/s;3.85 ms;13.11 ms;15.06 Mbit/s;19.56 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:04;16.5 Mbit/s;24.84 Mbit/s;< 1 ms;< 1 ms;17.75 Mbit/s;21.39 Mbit/s;0.0 %;7.02 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 07:04;1.96 Mbit/s;7.43 Mbit/s;5.6 ms;2.52 ms;375.27 kbit/s;5.33 Mbit/s;0.0 %;69.92 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 06:04;15.35 Mbit/s;23.39 Mbit/s;< 1 ms;< 1 ms;10.82 Mbit/s;22.43 Mbit/s;0.0 %;5.01 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 04:04;16.68 Mbit/s;22.96 Mbit/s;< 1 ms;< 1 ms;18.2 Mbit/s;23.02 Mbit/s;0.0 %;4.95 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 03:04;16.88 Mbit/s;24.9 Mbit/s;1.84 ms;< 1 ms;18.42 Mbit/s;22.13 Mbit/s;0.0 %;4.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 02:04;16.31 Mbit/s;24.94 Mbit/s;< 1 ms;2.71 ms;18.46 Mbit/s;19.05 Mbit/s;0.68 %;4.6 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 01:04;9.94 Mbit/s;17.87 Mbit/s;5.67 ms;1.86 ms;10.93 Mbit/s;16.82 Mbit/s;0.0 %;25.99 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 00:04;7.58 Mbit/s;13.96 Mbit/s;20.11 ms;20.72 ms;8.56 Mbit/s;6.13 Mbit/s;0.0 %;100.75 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 23:04;626.59 kbit/s;3.78 Mbit/s;27.78 ms;24.67 ms;678.98 kbit/s;4.04 Mbit/s;0.0 %;157.12 ms;PTT Metro de Curitiba;;;;;
31/07/15 22:04;6.72 Mbit/s;16.02 Mbit/s;7.09 ms;5.67 ms;6.35 Mbit/s;16.11 Mbit/s;0.0 %;64.18 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 21:04;606.58 kbit/s;753.31 kbit/s;5.17 ms;24.08 ms;171.93 kbit/s;798.69 kbit/s;0.0 %;43.66 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 20:04;-;233.34 kbit/s;12.2 ms;18.27 ms;-;-;0.0 %;133.75 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 19:04;2.09 Mbit/s;398.73 kbit/s;6.16 ms;4.59 ms;277.53 kbit/s;421.6 kbit/s;0.0 %;56.05 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 18:04;8.48 Mbit/s;3.94 Mbit/s;3.1 ms;20.75 ms;4.92 Mbit/s;4.22 Mbit/s;0.0 %;159.36 ms;PTT Metro de Curitiba;;;;;
31/07/15 17:05;5.28 Mbit/s;4.46 Mbit/s;22.3 ms;4.22 ms;2.82 Mbit/s;4.76 Mbit/s;0.0 %;161.74 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 16:05;4.44 Mbit/s;4.25 Mbit/s;17.54 ms;33.31 ms;1.09 Mbit/s;4.5 Mbit/s;10.48 %;19.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 15:04;5.38 Mbit/s;12.17 Mbit/s;18.84 ms;24.16 ms;5.16 Mbit/s;12.69 Mbit/s;14.29 %;183.55 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
31/07/15 14:04;3.73 Mbit/s;6.07 Mbit/s;2.71 ms;21.0 ms;2.46 Mbit/s;5.99 Mbit/s;11.57 %;31.19 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 13:04;4.06 Mbit/s;6.36 Mbit/s;23.58 ms;5.66 ms;1.68 Mbit/s;6.75 Mbit/s;5.22 %;129.7 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 12:04;6.93 Mbit/s;10.22 Mbit/s;3.84 ms;4.4 ms;4.67 Mbit/s;10.79 Mbit/s;5.15 %;107.89 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 11:04;6.06 Mbit/s;10.27 Mbit/s;13.77 ms;3.35 ms;3.37 Mbit/s;10.84 Mbit/s;7.69 %;22.72 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 10:04;3.46 Mbit/s;13.4 Mbit/s;< 1 ms;1.63 ms;3.71 Mbit/s;14.32 Mbit/s;1.37 %;6.25 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 09:04;1.26 Mbit/s;5.6 Mbit/s;176.85 ms;34.87 ms;603.93 kbit/s;5.83 Mbit/s;0.0 %;1104.75 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 08:04;5.46 Mbit/s;7.12 Mbit/s;5.62 ms;35.98 ms;4.39 Mbit/s;7.57 Mbit/s;0.0 %;26.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 07:04;779.29 kbit/s;945.62 kbit/s;42.63 ms;6.72 ms;785.45 kbit/s;1.0 Mbit/s;0.0 %;354.17 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 06:04;1.16 Mbit/s;7.65 Mbit/s;5.36 ms;19.66 ms;716.51 kbit/s;8.0 Mbit/s;0.0 %;60.02 ms;PTT Metro de Curitiba;;;;;
31/07/15 05:04;8.69 Mbit/s;10.31 Mbit/s;14.89 ms;10.05 ms;4.7 Mbit/s;10.94 Mbit/s;0.0 %;95.02 ms;PTT Metro de Curitiba;;;;;
31/07/15 04:04;9.41 Mbit/s;13.17 Mbit/s;5.52 ms;3.31 ms;10.31 Mbit/s;13.79 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 03:04;8.18 Mbit/s;13.16 Mbit/s;1.55 ms;5.51 ms;8.94 Mbit/s;14.0 Mbit/s;0.0 %;8.93 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 02:04;13.63 Mbit/s;19.78 Mbit/s;< 1 ms;10.96 ms;14.8 Mbit/s;20.9 Mbit/s;0.0 %;7.67 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 01:04;10.76 Mbit/s;11.38 Mbit/s;< 1 ms;1.28 ms;11.6 Mbit/s;11.97 Mbit/s;0.68 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 00:04;12.73 Mbit/s;17.42 Mbit/s;6.23 ms;4.26 ms;13.57 Mbit/s;18.47 Mbit/s;0.0 %;6.48 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 23:04;6.58 Mbit/s;2.84 Mbit/s;4.16 ms;24.38 ms;5.86 Mbit/s;3.03 Mbit/s;0.0 %;143.57 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 22:04;-;-;-;3.04 ms;-;-;0.0 %;17.61 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 19:04;7.85 Mbit/s;235.62 kbit/s;353.79 ms;38.98 ms;3.63 Mbit/s;250.92 kbit/s;0.0 %;5323.55 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/07/15 18:04;5.31 Mbit/s;8.91 Mbit/s;< 1 ms;19.54 ms;5.2 Mbit/s;8.14 Mbit/s;0.68 %;18.26 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 17:04;315.93 kbit/s;6.32 Mbit/s;7.68 ms;2.86 ms;338.62 kbit/s;6.65 Mbit/s;2.82 %;17.21 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 16:04;3.03 Mbit/s;2.01 Mbit/s;140.52 ms;17.55 ms;79.42 kbit/s;2.12 Mbit/s;7.25 %;758.23 ms;PTT Metro de Curitiba;;;;;
30/07/15 15:04;4.89 Mbit/s;10.43 Mbit/s;5.79 ms;12.2 ms;5.36 Mbit/s;8.39 Mbit/s;0.7 %;89.71 ms;PTT Metro de Curitiba;;;;;
30/07/15 14:04;5.79 Mbit/s;12.61 Mbit/s;8.83 ms;9.2 ms;6.46 Mbit/s;5.76 Mbit/s;0.0 %;140.6 ms;PTT Metro de Curitiba;;;;;
30/07/15 13:06;-;-;-;< 1 ms;-;-;0.0 %;115.04 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 12:04;862.48 kbit/s;4.67 Mbit/s;11.82 ms;2.15 ms;1.02 Mbit/s;4.96 Mbit/s;0.0 %;53.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 11:04;7.99 Mbit/s;11.22 Mbit/s;1.21 ms;2.25 ms;8.11 Mbit/s;11.94 Mbit/s;1.37 %;9.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 10:04;6.83 Mbit/s;11.62 Mbit/s;< 1 ms;1.23 ms;5.23 Mbit/s;12.21 Mbit/s;0.0 %;34.97 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 09:04;8.33 Mbit/s;5.45 Mbit/s;2.53 ms;1.12 ms;3.55 Mbit/s;5.79 Mbit/s;0.0 %;27.23 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 08:04;8.03 Mbit/s;4.07 Mbit/s;5.52 ms;2.54 ms;7.29 Mbit/s;4.36 Mbit/s;0.0 %;47.2 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
30/07/15 07:04;6.64 Mbit/s;465.59 kbit/s;11.63 ms;5.13 ms;5.67 Mbit/s;471.69 kbit/s;0.68 %;42.26 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 06:04;5.37 Mbit/s;3.41 Mbit/s;12.58 ms;8.63 ms;3.99 Mbit/s;3.61 Mbit/s;0.0 %;27.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 05:04;308.56 kbit/s;10.22 Mbit/s;< 1 ms;< 1 ms;334.25 kbit/s;10.8 Mbit/s;0.0 %;33.65 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/07/15 04:06;8.67 Mbit/s;11.88 Mbit/s;< 1 ms;< 1 ms;9.55 Mbit/s;12.63 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 03:04;10.77 Mbit/s;14.07 Mbit/s;< 1 ms;< 1 ms;11.79 Mbit/s;14.89 Mbit/s;0.0 %;4.77 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 02:04;10.78 Mbit/s;13.74 Mbit/s;< 1 ms;< 1 ms;11.89 Mbit/s;14.64 Mbit/s;0.0 %;5.15 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/07/15 01:04;10.38 Mbit/s;14.04 Mbit/s;< 1 ms;< 1 ms;11.28 Mbit/s;14.9 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 00:04;11.86 Mbit/s;17.55 Mbit/s;< 1 ms;< 1 ms;12.85 Mbit/s;17.0 Mbit/s;0.0 %;4.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 23:04;10.98 Mbit/s;10.89 Mbit/s;28.0 ms;3.11 ms;10.24 Mbit/s;11.26 Mbit/s;0.0 %;72.41 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 22:04;8.71 Mbit/s;15.21 Mbit/s;10.25 ms;25.07 ms;6.35 Mbit/s;16.04 Mbit/s;0.68 %;123.69 ms;PTT Metro de Curitiba;;;;;
29/07/15 21:04;6.97 Mbit/s;4.58 Mbit/s;14.69 ms;5.85 ms;175.42 kbit/s;4.84 Mbit/s;0.0 %;258.46 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 20:04;-;-;-;< 1 ms;-;-;0.0 %;27.86 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 19:04;8.53 Mbit/s;9.07 Mbit/s;7.06 ms;8.9 ms;6.47 Mbit/s;8.19 Mbit/s;0.0 %;33.83 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 18:04;7.63 Mbit/s;1.44 Mbit/s;12.28 ms;4.32 ms;4.37 Mbit/s;1.52 Mbit/s;0.0 %;17.27 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 17:04;4.0 Mbit/s;4.82 Mbit/s;21.24 ms;14.03 ms;4.19 Mbit/s;5.18 Mbit/s;0.0 %;74.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 16:04;3.61 Mbit/s;14.68 Mbit/s;28.42 ms;7.71 ms;2.15 Mbit/s;3.89 Mbit/s;5.15 %;104.16 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
29/07/15 15:04;9.24 Mbit/s;10.76 Mbit/s;29.65 ms;6.35 ms;6.66 Mbit/s;10.49 Mbit/s;0.0 %;84.31 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 14:04;8.11 Mbit/s;10.3 Mbit/s;11.28 ms;31.02 ms;4.8 Mbit/s;5.07 Mbit/s;0.0 %;89.18 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 13:04;8.19 Mbit/s;10.35 Mbit/s;34.69 ms;8.23 ms;5.43 Mbit/s;11.02 Mbit/s;0.0 %;988.22 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 12:04;7.09 Mbit/s;9.18 Mbit/s;11.72 ms;3.62 ms;7.8 Mbit/s;9.8 Mbit/s;0.68 %;120.89 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 11:04;3.58 Mbit/s;5.47 Mbit/s;3.47 ms;8.62 ms;3.36 Mbit/s;5.84 Mbit/s;0.68 %;23.81 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/07/15 09:04;5.68 Mbit/s;968.66 kbit/s;< 1 ms;< 1 ms;1.15 Mbit/s;1.03 Mbit/s;0.0 %;102.28 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 08:04;8.24 Mbit/s;11.38 Mbit/s;1.55 ms;2.67 ms;6.17 Mbit/s;11.61 Mbit/s;0.0 %;61.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 05:04;10.08 Mbit/s;8.23 Mbit/s;5.25 ms;7.94 ms;10.95 Mbit/s;8.84 Mbit/s;0.0 %;50.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 04:04;5.9 Mbit/s;12.54 Mbit/s;4.06 ms;< 1 ms;5.03 Mbit/s;13.41 Mbit/s;0.0 %;27.04 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 03:04;10.71 Mbit/s;13.88 Mbit/s;< 1 ms;< 1 ms;11.72 Mbit/s;14.77 Mbit/s;0.0 %;4.4 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 02:04;10.6 Mbit/s;15.22 Mbit/s;< 1 ms;1.29 ms;11.67 Mbit/s;16.22 Mbit/s;0.0 %;4.76 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 01:04;7.25 Mbit/s;12.44 Mbit/s;10.42 ms;1.46 ms;6.42 Mbit/s;13.22 Mbit/s;0.0 %;6.18 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 00:04;6.62 Mbit/s;9.67 Mbit/s;2.59 ms;1.95 ms;7.19 Mbit/s;10.31 Mbit/s;0.0 %;4.68 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 23:06;7.1 Mbit/s;4.22 Mbit/s;3.56 ms;3.02 ms;8.65 Mbit/s;4.52 Mbit/s;0.0 %;58.3 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 22:04;6.36 Mbit/s;9.77 Mbit/s;3.24 ms;6.34 ms;3.84 Mbit/s;10.43 Mbit/s;15.13 %;13.2 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 21:04;-;674.02 kbit/s;4.52 ms;5.5 ms;-;-;0.0 %;44.03 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
28/07/15 20:05;4.1 Mbit/s;632.27 kbit/s;12.53 ms;10.88 ms;119.56 kbit/s;671.6 kbit/s;0.0 %;71.36 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
28/07/15 19:04;6.21 Mbit/s;7.32 Mbit/s;6.61 ms;1.65 ms;2.62 Mbit/s;6.5 Mbit/s;0.0 %;543.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/07/15 18:04;221.15 kbit/s;1.01 Mbit/s;8.54 ms;4.57 ms;226.04 kbit/s;1.06 Mbit/s;0.0 %;46.35 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 17:04;1.98 Mbit/s;1.6 Mbit/s;46.12 ms;5.82 ms;730.47 kbit/s;1.7 Mbit/s;0.68 %;125.24 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 16:04;6.02 Mbit/s;6.15 Mbit/s;11.02 ms;8.19 ms;48.0 kbit/s;6.56 Mbit/s;1.37 %;99.86 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
28/07/15 15:04;6.72 Mbit/s;9.78 Mbit/s;13.86 ms;2.37 ms;6.83 Mbit/s;7.2 Mbit/s;0.0 %;89.99 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
28/07/15 14:04;5.28 Mbit/s;17.13 Mbit/s;9.43 ms;2.55 ms;4.48 Mbit/s;10.9 Mbit/s;0.0 %;30.53 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 13:04;3.76 Mbit/s;1.52 Mbit/s;16.63 ms;11.09 ms;4.05 Mbit/s;1.31 Mbit/s;0.68 %;57.87 ms;PTT Metro de Curitiba;;;;;
28/07/15 12:04;4.83 Mbit/s;9.61 Mbit/s;12.73 ms;1.71 ms;2.48 Mbit/s;4.56 Mbit/s;0.0 %;66.46 ms;PTT Metro de Curitiba;;;;;
28/07/15 11:04;14.63 Mbit/s;16.54 Mbit/s;2.91 ms;9.7 ms;12.75 Mbit/s;17.6 Mbit/s;0.68 %;14.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 10:04;2.48 Mbit/s;13.96 Mbit/s;39.03 ms;7.93 ms;2.7 Mbit/s;9.66 Mbit/s;0.68 %;372.67 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 09:04;12.56 Mbit/s;22.48 Mbit/s;1.66 ms;< 1 ms;13.47 Mbit/s;14.52 Mbit/s;1.37 %;17.28 ms;PTT Metro de Curitiba;;;;;
28/07/15 08:04;12.56 Mbit/s;22.94 Mbit/s;14.68 ms;8.44 ms;11.83 Mbit/s;12.29 Mbit/s;0.0 %;16.61 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 07:04;15.79 Mbit/s;21.89 Mbit/s;25.66 ms;1.27 ms;17.1 Mbit/s;21.0 Mbit/s;0.0 %;60.41 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
28/07/15 06:04;16.22 Mbit/s;16.31 Mbit/s;9.91 ms;13.8 ms;15.82 Mbit/s;14.62 Mbit/s;0.0 %;29.89 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
