dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 17:55;36.05 Mbit/s;24.97 Mbit/s;5.72 ms;< 1 ms;35.85 Mbit/s;25.04 Mbit/s;0.0 %;6.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 14:55;37.75 Mbit/s;25.01 Mbit/s;1.58 ms;< 1 ms;39.7 Mbit/s;23.37 Mbit/s;0.68 %;6.2 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 11:55;41.17 Mbit/s;15.73 Mbit/s;1.89 ms;< 1 ms;42.91 Mbit/s;14.24 Mbit/s;2.08 %;6.27 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 08:55;29.98 Mbit/s;35.32 Mbit/s;1.33 ms;< 1 ms;30.57 Mbit/s;37.22 Mbit/s;0.0 %;6.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 05:55;35.74 Mbit/s;38.51 Mbit/s;4.17 ms;< 1 ms;38.68 Mbit/s;41.05 Mbit/s;0.0 %;5.65 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 02:55;43.54 Mbit/s;38.72 Mbit/s;1.29 ms;< 1 ms;45.57 Mbit/s;40.08 Mbit/s;0.0 %;7.79 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 23:55;38.88 Mbit/s;37.31 Mbit/s;16.1 ms;< 1 ms;41.45 Mbit/s;39.79 Mbit/s;0.0 %;10.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 20:55;41.3 Mbit/s;39.12 Mbit/s;< 1 ms;2.71 ms;41.57 Mbit/s;41.39 Mbit/s;0.0 %;6.47 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 17:55;36.1 Mbit/s;30.05 Mbit/s;2.55 ms;< 1 ms;38.29 Mbit/s;30.26 Mbit/s;0.0 %;6.94 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 14:55;12.43 Mbit/s;2.86 Mbit/s;< 1 ms;2.41 ms;12.67 Mbit/s;2.38 Mbit/s;11.29 %;6.7 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 11:56;4.88 Mbit/s;1.6 Mbit/s;4.11 ms;3.31 ms;5.0 Mbit/s;1.22 Mbit/s;6.82 %;7.56 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 08:55;24.55 Mbit/s;30.45 Mbit/s;5.61 ms;< 1 ms;26.39 Mbit/s;32.39 Mbit/s;0.0 %;23.63 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 05:55;32.11 Mbit/s;33.0 Mbit/s;5.77 ms;< 1 ms;32.47 Mbit/s;35.03 Mbit/s;0.0 %;7.91 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 02:55;35.31 Mbit/s;35.05 Mbit/s;4.87 ms;< 1 ms;38.48 Mbit/s;37.4 Mbit/s;0.0 %;7.36 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/07/15 23:55;44.89 Mbit/s;38.94 Mbit/s;< 1 ms;< 1 ms;45.42 Mbit/s;41.6 Mbit/s;0.0 %;5.24 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/07/15 17:55;36.95 Mbit/s;35.52 Mbit/s;1.31 ms;< 1 ms;35.7 Mbit/s;37.08 Mbit/s;0.0 %;7.1 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/07/15 14:55;13.06 Mbit/s;18.54 Mbit/s;5.01 ms;< 1 ms;13.59 Mbit/s;17.86 Mbit/s;1.37 %;6.49 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 11:55;29.5 Mbit/s;33.36 Mbit/s;6.23 ms;< 1 ms;21.13 Mbit/s;34.03 Mbit/s;0.0 %;44.82 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 08:55;32.47 Mbit/s;35.19 Mbit/s;1.35 ms;< 1 ms;34.31 Mbit/s;37.17 Mbit/s;0.0 %;8.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/07/15 05:55;31.97 Mbit/s;33.79 Mbit/s;7.57 ms;< 1 ms;33.91 Mbit/s;36.07 Mbit/s;0.0 %;7.12 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/07/15 02:55;38.98 Mbit/s;37.37 Mbit/s;4.32 ms;< 1 ms;41.58 Mbit/s;39.72 Mbit/s;0.0 %;6.41 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/07/15 23:55;37.23 Mbit/s;36.79 Mbit/s;< 1 ms;1.05 ms;39.31 Mbit/s;39.01 Mbit/s;0.0 %;7.54 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 20:55;39.07 Mbit/s;38.02 Mbit/s;4.28 ms;< 1 ms;42.05 Mbit/s;40.58 Mbit/s;0.0 %;9.26 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
29/07/15 17:55;32.92 Mbit/s;37.2 Mbit/s;< 1 ms;< 1 ms;34.28 Mbit/s;28.71 Mbit/s;0.0 %;6.63 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 14:57;33.53 Mbit/s;13.2 Mbit/s;4.76 ms;4.43 ms;32.53 Mbit/s;12.22 Mbit/s;2.08 %;11.63 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/07/15 11:56;28.94 Mbit/s;34.61 Mbit/s;2.59 ms;< 1 ms;31.36 Mbit/s;36.43 Mbit/s;0.0 %;17.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/07/15 08:55;35.94 Mbit/s;38.07 Mbit/s;4.48 ms;< 1 ms;38.75 Mbit/s;40.09 Mbit/s;0.0 %;8.94 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/07/15 05:55;36.3 Mbit/s;31.81 Mbit/s;1.08 ms;< 1 ms;36.21 Mbit/s;33.67 Mbit/s;0.0 %;7.9 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/07/15 02:55;30.59 Mbit/s;37.96 Mbit/s;10.78 ms;< 1 ms;30.81 Mbit/s;39.16 Mbit/s;0.0 %;8.8 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
28/07/15 23:55;32.78 Mbit/s;37.83 Mbit/s;4.66 ms;< 1 ms;31.84 Mbit/s;40.34 Mbit/s;0.0 %;7.94 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
28/07/15 20:55;34.59 Mbit/s;38.9 Mbit/s;1.65 ms;< 1 ms;35.86 Mbit/s;40.6 Mbit/s;0.0 %;5.38 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
28/07/15 17:55;27.08 Mbit/s;34.61 Mbit/s;5.43 ms;< 1 ms;28.48 Mbit/s;35.81 Mbit/s;0.0 %;9.33 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
28/07/15 14:55;33.73 Mbit/s;19.14 Mbit/s;1.41 ms;< 1 ms;34.82 Mbit/s;18.35 Mbit/s;0.0 %;6.47 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
