dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 18:50;19.38 Mbit/s;15.1 Mbit/s;< 1 ms;1.55 ms;19.98 Mbit/s;15.77 Mbit/s;0.0 %;3.1 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 17:50;21.11 Mbit/s;19.58 Mbit/s;1.06 ms;2.22 ms;19.97 Mbit/s;20.72 Mbit/s;0.0 %;3.23 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 16:50;19.52 Mbit/s;20.07 Mbit/s;< 1 ms;< 1 ms;20.16 Mbit/s;21.29 Mbit/s;0.0 %;90.38 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 15:50;19.61 Mbit/s;18.7 Mbit/s;< 1 ms;< 1 ms;18.08 Mbit/s;18.66 Mbit/s;0.68 %;3.18 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 14:50;21.95 Mbit/s;19.34 Mbit/s;< 1 ms;< 1 ms;20.44 Mbit/s;20.28 Mbit/s;1.37 %;3.44 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 13:50;19.75 Mbit/s;19.66 Mbit/s;2.77 ms;< 1 ms;16.42 Mbit/s;18.21 Mbit/s;2.07 %;6.64 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 12:50;14.98 Mbit/s;12.86 Mbit/s;1.5 ms;1.26 ms;16.46 Mbit/s;7.46 Mbit/s;0.0 %;4.92 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 11:50;19.81 Mbit/s;20.19 Mbit/s;1.68 ms;< 1 ms;19.5 Mbit/s;20.96 Mbit/s;0.0 %;37.0 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 10:50;20.58 Mbit/s;19.64 Mbit/s;< 1 ms;< 1 ms;19.73 Mbit/s;20.83 Mbit/s;1.37 %;3.06 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 09:50;21.45 Mbit/s;18.86 Mbit/s;< 1 ms;< 1 ms;20.41 Mbit/s;20.03 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 08:50;20.74 Mbit/s;18.78 Mbit/s;< 1 ms;< 1 ms;19.77 Mbit/s;18.87 Mbit/s;0.68 %;2.94 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 07:50;9.3 Mbit/s;21.31 Mbit/s;22.49 ms;33.87 ms;5.45 Mbit/s;16.18 Mbit/s;0.0 %;239.89 ms;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
01/08/15 06:50;21.06 Mbit/s;20.79 Mbit/s;< 1 ms;< 1 ms;20.2 Mbit/s;21.92 Mbit/s;0.0 %;2.98 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 05:50;20.83 Mbit/s;21.04 Mbit/s;< 1 ms;< 1 ms;20.63 Mbit/s;22.14 Mbit/s;2.07 %;3.07 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 04:50;20.56 Mbit/s;21.29 Mbit/s;< 1 ms;< 1 ms;20.5 Mbit/s;22.14 Mbit/s;1.37 %;2.78 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 03:50;21.25 Mbit/s;19.94 Mbit/s;< 1 ms;< 1 ms;20.24 Mbit/s;21.19 Mbit/s;0.68 %;2.91 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
