dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:15;1.33 Mbit/s;5.54 Mbit/s;27.49 ms;5.36 ms;1.46 Mbit/s;5.91 Mbit/s;0.0 %;99.05 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 19:15;604.47 kbit/s;2.11 Mbit/s;32.42 ms;2.43 ms;643.2 kbit/s;2.19 Mbit/s;1.36 %;227.78 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 18:15;1.49 Mbit/s;5.24 Mbit/s;33.15 ms;3.59 ms;1.64 Mbit/s;5.57 Mbit/s;0.0 %;152.13 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 17:15;638.17 kbit/s;5.67 Mbit/s;21.18 ms;6.7 ms;688.58 kbit/s;5.95 Mbit/s;0.0 %;89.57 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 16:15;1.72 Mbit/s;3.55 Mbit/s;22.16 ms;2.35 ms;1.91 Mbit/s;3.77 Mbit/s;0.0 %;58.87 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 15:15;931.99 kbit/s;5.43 Mbit/s;24.42 ms;2.19 ms;1.02 Mbit/s;5.73 Mbit/s;0.0 %;134.42 ms;PTT Metro de Campinas;;;;;
01/08/15 14:15;957.26 kbit/s;5.11 Mbit/s;28.58 ms;3.27 ms;1.05 Mbit/s;5.42 Mbit/s;0.0 %;107.03 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 13:15;1.76 Mbit/s;9.72 Mbit/s;20.16 ms;3.09 ms;1.93 Mbit/s;10.25 Mbit/s;0.0 %;120.29 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 12:15;959.37 kbit/s;7.74 Mbit/s;23.55 ms;3.52 ms;1.03 Mbit/s;8.19 Mbit/s;2.05 %;168.2 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 11:15;1.71 Mbit/s;6.27 Mbit/s;39.62 ms;4.16 ms;1.87 Mbit/s;6.58 Mbit/s;0.0 %;173.57 ms;PTT Metro de Campinas;;;;;
01/08/15 10:15;1.22 Mbit/s;5.37 Mbit/s;41.29 ms;1.59 ms;1.36 Mbit/s;5.7 Mbit/s;0.0 %;158.92 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 09:15;1.41 Mbit/s;5.82 Mbit/s;24.89 ms;2.52 ms;1.56 Mbit/s;6.16 Mbit/s;0.0 %;149.19 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 08:15;10.88 Mbit/s;14.84 Mbit/s;< 1 ms;12.1 ms;10.68 Mbit/s;15.84 Mbit/s;0.0 %;22.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 08:15;956.21 kbit/s;5.39 Mbit/s;23.2 ms;2.85 ms;1.06 Mbit/s;5.74 Mbit/s;0.0 %;54.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 07:15;1.81 Mbit/s;10.94 Mbit/s;28.5 ms;1.6 ms;2.0 Mbit/s;11.56 Mbit/s;0.68 %;25.61 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 06:15;4.5 Mbit/s;11.67 Mbit/s;18.97 ms;2.25 ms;4.96 Mbit/s;12.42 Mbit/s;0.0 %;47.92 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 05:15;27.45 Mbit/s;32.48 Mbit/s;10.95 ms;1.59 ms;30.23 Mbit/s;32.98 Mbit/s;0.0 %;5.72 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 04:15;34.23 Mbit/s;24.11 Mbit/s;1.21 ms;2.58 ms;35.86 Mbit/s;25.38 Mbit/s;0.0 %;3.31 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 01:15;15.85 Mbit/s;22.89 Mbit/s;14.51 ms;5.18 ms;17.46 Mbit/s;22.57 Mbit/s;0.0 %;27.08 ms;PTT Metro de Campinas;;;;;
01/08/15 00:15;3.73 Mbit/s;8.4 Mbit/s;25.04 ms;2.14 ms;4.1 Mbit/s;9.0 Mbit/s;0.0 %;115.76 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 23:15;809.83 kbit/s;7.98 Mbit/s;20.31 ms;3.26 ms;880.58 kbit/s;8.46 Mbit/s;0.0 %;163.91 ms;PTT Metro de Campinas;;;;;
31/07/15 22:15;4.32 Mbit/s;7.3 Mbit/s;21.39 ms;1.84 ms;4.74 Mbit/s;7.74 Mbit/s;0.0 %;124.26 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 21:15;1.74 Mbit/s;6.02 Mbit/s;27.47 ms;2.2 ms;1.92 Mbit/s;6.39 Mbit/s;2.78 %;149.6 ms;PTT Metro de Campinas;;;;;
31/07/15 20:15;1.37 Mbit/s;8.88 Mbit/s;26.39 ms;3.6 ms;1.5 Mbit/s;9.46 Mbit/s;0.0 %;105.76 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 19:15;709.78 kbit/s;4.0 Mbit/s;44.32 ms;2.49 ms;722.62 kbit/s;4.23 Mbit/s;0.0 %;163.02 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 18:15;2.17 Mbit/s;6.51 Mbit/s;23.4 ms;3.41 ms;2.4 Mbit/s;6.92 Mbit/s;0.68 %;179.82 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 17:15;1.52 Mbit/s;5.58 Mbit/s;20.96 ms;1.57 ms;1.67 Mbit/s;5.88 Mbit/s;0.0 %;111.21 ms;PTT Metro de Campinas;;;;;
31/07/15 16:15;1.72 Mbit/s;7.83 Mbit/s;26.57 ms;1.88 ms;1.88 Mbit/s;8.29 Mbit/s;0.0 %;119.87 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 15:15;1.08 Mbit/s;6.85 Mbit/s;31.66 ms;1.28 ms;1.2 Mbit/s;7.26 Mbit/s;0.0 %;208.79 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 14:15;8.84 Mbit/s;10.55 Mbit/s;29.2 ms;3.45 ms;9.68 Mbit/s;11.17 Mbit/s;0.0 %;138.29 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 13:15;1.63 Mbit/s;6.46 Mbit/s;28.71 ms;1.03 ms;1.8 Mbit/s;6.84 Mbit/s;0.0 %;165.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/07/15 12:15;2.29 Mbit/s;8.44 Mbit/s;32.84 ms;4.49 ms;2.52 Mbit/s;8.94 Mbit/s;0.0 %;135.46 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 11:15;905.66 kbit/s;8.05 Mbit/s;25.59 ms;1.93 ms;976.58 kbit/s;8.48 Mbit/s;2.05 %;187.06 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 10:15;3.37 Mbit/s;10.0 Mbit/s;19.32 ms;3.8 ms;3.68 Mbit/s;10.51 Mbit/s;0.0 %;65.32 ms;PTT Metro de Campinas;;;;;
31/07/15 09:15;8.28 Mbit/s;9.89 Mbit/s;16.18 ms;1.32 ms;9.12 Mbit/s;10.49 Mbit/s;0.0 %;65.08 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 08:15;5.07 Mbit/s;12.48 Mbit/s;22.51 ms;4.81 ms;5.58 Mbit/s;13.33 Mbit/s;0.68 %;132.3 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 07:15;982.53 kbit/s;4.36 Mbit/s;45.72 ms;2.1 ms;1.07 Mbit/s;4.66 Mbit/s;0.0 %;222.06 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 06:15;1.28 Mbit/s;7.77 Mbit/s;27.86 ms;3.8 ms;1.41 Mbit/s;8.27 Mbit/s;2.07 %;150.14 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
