dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
01/08/15 20:01;29.86 Mbit/s;54.27 Mbit/s;< 1 ms;3.71 ms;32.64 Mbit/s;56.69 Mbit/s;0.0 %;2.93 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 19:01;52.25 Mbit/s;53.41 Mbit/s;3.21 ms;< 1 ms;57.44 Mbit/s;56.34 Mbit/s;0.0 %;4.44 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 18:01;38.85 Mbit/s;49.39 Mbit/s;< 1 ms;2.39 ms;42.57 Mbit/s;51.66 Mbit/s;0.0 %;21.71 ms;PTT Metro de Curitiba;;;;;
01/08/15 17:01;49.3 Mbit/s;50.71 Mbit/s;16.36 ms;4.0 ms;53.6 Mbit/s;53.1 Mbit/s;0.0 %;21.19 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 15:01;36.2 Mbit/s;35.86 Mbit/s;9.76 ms;1.33 ms;39.83 Mbit/s;38.02 Mbit/s;0.0 %;39.44 ms;PTT Metro de Campinas;;;;;
01/08/15 14:01;17.72 Mbit/s;29.93 Mbit/s;6.49 ms;2.5 ms;19.52 Mbit/s;30.45 Mbit/s;0.0 %;27.22 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
01/08/15 13:01;57.96 Mbit/s;41.22 Mbit/s;6.3 ms;< 1 ms;63.89 Mbit/s;43.9 Mbit/s;0.0 %;5.76 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 12:01;65.75 Mbit/s;45.37 Mbit/s;< 1 ms;2.48 ms;71.62 Mbit/s;47.3 Mbit/s;0.0 %;3.94 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 11:01;61.01 Mbit/s;42.24 Mbit/s;9.24 ms;3.35 ms;68.04 Mbit/s;45.24 Mbit/s;0.0 %;27.31 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 10:01;30.82 Mbit/s;50.05 Mbit/s;< 1 ms;3.42 ms;33.75 Mbit/s;50.77 Mbit/s;0.0 %;3.97 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 09:01;60.83 Mbit/s;33.68 Mbit/s;< 1 ms;9.09 ms;64.74 Mbit/s;35.61 Mbit/s;0.0 %;2.8 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/08/15 08:01;65.74 Mbit/s;49.72 Mbit/s;< 1 ms;1.03 ms;71.78 Mbit/s;53.17 Mbit/s;0.0 %;3.46 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 07:01;65.84 Mbit/s;48.35 Mbit/s;< 1 ms;< 1 ms;72.08 Mbit/s;51.46 Mbit/s;0.0 %;3.3 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 06:01;67.25 Mbit/s;50.02 Mbit/s;1.42 ms;< 1 ms;73.57 Mbit/s;53.47 Mbit/s;0.0 %;2.94 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/08/15 05:01;71.22 Mbit/s;46.28 Mbit/s;< 1 ms;< 1 ms;77.25 Mbit/s;49.37 Mbit/s;0.0 %;3.81 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 04:01;71.27 Mbit/s;49.45 Mbit/s;< 1 ms;< 1 ms;77.68 Mbit/s;52.64 Mbit/s;0.0 %;3.01 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/08/15 03:01;72.62 Mbit/s;50.06 Mbit/s;< 1 ms;< 1 ms;79.39 Mbit/s;53.14 Mbit/s;0.0 %;2.86 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/08/15 02:01;61.76 Mbit/s;49.01 Mbit/s;< 1 ms;< 1 ms;67.17 Mbit/s;52.23 Mbit/s;0.0 %;3.32 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/08/15 01:01;62.88 Mbit/s;52.03 Mbit/s;1.28 ms;2.57 ms;68.71 Mbit/s;55.53 Mbit/s;0.0 %;8.38 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/08/15 00:01;61.51 Mbit/s;48.17 Mbit/s;2.22 ms;1.69 ms;67.1 Mbit/s;51.49 Mbit/s;0.0 %;4.69 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 23:01;63.73 Mbit/s;50.63 Mbit/s;2.6 ms;7.43 ms;69.68 Mbit/s;53.9 Mbit/s;0.0 %;3.93 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 22:01;63.18 Mbit/s;52.71 Mbit/s;< 1 ms;4.76 ms;69.08 Mbit/s;55.56 Mbit/s;0.0 %;2.87 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 21:01;32.49 Mbit/s;40.79 Mbit/s;2.22 ms;3.48 ms;35.31 Mbit/s;37.75 Mbit/s;0.0 %;14.23 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/07/15 20:01;47.51 Mbit/s;27.33 Mbit/s;1.29 ms;9.28 ms;52.06 Mbit/s;29.01 Mbit/s;0.0 %;4.13 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 19:01;21.94 Mbit/s;18.64 Mbit/s;19.36 ms;4.75 ms;23.85 Mbit/s;10.11 Mbit/s;0.0 %;46.01 ms;PTT Metro de Curitiba;;;;;
31/07/15 18:01;29.11 Mbit/s;26.02 Mbit/s;3.73 ms;3.9 ms;31.92 Mbit/s;26.53 Mbit/s;0.0 %;16.6 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/07/15 17:01;17.38 Mbit/s;25.73 Mbit/s;17.24 ms;1.5 ms;18.66 Mbit/s;26.08 Mbit/s;0.0 %;14.34 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 16:01;14.03 Mbit/s;24.67 Mbit/s;3.17 ms;1.13 ms;14.92 Mbit/s;26.11 Mbit/s;0.0 %;4.78 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 15:01;14.19 Mbit/s;21.55 Mbit/s;2.52 ms;8.73 ms;15.61 Mbit/s;18.8 Mbit/s;0.0 %;65.71 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/07/15 14:01;5.99 Mbit/s;18.52 Mbit/s;8.61 ms;2.67 ms;6.63 Mbit/s;19.94 Mbit/s;0.0 %;46.43 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/07/15 13:01;36.41 Mbit/s;34.07 Mbit/s;4.66 ms;4.33 ms;39.6 Mbit/s;30.06 Mbit/s;0.0 %;29.83 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/07/15 12:01;44.3 Mbit/s;26.93 Mbit/s;1.02 ms;3.17 ms;49.07 Mbit/s;28.68 Mbit/s;0.0 %;14.42 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/07/15 11:01;38.19 Mbit/s;29.71 Mbit/s;9.26 ms;1.83 ms;42.64 Mbit/s;31.78 Mbit/s;0.0 %;34.77 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
